"Postal code area","Aged 18 or over, total, 2013 (HR)","Average income of inhabitants, 2013 (HR)","Median income of inhabitants, 2013 (HR)","Inhabintants belonging to the lowest income category, 2013 (HR)","Inhabitants belonging to the middle income category, 2013 (HR)","Inhabintants belonging to the highest income category, 2013 (HR)","Accumulated purchasing power of inhabitants, 2013 (HR)"
"02660 Lintuvaara   (Espoo )",4381,30869,26156,903,1716,1762,135238916
"02680 Uusmäki   (Espoo )",1009,30021,26502,148,465,396,30290727
"02700 Suur-Kauniainen   (Kauniainen )",6937,48487,29427,1279,2347,3311,336356480
"02710 Viherlaakso   (Espoo )",4745,29144,24990,703,2356,1686,138286610
"02720 Laaksolahti-Lähderanta   (Espoo )",2111,29239,25366,344,1013,754,61723190
"02730 Laaksolahti   (Espoo )",3329,37693,31247,488,1134,1707,125479380
"02740 Karvasmäki-Kunnarla   (Espoo )",2023,29692,26646,289,984,750,60065983
"02750 Sepänkylä   (Espoo )",4236,34030,27551,635,1790,1811,144153015
"02760 Espoon Keskus Itäinen   (Espoo )",11172,24560,22796,2026,6274,2872,274380180
"02770 Espoon Keskus Läntinen   (Espoo )",7788,24047,21529,1667,4114,2007,187278540
"02780 Kauklahti   (Espoo )",5794,29914,25478,852,2812,2130,173321594
"02810 Kumpyöli-Karhusuo   (Espoo )",1191,30980,28039,142,550,499,36897546
"02820 Nupuri-Nuuksio   (Espoo )",1083,31969,25407,165,508,410,34622696
"02860 Siikajärvi   (Espoo )",531,27145,24184,91,268,172,14414016
"02880 Veikkola   (Kirkkonummi )",4047,30310,27554,499,1889,1659,122663626
"02920 Niipperi   (Espoo )",3437,31738,26883,474,1612,1351,109084349
"02940 Lippajärvi   (Espoo )",7449,29780,26566,1044,3526,2879,221829672
"02970 Kalajärvi   (Espoo )",2646,28807,26131,380,1263,1003,76224374
"02980 Lakisto   (Espoo )",358,24929,21016,70,231,57,8924479
"03100 Nummela   (Vihti )",11358,27223,23402,1762,6493,3103,309195037
"03150 Huhmari   (Vihti )",631,27712,24834,107,310,214,17486259
"03220 Tervalampi   (Vihti )",478,27201,24359,67,250,161,13002221
"03250 Ojakkala   (Vihti )",1441,27165,25016,219,735,487,39144309
"03300 Otalampi   (Vihti )",1798,25712,24657,282,957,559,46230058
"03320 Selki   (Vihti )",254,25923,24212,44,132,78,6584447
"03400 Vihti Kirkonkylä   (Vihti )",4929,24985,23119,775,2831,1323,123151904
"03430 Jokikunta   (Vihti )",389,25364,24116,63,219,107,9866455
"03600 Karkkila Keskus   (Karkkila )",5337,21955,20278,934,3510,893,117174768
"03620 Polari   (Karkkila )",1683,22207,20947,299,1079,305,37374505
"03710 Uusitalo   (Karkkila )",159,23772,21114,31,87,41,3779796
"03790 Vihtijärvi   (Vihti )",420,24317,23235,85,229,106,10213013
"03810 Ikkala   (Lohja )",493,21546,20082,105,291,97,10621971
"03850 Pusula   (Lohja )",1394,21909,19137,331,794,269,30541470
"03870 Hyönölä   (Lohja )",164,21722,17058,50,84,30,3562397
"04130 Sipoo   (Sipoo )",5395,26724,23923,760,3001,1634,144174806
"04150 Martinkylä   (Sipoo )",490,33399,23679,92,257,141,16365475
"04170 Paippinen   (Sipoo )",925,26260,23925,151,500,274,24290579
"04200 Kerava Keskus   (Kerava )",9590,23938,21720,1457,5977,2156,229568855
"04220 Ahjo-Kaskela   (Kerava )",3641,26034,24156,581,1985,1075,94789991
"04230 Pihkaniitty   (Kerava )",5660,26520,25155,704,3179,1777,150102481
"04240 Talma   (Sipoo )",927,27630,25396,146,463,318,25612585
"04250 Alikerava   (Kerava )",3874,23079,22367,564,2568,742,89409899
"04260 Savio   (Kerava )",4915,26096,22783,755,2966,1194,128261821
"04300 Hyrylä   (Tuusula )",7774,27378,24417,1058,4297,2419,212838057
"04310 Tuusula Keskus   (Tuusula )",2015,31945,26176,287,948,780,64369600
"04320 Riihikallio   (Tuusula )",3450,26918,24728,452,1979,1019,92866986
"04330 Lahela   (Tuusula )",1569,32034,29081,197,653,719,50261049
"04340 Mattila   (Tuusula )",1732,27395,25000,244,946,542,47447784
"04350 Nahkela   (Tuusula )",393,28657,24973,62,199,132,11262127
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",949,27326,24629,161,467,321,25932340
"04370 Rusutjärvi   (Tuusula )",572,31098,25840,81,295,196,17788269
"04380 Tuomala   (Tuusula )",435,28597,24689,80,194,161,12439876
"04390 Jäniksenlinna   (Tuusula )",351,27921,26215,49,173,129,9800415
"04400 Loutti   (Järvenpää )",8001,25174,22601,1181,4857,1963,201415000
"04410 Järvenpää Keskus   (Järvenpää )",7622,24120,22655,1163,4621,1838,183843295
"04420 Kyrölä   (Järvenpää )",2905,26929,25694,409,1510,986,78229846
"04430 Kinnari-Mikonkorpi   (Järvenpää )",6836,27887,25763,921,3568,2347,190637391
"04440 Jamppa   (Järvenpää )",3638,22283,20564,634,2318,686,81066147
"04460 Nummenkylä   (Tuusula )",1352,26882,25915,183,705,464,36343879
"04480 Haarajoki   (Mäntsälä )",1539,28476,26846,204,756,579,43825105
"04500 Kellokoski   (Tuusula )",4245,25727,24739,572,2413,1260,109211013
"04530 Ohkola   (Mäntsälä )",666,25140,24041,100,378,188,16743262
"04600 Mäntsälä Keskus   (Mäntsälä )",7149,23353,21533,1140,4453,1556,166949209
"04620 Kaunismäki   (Mäntsälä )",1192,29085,27514,127,575,490,34668791
"04630 Sääksjärvi   (Mäntsälä )",652,24795,22499,146,330,176,16166510
"04660 Numminen   (Mäntsälä )",1242,25087,24228,211,652,379,31157751
"04680 Hirvihaara   (Mäntsälä )",477,24405,22782,82,266,129,11641370
"04740 Sälinkää   (Mäntsälä )",905,22480,21061,185,520,200,20344052
"04770 Sahakylä   (Mäntsälä )",171,23548,20232,42,90,39,4026788
"04820 Kaukalampi   (Mäntsälä )",228,28102,23973,52,106,70,6407190
"04840 Hautjärvi   (Mäntsälä )",201,24873,22443,43,105,53,4999427
"04920 Saarentaus   (Mäntsälä )",256,23842,23032,47,152,57,6103548
"04940 Levanto   (Mäntsälä )",208,23274,21191,45,118,45,4840988
"05100 Röykkä   (Nurmijärvi )",1655,25797,24738,242,931,482,42693780
"05200 Rajamäki   (Nurmijärvi )",4768,25711,24614,671,2709,1388,122587966
"05250 Kiljava   (Nurmijärvi )",146,23487,22923,27,82,37,3429087
"05400 Jokela   (Tuusula )",4770,25293,24099,714,2676,1380,120647261
"05430 Nuppulinna   (Tuusula )",782,26440,24287,113,447,222,20676150
"05440 Hyvinkää   (Hyvinkää )",135,28785,27395,25,55,55,3885987
"05450 Nukari   (Nurmijärvi )",816,27207,24444,143,425,248,22200807
"05460 Hakalanmäki-Hakala   (Hyvinkää )",2713,24357,23087,394,1710,609,66079488
"05470 Palopuro   (Hyvinkää )",244,24070,23335,42,137,65,5873055
