"Postal code area","Free-time residences, 2013 (RA)","Buildings, total, 2013 (RA)","Other buildings, 2013 (RA)","Residential buildings, 2013 (RA)","Dwellings, 2013 (RA)","Average floor area, 2013 (RA)","Dwellings in small houses, 2013 (RA)","Dwellings in blocks of flats, 2013 (RA)"
"07810 Ingermaninkylä  (Lapinjärvi)",61,191,45,146,143,95.6,133,10
"07820 Porlammi  (Lapinjärvi)",163,333,42,291,309,90.4,305,4
"07830 Pukaro  (Lapinjärvi)",56,200,28,172,159,100.9,159,0
"07840 Lindkoski  (Lapinjärvi)",20,133,13,120,105,120.4,105,0
"07850 Heikinkylä  (Lapinjärvi)",24,171,17,154,144,110.8,144,0
"07870 Skinnarby  (Loviisa)",67,275,29,246,228,101.6,228,0
"07880 Liljendal Keskus  (Loviisa)",157,546,77,469,545,93.0,545,0
"07890 Mickelspiltom  (Loviisa)",42,123,12,111,104,104.2,104,0
"07900 Loviisa Keskus  (Loviisa)",880,1535,391,1144,2595,79.1,1384,1211
"07910 Valko  (Loviisa)",167,496,84,412,691,80.7,438,253
"07920 Etelä-Harju  (Loviisa)",6,477,28,449,745,94.0,542,203
"07930 Pernaja Kirkonkylä  (Loviisa)",277,344,56,288,336,103.6,331,5
"07940 Määrlahti  (Loviisa)",25,191,16,175,605,74.4,230,375
"07945 Kuggom  (Loviisa)",30,301,52,249,248,107.5,248,0
"07955 Tesjoki  (Loviisa)",131,558,80,478,587,98.4,587,0
