"Postal code area","Households, total, 2017 (TE)","Average size of households, 2017 (TE)","Occupancy rate, 2017 (TE)","Young single persons, 2017 (TE)","Young couples without children, 2017 (TE)","Households with children, 2017 (TE)","Households with small children, 2017 (TE)","Households with children under school age, 2017 (TE)","Households with school-age children, 2017 (TE)","Households with teenagers, 2017 (TE)","Adult households, 2017 (TE)","Pensioner households, 2017 (TE)","Households living in owner-occupied dwellings, 2017 (TE)","Households living in rented dwellings, 2017 (TE)","Households living in other dwellings, 2017 (TE)"
"23120 Mietoinen Keskus   (Mynämäki )",404,2.2,48.7,20,10,94,28,46,40,29,168,143,347,51,6
"23140 Hietamäki   (Mynämäki )",299,2.3,47.8,11,8,70,15,31,28,35,121,109,280,15,4
"23200 Vinkkilä   (Vehmaa )",792,2.0,48.7,49,22,153,29,71,73,64,326,319,634,143,15
"23210 Vehmaa   (Vehmaa )",268,2.1,51.0,14,3,50,11,23,20,22,117,103,245,15,8
"23260 Rautila   (Vehmaa )",89,2.0,59.9,3,2,13,1,9,8,3,43,33,79,9,1
"23310 Taivassalo   (Taivassalo )",817,2.0,52.0,35,17,138,31,73,70,50,319,363,679,123,15
"23360 Kustavi   (Kustavi )",486,1.8,51.0,14,6,49,14,23,25,22,186,253,375,98,13
"23390 Iniö   (Parainen )",101,2.0,48.3,4,0,10,0,5,7,4,30,61,82,12,7
"23450 Lokalahti   (Uusikaupunki )",445,2.2,45.9,16,8,85,20,49,49,32,174,191,380,52,13
"23500 Uusikaupunki Keskus   (Uusikaupunki )",6106,1.8,44.4,698,181,1005,237,460,469,409,2859,2254,4044,1981,81
"23600 Kalanti Keskus   (Uusikaupunki )",982,2.2,44.5,45,28,224,62,120,115,87,401,366,831,138,13
"23660 Kalanti Asemanseutu   (Uusikaupunki )",155,2.5,44.5,1,3,50,14,22,24,23,51,54,151,0,4
"23800 Laitila Keskus   (Laitila )",3844,2.1,45.0,329,95,877,225,450,403,354,1633,1356,2881,883,80
"23840 Soukainen   (Laitila )",116,2.2,52.8,8,1,25,9,15,13,8,44,47,110,5,1
"23880 Suontaka   (Laitila )",47,2.3,43.7,1,1,11,3,6,6,5,20,16,44,1,2
"23930 Pyhämaa   (Uusikaupunki )",275,1.9,49.8,7,1,34,8,19,13,18,101,141,249,17,9
"23950 Pyhäranta   (Pyhäranta )",264,2.0,48.3,14,8,49,12,19,23,25,102,114,221,39,4
"23960 Santtio   (Pyhäranta )",109,2.2,48.7,1,2,22,4,8,8,12,36,51,106,0,3
"24100 Salo Keskus   (Salo )",5468,1.6,42.3,724,151,685,166,311,300,261,2507,2293,3275,2074,119
"24130 Ylhäisi   (Salo )",1633,2.2,41.9,100,37,475,99,210,256,200,691,472,1254,349,30
"24240 Rappula   (Salo )",2081,1.8,44.5,244,50,320,46,117,146,155,911,853,1307,720,54
"24260 Ollikkala   (Salo )",2372,1.8,42.0,228,58,407,109,217,180,141,1203,764,1428,907,37
"24280 Tupuri-Hähkänä   (Salo )",2080,2.4,43.3,107,70,735,130,304,393,327,905,442,1861,198,21
"24800 Halikko Keskus   (Salo )",2391,1.9,44.5,217,66,489,80,171,216,239,1102,804,1667,690,34
"24910 Halikko Asemanseutu   (Salo )",414,2.8,44.1,7,9,177,33,80,108,72,127,110,389,21,4
"25110 Kruusila   (Salo )",164,2.1,50.2,7,5,31,6,16,16,13,79,55,143,15,6
"25130 Muurla   (Salo )",670,2.2,48.6,30,19,181,41,74,87,76,264,227,595,67,8
"25160 Tuohittu   (Salo )",53,2.1,53.0,3,2,11,3,7,3,2,22,20,50,1,2
"25170 Kotalato   (Salo )",62,2.2,48.3,1,1,15,5,6,9,6,22,25,57,4,1
"25180 Romsila   (Salo )",102,2.4,49.7,1,3,27,4,13,16,11,42,34,98,2,2
"25190 Inkere   (Salo )",445,2.2,43.2,14,8,131,25,61,63,57,192,123,324,114,7
"25210 Vartsala   (Salo )",148,2.7,46.4,0,2,54,8,22,28,25,50,47,142,2,4
"25230 Angelniemi   (Salo )",159,2.2,46.9,4,0,29,2,7,19,14,61,70,141,10,8
"25240 Hajala   (Salo )",283,2.2,49.5,7,4,65,11,26,39,31,111,109,265,14,4
"25250 Märynummi   (Salo )",475,2.1,44.9,41,15,114,19,43,58,55,226,136,365,107,3
"25260 Vaskio   (Salo )",458,2.2,47.4,13,9,108,20,50,53,52,182,172,429,23,6
"25320 Raatala   (Salo )",192,2.2,50.6,7,5,38,5,14,19,19,82,75,178,9,5
"25330 Kuusjoki Keskus   (Salo )",403,2.0,47.5,22,8,76,16,45,39,28,174,155,343,51,9
"25340 Kanunki   (Salo )",184,2.1,52.1,7,3,41,5,16,19,19,77,67,162,21,1
"25360 Pertteli Keskus   (Salo )",536,2.3,42.8,27,18,158,37,70,76,75,203,176,466,66,4
"25370 Hiisi   (Salo )",282,2.4,43.5,8,6,88,15,36,42,44,98,97,273,3,6
"25380 Rekijoki   (Salo )",234,2.0,49.3,8,4,28,2,9,17,14,93,114,219,12,3
"25390 Kiikala Keskus   (Salo )",410,1.9,50.1,16,8,67,14,32,29,35,160,185,324,78,8
"25410 Suomusjärvi Keskus   (Salo )",565,1.9,48.4,15,12,101,19,37,53,49,222,244,430,115,20
"25420 Lahnajärvi   (Salo )",69,2.1,45.3,3,1,16,3,6,5,9,32,23,60,5,4
"25430 Kettula   (Salo )",38,1.7,64.6,3,0,4,0,0,0,3,18,16,35,3,0
"25460 Toija   (Salo )",563,2.1,47.6,2,9,109,20,39,54,56,210,248,453,99,11
"25470 Kisko kk   (Salo )",131,2.1,48.1,0,2,22,5,10,11,11,38,73,121,7,3
"25500 Perniö Keskus   (Salo )",1648,2.0,46.8,88,25,317,65,139,171,136,610,733,1208,415,25
"25520 Perniö Asemanseutu   (Salo )",268,2.3,52.3,6,4,51,7,18,27,25,109,108,252,15,1
"25540 Knaapila   (Salo )",97,2.1,59.7,2,3,21,5,10,8,12,38,40,89,4,4
"25550 Aijala   (Salo )",57,1.7,46.5,2,0,7,0,1,3,6,25,25,49,4,4
"25560 Koski Asemanseutu   (Salo )",106,2.0,49.1,0,1,17,3,8,10,4,52,37,97,4,5
"25570 Teijo-Mathildedal   (Salo )",295,1.9,52.3,4,5,43,6,14,22,21,124,133,235,51,9
"25610 Ylönkylä   (Salo )",179,2.2,53.3,5,7,35,5,15,16,14,83,63,164,10,5
"25630 Finby   (Salo )",144,1.9,50.7,3,1,22,2,12,11,9,54,69,110,30,4
"25640 Förby   (Salo )",127,1.8,51.5,5,0,18,5,6,7,8,46,64,95,30,2
"25650 Strömma   (Kemiönsaari )",59,1.7,62.2,3,1,4,1,4,3,0,25,30,52,4,3
"25660 Mathildedal   (Salo )",72,1.8,57.7,1,0,12,2,7,4,5,27,33,62,8,2
"25700 Kemiö Keskus   (Kemiönsaari )",1155,2.0,48.0,72,28,236,49,111,107,98,427,503,900,227,28
"25710 Vreta-Vestlax   (Kemiönsaari )",133,2.3,47.7,7,2,44,12,21,17,19,50,40,120,8,5
"25730 Mjösund   (Kemiönsaari )",46,2.2,40.3,1,0,11,1,4,6,3,19,17,37,6,3
"25760 Kiila   (Kemiönsaari )",60,2.2,52.0,2,0,11,0,5,8,4,20,33,55,0,5
"25810 Mark   (Kemiönsaari )",34,1.7,55.5,5,1,2,0,0,0,2,23,10,31,1,2
"25820 Vestlax   (Kemiönsaari )",52,2.0,49.9,1,1,10,5,6,2,3,21,21,45,6,1
"25830 Västanfjärd Keskus   (Kemiönsaari )",243,2.0,53.4,10,4,43,8,20,12,22,96,104,203,33,7
"25840 Nivelax   (Kemiönsaari )",112,2.3,43.8,5,3,27,2,12,15,14,45,41,109,2,1
"25860 Björkboda   (Kemiönsaari )",167,1.9,48.6,14,3,26,5,11,8,16,81,62,124,37,6
"25870 Dragsfjärd   (Kemiönsaari )",455,1.9,50.8,30,5,65,14,24,33,25,180,211,376,62,17
"25900 Taalintehdas   (Kemiönsaari )",752,1.8,43.3,35,9,94,16,31,38,47,266,399,473,255,24
"25910 Vänoxa   (Kemiönsaari )",4,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"25930 Kasnäs   (Kemiönsaari )",35,2.3,48.2,1,0,6,1,4,3,3,12,19,27,4,4
"25940 Hiittinen   (Kemiönsaari )",35,1.7,62.2,1,0,4,0,2,3,1,9,22,26,6,3
"25950 Rosala-Kasnäs-Hitis   (Kemiönsaari )",59,1.9,49.7,1,1,8,0,2,4,5,22,30,54,3,2
"25960 Högsåra   (Kemiönsaari )",24,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"26100 Rauma Keskus   (Rauma )",9049,1.7,42.5,1408,417,1329,332,666,572,491,4495,3236,4986,3883,180
"26200 Merirauma-Kappelinluhta   (Rauma )",2402,2.1,46.4,145,79,546,142,262,253,195,1070,797,1970,405,27
"26410 Kaaro   (Rauma )",590,2.8,41.3,10,16,245,57,120,142,97,217,129,571,13,6
"26510 Uotila   (Rauma )",1199,2.2,46.1,65,33,281,65,127,131,122,498,423,987,201,11
"26560 Kolla   (Rauma )",275,2.4,49.5,6,7,71,15,34,30,28,112,93,269,5,1
"26660 Paroalho   (Rauma )",2558,1.9,43.2,260,104,466,123,217,209,174,1219,879,1814,710,34
"26720 Monnanummi   (Rauma )",142,2.5,47.3,9,7,53,6,17,28,26,59,30,123,19,0
"26740 Vasarainen   (Rauma )",229,2.4,48.0,9,5,62,14,29,26,25,96,73,225,2,2
"26820 Sampaanala   (Rauma )",817,1.9,41.7,85,34,141,38,68,68,55,429,248,577,228,12
"26840 Kortela   (Rauma )",348,2.3,45.1,8,6,95,21,39,43,47,126,129,309,36,3
"26910 Unaja   (Rauma )",264,2.6,43.1,4,4,92,16,36,57,40,89,84,256,3,5
"26930 Vermuntila   (Rauma )",258,2.4,45.7,5,5,66,14,31,33,29,103,96,252,5,1
"26950 Voiluoto   (Rauma )",171,2.2,50.1,4,11,40,9,18,22,12,84,49,170,0,1
"27100 Eurajoki Keskus   (Eurajoki )",1467,2.2,46.4,60,54,389,91,183,193,162,539,542,1222,231,14
"27110 Irjanne   (Eurajoki )",250,2.2,43.9,16,9,62,10,25,39,21,115,75,230,15,5
"27130 Eurajoki asemanseutu   (Eurajoki )",149,2.1,49.3,7,2,31,6,16,17,10,63,56,136,8,5
"27150 Lapijoki   (Eurajoki )",667,2.2,42.2,51,17,141,39,73,72,49,337,194,515,50,102
"27160 Olkiluoto   (Eurajoki )",0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"27170 Kuivalahti   (Eurajoki )",170,2.1,48.5,4,3,33,3,11,13,16,62,76,154,10,6
"27220 Ala-Kieri   (Rauma )",255,2.4,45.8,6,2,65,10,29,40,22,91,100,251,2,2
"27230 Lappi   (Rauma )",946,2.1,47.9,51,18,238,58,122,102,96,348,364,789,143,14
"27250 Kodiksami   (Rauma )",66,2.2,48.7,3,1,16,4,6,5,10,22,28,59,2,5
"27260 Kuolimaa   (Rauma )",88,2.1,52.6,0,0,17,2,3,7,12,27,47,86,0,2
"27310 Kodisjoki   (Rauma )",229,2.2,46.4,11,7,56,12,27,32,20,85,88,208,17,4
"27320 Ihode   (Pyhäranta )",337,2.2,46.7,19,8,91,19,40,40,42,130,116,301,32,4
"27340 Reila   (Pyhäranta )",217,2.1,51.4,5,5,46,11,23,21,15,93,80,209,4,4
"27400 Kiukainen Keskus   (Eura )",598,2.1,47.9,32,9,124,38,62,60,57,244,233,481,105,12
"27420 Panelia Asemanseutu   (Eura )",115,2.2,51.9,1,2,22,5,13,13,9,45,50,113,1,1
"27430 Panelia   (Eura )",571,2.1,48.2,26,7,119,30,56,54,47,214,243,480,81,10
"27450 Harola   (Eura )",99,2.1,52.3,5,3,23,6,11,9,9,39,38,95,3,1
"27500 Kauttua   (Eura )",1572,2.1,45.7,143,51,371,84,175,195,142,688,514,1201,349,22
"27510 Eura Keskus   (Eura )",1989,2.0,46.6,102,49,388,101,181,179,181,759,852,1596,361,32
"27600 Hinnerjoki   (Eura )",353,2.0,48.1,23,8,69,11,35,37,34,138,148,310,39,4
"27640 Honkilahti kk   (Eura )",134,2.2,47.0,3,4,26,9,11,11,11,46,62,131,2,1
"27650 Honkilahti   (Eura )",162,1.9,52.0,8,5,24,4,9,12,12,57,83,142,17,3
"27670 Mannila   (Eura )",78,2.0,55.8,3,0,16,3,7,8,8,21,41,77,0,1
"27710 Köyliö Keskus   (Säkylä )",528,2.0,46.9,27,14,104,23,44,52,41,195,231,428,92,8
"27730 Tuiskula   (Säkylä )",83,2.4,45.4,0,2,19,9,12,6,7,32,34,79,4,0
"27740 Voitoinen   (Säkylä )",74,2.0,47.0,3,0,12,0,4,8,3,31,31,67,5,2
"27750 Yttilä   (Säkylä )",166,1.9,51.0,6,0,25,3,10,12,13,71,71,160,3,3
"27800 Säkylä Keskus   (Säkylä )",1535,2.0,51.2,86,17,286,55,124,141,124,592,660,1217,288,30
"27820 Iso-Vimma   (Säkylä )",357,2.0,49.9,25,5,67,18,35,33,28,151,140,316,38,3
"27840 Kakkuri   (Säkylä )",213,2.1,52.4,12,4,41,12,20,16,12,86,88,184,28,1
"27860 Vuori   (Säkylä )",151,2.3,49.4,3,3,34,7,14,16,20,55,64,147,3,1
"27910 Huovinrinne   (Säkylä )",111,1.5,42.2,24,6,12,4,7,6,3,73,26,46,64,1
"27920 Otajoki   (Säkylä )",123,2.1,50.6,8,3,23,5,7,11,14,52,48,119,1,3
"28100 Pori Keskus   (Pori )",8678,1.4,41.7,2009,386,618,139,280,228,214,4696,3376,3783,4694,201
"28120 Käppärä-Isomäki   (Pori )",2046,1.7,38.9,405,81,334,70,119,158,147,1159,559,1143,847,56
"28130 Impola   (Pori )",3890,1.6,39.0,906,276,505,135,250,200,187,2379,1015,1749,2028,113
"28190 Pormestarinluoto   (Pori )",2174,1.7,41.6,295,63,339,87,183,146,121,990,851,1147,1007,20
"28200 Toejoki   (Pori )",2150,2.3,44.0,117,86,598,151,291,282,234,866,696,1847,265,38
"28220 Ruosniemi   (Pori )",2075,2.4,41.6,122,109,673,163,331,323,268,916,493,1802,234,39
"28240 Isojoenranta   (Pori )",341,2.2,47.9,19,14,85,24,44,41,29,139,117,309,26,6
"28260 Harjunpää   (Ulvila )",407,2.4,45.1,17,10,115,30,63,55,49,166,128,382,20,5
"28300 Kalaholma-Väinölä   (Pori )",1059,2.4,45.1,34,49,336,64,140,157,153,444,285,986,58,15
"28330 Koivistonluoto   (Pori )",1459,1.9,41.7,200,54,297,71,151,121,116,739,426,918,521,20
"28360 Vanhakoivisto   (Pori )",2204,1.9,43.8,189,77,401,90,179,173,172,934,874,1641,519,44
"28370 Sampola   (Pori )",1911,1.6,42.7,208,49,232,57,114,96,92,833,853,989,879,43
"28400 Ulvila Keskus   (Ulvila )",2678,2.1,45.1,160,74,639,139,300,304,272,1042,1009,2153,489,36
"28430 Kartano-Harmaalinna   (Pori )",698,2.3,43.5,33,37,184,42,94,97,60,332,184,594,86,18
"28450 Vanha-Ulvila   (Ulvila )",1913,2.2,45.8,102,46,522,125,233,254,219,708,688,1513,376,24
"28500 Keskussairaala-alue-Tiilimäki   (Pori )",576,1.3,35.4,146,23,38,16,20,9,8,309,229,161,411,4
"28540 Pinomäki   (Pori )",266,2.3,46.3,15,10,77,16,29,36,41,127,64,235,28,3
"28560 Lattomeri   (Pori )",208,2.3,46.5,11,9,60,14,29,31,25,84,64,198,3,7
"28580 Niittymaa   (Pori )",244,2.4,48.0,4,11,60,18,31,25,25,104,82,229,9,6
"28600 Vähärauma   (Pori )",2300,2.2,43.5,286,140,720,184,356,352,257,1031,553,1736,529,35
"28610 Musa-Tiiliruukki   (Pori )",1912,2.0,43.1,216,65,412,105,195,175,151,954,549,1415,462,35
"28660 Pietniemi-Leppäkorpi   (Pori )",1663,2.2,45.2,96,72,467,117,227,226,176,703,501,1393,250,20
"28760 Kyläsaari   (Pori )",958,2.3,44.6,33,31,272,55,107,132,138,379,313,872,62,24
"28800 Pihlava   (Pori )",2128,2.0,43.4,134,42,440,108,218,226,148,894,801,1644,449,35
"28840 Yyteri-Kaanaa   (Pori )",433,2.0,43.8,24,6,73,15,34,39,33,195,169,358,66,9
"28880 Mäntyluoto   (Pori )",240,1.6,45.2,11,7,20,4,7,9,12,111,110,152,81,7
"28900 Tahkoluoto-Reposaari   (Pori )",522,1.8,48.7,12,7,66,17,25,31,33,188,269,379,124,19
"29100 Luvia Keskus   (Eurajoki )",1320,2.3,47.2,37,31,368,92,179,180,148,449,510,1146,145,29
"29180 Peränkylä   (Eurajoki )",126,2.0,52.9,3,2,22,5,8,10,12,41,64,121,4,1
"29200 Harjavalta Keskus   (Harjavalta )",3747,1.9,47.9,307,64,699,150,320,308,298,1532,1526,2781,880,86
"29250 Nakkila Keskus   (Nakkila )",2246,2.1,47.0,153,52,492,87,216,241,220,883,878,1832,379,35
"29270 Hormisto   (Nakkila )",211,2.1,49.6,6,6,40,5,18,21,18,77,95,201,4,6
"29280 Järvimaa   (Nakkila )",137,2.1,49.8,1,4,34,7,19,17,9,48,56,130,1,6
"29310 Kaasmarkku   (Ulvila )",247,2.3,48.1,11,5,55,12,33,24,21,97,95,228,14,5
"29320 Leineperi   (Ulvila )",94,2.4,42.2,1,3,30,3,7,12,19,33,32,89,4,1
"29340 Kullaa Keskus   (Ulvila )",426,2.1,47.2,21,7,82,25,42,40,29,188,159,373,47,6
"29350 Palus   (Ulvila )",136,2.2,48.5,7,2,27,8,15,16,10,52,57,134,1,1
"29570 Söörmarkku   (Pori )",377,2.6,46.9,8,12,143,30,69,83,57,116,119,358,13,6
"29600 Noormarkku Keskus   (Pori )",2092,2.2,47.8,75,58,513,110,239,276,210,804,783,1756,306,30
"29630 Pomarkku Keskus   (Pomarkku )",867,2.1,46.3,28,9,183,43,79,86,83,307,382,695,150,22
"29640 Honkakoski   (Pomarkku )",132,2.0,49.8,2,3,21,4,8,10,13,51,60,121,6,5
"29680 Kairila   (Pori )",142,2.1,49.2,3,0,23,4,10,12,9,45,75,135,6,1
"29700 Ahlainen   (Pori )",389,2.0,47.0,8,3,67,14,29,31,31,119,205,354,27,8
"29720 Lamppi   (Pori )",92,2.1,44.8,2,4,14,3,7,9,6,31,47,87,3,2
"29740 Etelämaa   (Merikarvia )",37,2.5,46.0,1,0,8,2,4,3,2,12,19,35,0,2
"29750 Pohjansaha   (Merikarvia )",50,2.2,41.7,4,0,8,1,2,8,5,17,26,47,2,1
"29760 Köörtilä   (Merikarvia )",39,1.9,50.3,1,0,4,2,2,2,3,13,23,37,1,1
"29790 Tuorila   (Merikarvia )",144,2.3,48.6,5,2,24,15,16,11,9,55,66,134,5,5
"29810 Siikainen Keskus   (Siikainen )",435,1.9,46.8,12,8,59,15,28,28,27,162,219,331,93,11
"29830 Sammi   (Siikainen )",76,2.4,45.6,0,1,18,4,7,9,10,26,33,75,1,0
"29860 Otamo   (Siikainen )",60,2.3,41.0,1,0,11,3,4,4,6,20,30,55,4,1
"29880 Leväsjoki-Saarineva   (Siikainen )",92,2.2,47.1,1,0,15,2,6,6,9,35,45,82,9,1
"29900 Merikarvia Keskus-Rannikko   (Merikarvia )",1112,1.9,46.6,25,5,184,42,82,84,87,412,524,799,285,28
"29940 Kuvaskangas   (Merikarvia )",126,2.1,51.9,4,4,20,5,9,8,8,43,63,118,3,5
"30100 Forssa Keskus   (Tammela )",5439,1.9,45.3,504,150,918,167,380,433,417,2375,2172,3906,1409,124
"30300 Viksberg   (Forssa )",1583,1.6,40.0,242,44,204,58,95,91,72,852,530,758,802,23
"30420 Tölö   (Forssa )",2486,1.9,42.1,196,83,441,104,196,205,185,1131,918,1761,692,33
"31110 Matku   (Forssa )",260,2.1,48.2,9,2,65,19,36,22,25,96,102,231,20,9
"31130 Koijärvi   (Forssa )",117,2.1,48.3,3,2,23,5,10,10,11,43,51,107,8,2
"31140 Menonen   (Urjala )",79,2.1,53.7,2,0,20,4,9,9,5,25,37,73,3,3
"31160 Nuutajärvi   (Urjala )",148,1.8,49.3,14,1,19,5,7,10,8,69,60,103,37,8
"31170 Savijoki   (Forssa )",97,2.1,51.4,2,2,17,5,10,4,6,36,46,89,6,2
"31230 Susikas   (Tammela )",91,2.2,48.1,2,1,15,2,6,7,7,34,44,88,2,1
"31250 Teuro   (Tammela )",104,2.2,52.6,3,2,20,7,15,9,4,44,42,101,1,2
"31300 Tammela Keskus   (Tammela )",1478,2.1,46.2,77,35,333,64,132,172,154,556,593,1126,330,22
"31310 Mustiala   (Tammela )",45,2.0,52.3,6,0,5,3,3,3,1,27,13,32,12,1
"31340 Porras   (Tammela )",239,2.3,47.5,8,7,58,11,20,29,27,91,93,229,6,4
"31350 Vistinkoski   (Tammela )",119,2.0,47.4,1,1,19,4,9,10,6,43,57,106,10,3
"31370 Eerikkilän Urheiluopisto   (Tammela )",0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"31380 Letku-Torro   (Tammela )",139,2.4,46.8,1,2,33,4,15,18,16,56,54,132,4,3
"31400 Somero Keskus   (Somero )",3157,1.9,46.6,175,69,558,110,241,268,263,1165,1445,2411,665,81
"31410 Ylöpirtti   (Somero )",172,2.1,52.5,3,3,37,9,16,15,15,68,69,169,3,0
"31450 Häntälä   (Somero )",155,2.3,49.6,0,3,37,13,16,19,18,73,46,147,1,7
"31460 Hirsjärvi   (Somero )",121,2.0,56.3,2,2,20,4,8,8,9,48,55,113,4,4
"31470 Somerniemi   (Somero )",313,2.2,48.3,8,3,71,16,28,30,40,104,141,282,22,9
"31490 Terttilä   (Somero )",113,2.2,51.0,1,1,21,5,7,8,13,49,43,107,1,5
"31500 Koski Tl   (Koski Tl )",1187,2.0,50.7,49,26,230,42,102,105,102,411,554,971,182,34
"31520 Pitkäjärvi   (Somero )",225,2.3,48.9,5,0,63,15,27,29,30,78,88,204,8,13
"31530 Pyöli   (Somero )",149,2.1,51.3,8,4,29,5,10,12,12,61,62,142,4,3
"31600 Jokioinen Keskus   (Jokioinen )",1746,2.1,44.6,73,32,402,72,170,190,185,708,645,1347,367,32
"31610 Vaulammi   (Jokioinen )",198,2.3,47.6,7,2,46,9,18,20,21,85,68,185,9,4
"31620 Latovainio   (Jokioinen )",182,2.2,48.9,8,8,44,7,15,17,24,69,70,171,9,2
"31630 Minkiö   (Jokioinen )",244,2.3,49.0,8,4,65,13,26,33,34,95,86,229,9,6
"31640 Humppila Keskus   (Humppila )",984,2.0,46.9,33,21,197,31,75,101,97,401,391,810,158,16
"31650 Venäjänkangas   (Humppila )",124,2.2,54.0,5,2,23,6,11,14,9,63,42,113,8,3
"31700 Urjala Asemanseutu-Hanhisuo   (Urjala )",666,2.2,46.3,20,7,142,33,72,69,64,262,267,564,91,11
"31720 Urjalankylä-Kehro   (Urjala )",188,2.0,47.7,4,1,34,10,17,15,10,73,82,173,11,4
"31730 Honkola   (Urjala )",58,1.9,59.9,3,2,8,1,3,4,5,30,20,52,6,0
"31750 Kehro   (Urjala )",32,1.6,55.2,0,1,2,1,1,1,0,12,18,30,1,1
"31760 Urjala Keskus   (Urjala )",1040,1.8,46.5,78,14,173,36,71,80,72,381,487,640,382,18
"31810 Oriniemi   (Punkalaidun )",176,2.3,52.4,6,1,41,11,19,25,14,63,75,165,5,6
"31830 Halkivaha   (Urjala )",124,2.2,48.3,3,2,24,3,7,14,11,43,58,119,5,0
"31850 Koskioinen   (Punkalaidun )",66,2.3,48.9,2,1,17,2,6,7,10,24,27,62,1,3
"31860 Tursa   (Urjala )",142,2.0,51.6,3,1,21,3,7,10,9,58,66,135,3,4
"31900 Punkalaidun Keskus   (Punkalaidun )",967,1.8,48.8,49,12,134,28,47,68,66,349,485,707,236,24
"31930 Vanttila   (Punkalaidun )",52,2.4,52.1,2,0,15,3,6,4,10,17,21,50,2,0
"31950 Sadonmaa   (Punkalaidun )",74,2.2,53.6,1,1,13,3,6,8,5,25,37,70,2,2
"31960 Orisuo   (Loimaa )",33,2.2,53.1,0,0,7,0,1,3,3,11,16,32,1,0
"31970 Kanteenmaa   (Punkalaidun )",70,2.2,55.7,4,1,12,3,3,7,9,31,28,58,10,2
"32100 Ypäjä Keskus   (Ypäjä )",1008,2.0,47.5,70,27,178,41,76,80,81,432,404,792,197,19
"32140 Ypäjä Asemanseutu   (Ypäjä )",138,2.2,48.0,2,2,27,2,7,13,18,61,50,131,3,4
"32200 Loimaa Keskus   (Loimaa )",4351,1.9,45.4,426,136,758,179,354,344,299,1905,1710,3112,1133,106
"32210 Loimaa kk   (Loimaa )",1179,1.9,48.1,63,27,213,42,91,105,97,470,498,917,246,16
"32250 Kojonkulma   (Loimaa )",121,2.6,46.8,4,1,41,8,16,20,23,34,48,113,4,4
"32260 Kojonperä   (Loimaa )",77,2.1,58.4,3,3,11,3,3,6,5,34,33,71,1,5
"32270 Metsämaa-Murto   (Loimaa )",232,2.0,51.0,8,2,35,10,18,21,12,81,116,204,17,11
"32280 Metsäkorpi   (Loimaa )",78,2.3,40.9,4,2,15,5,10,7,6,34,29,69,7,2
"32300 Mellilä   (Loimaa )",629,2.0,48.9,25,10,104,21,46,48,48,262,267,535,74,20
"32410 Niinijoki   (Loimaa )",244,2.4,51.4,5,2,58,13,23,26,32,100,88,232,7,5
"32430 Ylhäinen   (Loimaa )",44,1.9,63.8,1,1,5,1,2,1,3,21,18,43,1,0
"32440 Alastaro Keskus   (Loimaa )",854,2.0,48.5,36,14,161,39,69,71,71,339,356,673,166,15
"32450 Tammiainen   (Loimaa )",116,2.2,49.6,4,3,23,3,7,12,13,41,54,113,1,2
"32500 Oripää Keskus   (Oripää )",548,2.1,45.2,4,9,131,29,61,67,62,184,235,438,95,15
"32520 Latva   (Oripää )",60,2.6,51.2,0,0,16,3,7,6,10,28,18,54,3,3
"32560 Virttaa   (Loimaa )",210,2.2,47.9,4,4,48,14,24,15,20,83,82,191,15,4
"32610 Vampula Keskus   (Huittinen )",479,2.0,50.0,15,13,89,21,40,35,38,178,215,402,70,7
"32620 Rutava   (Huittinen )",186,2.1,48.3,7,2,31,5,11,14,15,79,79,176,4,6
"32700 Huittinen Keskus   (Huittinen )",3992,1.9,47.6,384,100,755,196,362,349,298,1696,1551,2926,987,79
"32710 Sampu   (Huittinen )",260,2.4,50.2,6,7,74,19,33,34,33,101,86,249,10,1
"32730 Keikyä   (Sastamala )",355,2.1,49.5,9,2,65,18,28,27,29,141,153,325,18,12
"32740 Äetsä Keskus   (Sastamala )",949,1.8,47.2,72,26,155,25,68,63,71,403,396,699,232,18
"32760 Suttila   (Huittinen )",80,1.9,54.8,2,0,15,4,8,4,6,40,26,78,1,1
"32770 Huhtamo   (Huittinen )",100,2.2,47.9,4,2,22,7,15,7,5,45,34,96,2,2
"32800 Kokemäki Keskus   (Kokemäki )",2080,1.9,49.9,90,39,337,80,154,172,135,889,861,1596,449,35
"32810 Peipohja   (Kokemäki )",865,2.1,48.8,32,25,193,54,93,86,76,357,317,749,103,13
"32830 Riste   (Kokemäki )",221,2.1,50.4,6,5,40,11,15,20,19,87,95,200,16,5
"32860 Korkeaoja   (Kokemäki )",70,2.3,48.2,1,1,15,7,7,6,6,34,21,68,0,2
"32910 Kauvatsa Asemanseutu   (Kokemäki )",137,2.1,48.1,5,2,28,7,14,15,9,59,53,131,2,4
"32920 Kauvatsa   (Kokemäki )",286,1.9,50.3,10,5,41,6,16,22,18,95,151,251,26,9
"33100 Tampere Keskus   (Tampere )",10555,1.6,36.8,2676,1099,933,290,502,327,260,7161,2476,4518,5810,227
"33180 Lapinniemi-Käpylä   (Tampere )",956,1.8,38.2,126,79,143,36,67,57,41,550,265,487,455,14
"33200 Tampere Keskus Läntinen   (Tampere )",4253,1.5,39.4,1109,326,309,77,134,110,115,2766,1185,1887,2257,109
