"Postal code area","Households, total, 2015 (TE)","Average size of households, 2015 (TE)","Occupancy rate, 2015 (TE)","Young single persons, 2015 (TE)","Young couples without children, 2015 (TE)","Households with children, 2015 (TE)","Households with small children, 2015 (TE)","Households with children under school age, 2015 (TE)","Households with school-age children, 2015 (TE)","Households with teenagers, 2015 (TE)","Adult households, 2015 (TE)","Pensioner households, 2015 (TE)","Households living in owner-occupied dwellings, 2015 (TE)","Households living in rented dwellings, 2015 (TE)","Households living in other dwellings, 2015 (TE)"
"01150 Söderkulla   (Sipoo )",2006,2.5,44.0,165,67,728,181,357,355,247,809,486,1525,429,52
"01180 Kalkkiranta   (Porvoo )",190,2.4,50.8,4,1,58,4,18,34,28,67,65,174,8,8
"01190 Box   (Sipoo )",399,2.6,45.9,9,4,132,27,62,65,56,153,121,374,13,12
"01200 Hakunila   (Vantaa )",5789,2.1,32.7,525,211,1521,448,808,660,533,2889,1398,2437,3286,66
"01230 Vaarala   (Vantaa )",1304,2.3,36.0,106,52,358,100,186,143,137,667,283,1019,259,26
"01260 Itä-Hakkila   (Vantaa )",1811,2.6,38.3,43,42,664,141,300,314,272,712,450,1509,279,23
"01280 Länsimäki   (Vantaa )",4433,2.1,33.6,321,174,1164,338,593,493,420,2270,1016,2657,1739,37
"01300 Tikkurila   (Vantaa )",9737,1.9,35.5,1150,633,1774,478,889,721,645,5340,2651,5240,4362,135
"01340 Leinelä   (Vantaa )",350,1.7,32.2,64,45,60,18,36,18,13,228,62,51,298,1
"01350 Hiekkaharju   (Vantaa )",4943,2.0,34.3,669,325,1190,333,585,507,430,2729,1041,2576,2316,51
"01360 Koivukylä-Havukoski   (Vantaa )",6358,1.9,33.8,800,298,1283,390,726,515,423,3564,1528,3116,3143,99
"01370 Jokiniemi   (Vantaa )",3271,2.0,31.7,545,356,818,257,464,299,225,2112,349,946,2301,24
"01380 Kuusikko-Hakkila   (Vantaa )",737,2.6,37.5,13,31,283,75,136,125,120,284,171,548,177,12
"01390 Ruskeasanta-Ilola   (Vantaa )",3499,2.6,36.4,186,169,1318,342,665,586,472,1578,624,2521,935,43
"01400 Rekola   (Vantaa )",3497,2.3,35.7,219,116,1078,262,497,492,457,1545,891,1796,1673,28
"01420 Päiväkumpu   (Vantaa )",1099,2.9,38.0,10,14,456,95,183,234,225,395,255,974,109,16
"01450 Korso   (Vantaa )",8333,2.2,35.4,743,382,2306,611,1130,1038,835,4239,1814,5001,3236,96
"01480 Mikkola   (Vantaa )",2842,2.2,34.8,263,113,785,199,386,377,306,1458,607,1777,1022,43
"01490 Nikinmäki   (Sipoo )",1362,2.9,39.9,21,38,658,135,302,341,250,470,243,1225,120,17
"01510 Kirkonkylä-Veromäki   (Vantaa )",2857,2.1,30.5,383,250,869,302,555,336,210,1670,325,1023,1802,32
"01520 Tammisto   (Vantaa )",3443,2.3,30.6,425,336,1301,411,756,607,307,1876,271,1671,1760,12
"01530 Veromiehenkylä   (Vantaa )",292,1.8,29.1,59,41,45,19,33,8,9,231,16,1,288,3
"01600 Myyrmäki   (Vantaa )",8746,1.8,34.5,1118,440,1505,450,806,662,474,4443,2820,4825,3795,126
"01610 Kaivoksela   (Vantaa )",2584,1.8,34.1,380,165,456,161,268,161,141,1556,578,1427,1099,58
"01620 Martinlaakso   (Vantaa )",5931,2.0,35.0,617,269,1292,368,679,550,449,2876,1785,3469,2380,82
"01630 Hämeenkylä   (Vantaa )",839,2.5,36.4,19,33,298,79,141,146,103,355,192,668,164,7
"01640 Hämevaara   (Vantaa )",1491,2.2,37.3,110,87,397,117,211,159,148,768,335,872,606,13
"01650 Vapaala   (Vantaa )",1879,2.1,39.7,188,53,415,112,208,171,154,933,539,1444,400,35
"01660 Varisto   (Vantaa )",1055,2.2,37.4,65,33,272,63,129,126,96,502,287,576,475,4
"01670 Vantaanlaakso   (Vantaa )",1168,2.3,38.1,51,61,344,97,181,137,115,501,328,964,193,11
"01680 Askisto   (Vantaa )",775,2.6,38.9,18,13,300,59,120,151,130,303,179,545,223,7
"01690 Ylästö   (Vantaa )",1562,3.0,36.0,17,29,820,161,352,417,310,493,262,1288,265,9
"01700 Kivistö   (Vantaa )",1849,2.5,36.5,202,168,688,210,409,327,189,897,272,1219,610,20
"01710 Pähkinärinne   (Vantaa )",2721,1.9,34.1,332,136,541,158,295,217,171,1495,688,1586,1104,31
"01720 Petikko   (Vantaa )",35,1.9,34.2,7,1,6,2,3,2,2,21,8,19,14,2
"01730 Vantaanpuisto   (Vantaa )",1045,2.3,39.1,80,56,289,70,144,139,109,462,299,905,117,23
"01740 Tuupakan teollisuusalue   (Vantaa )",86,2.3,51.0,2,1,20,1,8,11,7,40,26,69,14,3
"01750 Keimola   (Vantaa )",313,2.7,44.3,6,8,115,17,44,58,56,125,75,297,13,3
"01760 Seutula   (Vantaa )",841,2.5,39.3,21,14,243,54,113,114,113,369,236,709,115,17
"01770 Martinlaakson teollisuusalue   (Vantaa )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"01800 Klaukkala Keskus   (Nurmijärvi )",3529,2.2,39.4,293,111,1019,271,505,453,393,1595,932,2504,971,54
"01810 Luhtajoki   (Nurmijärvi )",253,2.9,43.8,9,2,88,20,36,46,49,98,68,234,11,8
"01820 Haikala   (Nurmijärvi )",1286,2.7,38.1,27,40,568,140,260,265,232,473,249,1078,199,9
"01830 Lepsämä   (Nurmijärvi )",844,2.9,42.4,5,12,353,82,144,172,174,282,217,810,20,14
"01840 Klaukkala   (Nurmijärvi )",1520,2.8,39.2,41,31,693,142,298,349,297,579,255,1249,264,7
"01860 Perttula   (Nurmijärvi )",795,2.7,45.8,13,13,275,69,141,145,109,306,218,731,40,24
