"Postal code area","Inhabitants, total, 2015 (HE)","Females, 2015 (HE)","Males, 2015 (HE)","Average age of inhabitants, 2015 (HE)","0-2 years, 2015 (HE)","3-6 years, 2015 (HE)","7-12 years, 2015 (HE)","13-15 years, 2015 (HE)","16-17 years, 2015 (HE)","18-19 years, 2015 (HE)","20-24 years, 2015 (HE)","25-29 years, 2015 (HE)","30-34 years, 2015 (HE)","35-39 years, 2015 (HE)","40-44 years, 2015 (HE)","45-49 years, 2015 (HE)","50-54 years, 2015 (HE)","55-59 years, 2015 (HE)","60-64 years, 2015 (HE)","65-69 years, 2015 (HE)","70-74 years, 2015 (HE)","75-79 years, 2015 (HE)","80-84 years, 2015 (HE)","85 years or over, 2015 (HE)"
"00840 Laajasalo   (Helsinki )",8290,4525,3765,44,273,386,465,234,154,160,382,396,485,581,473,555,577,537,536,747,528,358,241,222
"00850 Jollas   (Helsinki )",3119,1576,1543,38,89,193,309,145,96,99,133,93,120,168,243,306,298,233,181,202,110,46,37,18
"00860 Santahamina   (Helsinki )",425,203,222,28,37,42,45,6,6,6,22,43,48,66,26,30,28,12,4,3,1,0,0,0
"00870 Etelä-Laajasalo   (Helsinki )",4854,2583,2271,40,194,264,313,148,92,106,362,348,342,307,274,343,325,269,276,266,215,154,132,124
"00880 Roihupellon teollisuusalue   (Helsinki )",723,385,338,41,23,29,12,17,11,7,77,82,67,54,45,35,42,37,50,48,28,29,18,12
"00890 Itäsalmi   (Helsinki )",2056,1037,1019,36,36,97,207,152,115,96,94,42,46,99,148,276,250,111,92,75,62,31,16,11
"00900 Puotinharju   (Helsinki )",4135,2171,1964,43,120,134,174,106,78,81,319,344,297,251,218,293,314,256,268,243,165,180,161,133
"00910 Puotila   (Helsinki )",6231,3353,2878,43,208,235,319,144,83,112,468,527,451,460,371,413,413,355,357,331,250,223,221,290
"00920 Myllypuro   (Helsinki )",12149,6315,5834,42,440,628,704,402,263,254,695,732,778,839,701,827,938,810,699,730,544,468,387,310
"00930 Itäkeskus-Marjaniemi   (Helsinki )",6794,3615,3179,41,223,273,387,230,149,195,495,471,419,393,358,465,506,487,444,431,312,220,176,160
"00940 Kontula - Vesala   (Helsinki )",25817,13550,12267,40,879,1148,1657,862,558,664,1930,1777,1777,1529,1528,1777,1856,1620,1445,1407,1105,998,761,539
"00950 Vartioharju   (Helsinki )",5629,2871,2758,42,154,212,472,213,142,160,283,195,257,344,367,448,545,437,414,368,289,166,96,67
"00960 Pohjois-Vuosaari   (Helsinki )",7234,3826,3408,42,222,278,451,238,146,165,390,431,484,473,463,599,607,493,422,479,341,260,163,129
"00970 Mellunmäki   (Helsinki )",10633,5607,5026,42,349,408,570,333,229,263,651,729,728,660,597,728,859,766,714,737,510,374,261,167
"00980 Etelä-Vuosaari   (Helsinki )",22601,12185,10416,39,850,1146,1659,801,531,564,1482,1537,1417,1434,1435,1621,1743,1435,1232,1214,871,699,507,423
"00990 Aurinkolahti   (Helsinki )",8006,4299,3707,41,308,376,482,188,118,131,438,598,612,619,544,573,529,558,492,541,372,282,167,78
"01120 Västerskog   (Sipoo )",1361,652,709,42,43,51,119,46,34,34,54,31,64,91,99,116,127,109,84,101,63,39,39,17
"01150 Söderkulla   (Sipoo )",5066,2542,2524,38,196,332,495,189,121,143,241,187,294,419,394,446,350,291,228,285,174,113,82,86
"01180 Kalkkiranta   (Porvoo )",462,217,245,43,4,19,46,19,13,16,17,8,14,28,24,54,45,32,29,35,22,16,9,12
"01190 Box   (Sipoo )",1023,529,494,41,34,55,82,38,35,28,25,21,59,74,70,104,79,76,61,56,46,48,20,12
"01200 Hakunila   (Vantaa )",12029,6184,5845,38,501,645,894,391,285,302,700,851,934,842,833,808,860,696,691,716,503,270,187,120
"01230 Vaarala   (Vantaa )",2964,1451,1513,39,114,136,189,93,73,82,153,195,226,224,225,261,239,189,165,144,133,76,28,19
"01260 Itä-Hakkila   (Vantaa )",4791,2342,2449,39,159,263,427,201,146,124,184,159,275,331,384,414,384,321,328,318,165,98,67,43
"01280 Länsimäki   (Vantaa )",9472,4848,4624,39,370,441,652,320,210,211,451,574,757,672,643,666,776,659,715,605,385,202,100,63
"01300 Tikkurila   (Vantaa )",18450,9636,8814,42,547,693,916,485,334,392,1380,1526,1492,1259,1033,1164,1278,1256,1153,1219,794,662,488,379
"01340 Leinelä   (Vantaa )",612,321,291,37,20,27,22,6,8,8,90,97,57,27,29,29,34,41,38,35,26,10,5,3
"01350 Hiekkaharju   (Vantaa )",9904,5162,4742,38,362,431,659,321,222,235,805,889,769,663,575,655,670,637,567,458,358,302,209,117
"01360 Koivukylä-Havukoski   (Vantaa )",12141,6224,5917,39,437,545,665,316,233,283,1022,1026,943,906,734,784,785,795,722,760,485,318,216,166
"01370 Jokiniemi   (Vantaa )",6468,3366,3102,33,276,315,388,169,123,161,882,763,627,510,365,369,460,347,264,204,107,81,35,22
"01380 Kuusikko-Hakkila   (Vantaa )",1924,968,956,38,85,109,159,87,67,59,74,80,119,154,125,159,162,125,109,95,68,37,32,19
"01390 Ruskeasanta-Ilola   (Vantaa )",8957,4498,4459,36,377,554,794,359,243,238,468,497,647,730,636,694,749,594,479,402,218,126,95,57
"01400 Rekola   (Vantaa )",8266,4228,4038,39,291,405,689,383,229,209,384,403,502,528,548,664,643,525,473,507,340,219,156,168
"01420 Päiväkumpu   (Vantaa )",3212,1556,1656,38,102,156,322,166,115,128,141,78,139,204,257,294,316,223,197,149,93,72,42,18
"01450 Korso   (Vantaa )",18357,9218,9139,38,677,922,1408,635,430,422,1135,1180,1341,1403,1284,1367,1402,1216,1038,989,659,424,251,174
"01480 Mikkola   (Vantaa )",6256,3147,3109,38,222,328,501,247,152,147,338,419,433,446,444,509,486,418,338,353,200,151,76,48
"01490 Nikinmäki   (Sipoo )",4017,2017,2000,34,157,306,483,222,112,95,143,131,227,382,379,361,270,216,176,151,95,60,37,14
"01510 Kirkonkylä-Veromäki   (Vantaa )",6113,3092,3021,33,344,427,461,166,86,86,412,660,758,617,457,396,337,240,228,192,112,80,37,17
"01520 Tammisto   (Vantaa )",7801,4049,3752,31,454,578,781,260,138,136,447,702,922,919,715,564,356,268,190,189,108,45,21,8
"01530 Veromiehenkylä   (Vantaa )",524,228,296,34,20,22,8,7,3,15,77,65,74,54,45,38,35,26,14,15,4,0,1,1
"01600 Myyrmäki   (Vantaa )",16018,8498,7520,43,503,661,893,368,244,293,1131,1370,1262,1020,847,896,856,905,946,1180,1007,718,527,391
"01610 Kaivoksela   (Vantaa )",4703,2338,2365,40,174,186,211,122,54,82,398,450,405,357,287,308,342,264,277,308,192,127,78,81
"01620 Martinlaakso   (Vantaa )",11769,6018,5751,41,407,519,724,347,234,235,715,921,922,785,699,683,755,682,705,813,661,506,310,146
"01630 Hämeenkylä   (Vantaa )",2109,1069,1040,38,86,114,188,85,49,36,79,81,178,147,156,150,148,163,164,145,84,30,20,6
"01640 Hämevaara   (Vantaa )",3312,1660,1652,39,135,159,209,108,77,65,212,230,222,218,224,246,281,239,197,176,121,94,63,36
"01650 Vapaala   (Vantaa )",4005,1991,2014,42,129,174,237,117,73,98,238,234,237,302,263,280,317,290,242,280,225,149,70,50
"01660 Varisto   (Vantaa )",2318,1201,1117,42,69,106,159,82,40,58,105,126,151,165,154,159,171,152,151,187,135,74,45,29
"01670 Vantaanlaakso   (Vantaa )",2708,1379,1329,40,108,136,193,80,71,55,89,142,233,223,196,190,195,164,143,229,146,54,35,26
"01680 Askisto   (Vantaa )",2043,1011,1032,38,67,112,199,97,68,56,71,70,117,139,181,194,178,112,135,131,46,34,22,14
"01690 Ylästö   (Vantaa )",4625,2320,2305,34,182,326,589,233,160,127,153,114,265,407,440,462,366,225,197,169,109,55,28,18
"01700 Kivistö   (Vantaa )",4601,2334,2267,33,238,332,452,155,87,114,308,319,402,446,403,315,269,203,169,158,78,81,45,27
"01710 Pähkinärinne   (Vantaa )",5070,2628,2442,40,173,240,293,131,93,102,304,413,416,390,338,306,356,308,317,358,209,141,91,91
"01720 Petikko   (Vantaa )",67,29,38,43,3,1,2,0,2,0,1,10,5,3,6,8,11,3,0,5,5,0,1,1
"01730 Vantaanpuisto   (Vantaa )",2452,1157,1295,40,74,134,191,81,52,60,115,168,167,176,190,212,134,150,112,136,120,100,47,33
"01740 Tuupakan teollisuusalue   (Vantaa )",199,91,108,45,1,9,17,5,4,3,8,1,12,9,17,16,15,21,22,16,7,9,1,6
"01750 Keimola   (Vantaa )",843,411,432,39,19,43,83,42,26,26,34,28,39,51,83,65,85,62,50,31,31,30,9,6
"01760 Seutula   (Vantaa )",2117,1051,1066,41,63,104,168,94,52,56,76,79,109,120,150,189,200,165,160,111,94,58,40,29
"01770 Martinlaakson teollisuusalue   (Vantaa )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"01800 Klaukkala Keskus   (Nurmijärvi )",7825,4043,3782,39,304,450,608,306,200,199,418,346,463,585,520,619,570,473,486,461,329,243,149,96
"01810 Luhtajoki   (Nurmijärvi )",723,343,380,38,21,38,75,49,30,19,23,14,33,37,69,74,64,40,35,41,24,20,10,7
"01820 Haikala   (Nurmijärvi )",3449,1770,1679,35,152,211,350,178,120,93,114,142,212,314,267,305,279,192,156,154,115,64,20,11
"01830 Lepsämä   (Nurmijärvi )",2474,1208,1266,36,98,150,261,149,92,82,82,68,106,168,191,240,216,144,106,137,93,60,23,8
"01840 Klaukkala   (Nurmijärvi )",4233,2156,2077,35,164,292,494,236,141,131,130,121,207,306,406,406,389,255,191,150,109,61,31,13
"01860 Perttula   (Nurmijärvi )",2147,1004,1143,38,82,127,226,86,69,56,69,58,104,163,165,160,193,138,127,144,82,54,24,20
"01900 Nurmijärvi Keskus   (Nurmijärvi )",8991,4575,4416,41,301,441,716,375,280,246,471,386,442,520,645,693,662,562,527,540,424,338,234,188
"01940 Palojoki   (Nurmijärvi )",773,380,393,40,16,32,85,50,25,22,17,17,29,35,76,68,57,53,49,53,39,27,13,10
"02100 Tapiola   (Espoo )",4332,2346,1986,45,102,162,208,72,55,67,259,384,368,295,210,223,207,241,273,339,261,218,173,215
"02110 Otsolahti   (Espoo )",2730,1430,1300,41,91,126,136,51,25,31,199,301,307,225,169,138,125,151,160,142,104,71,72,106
"02120 Länsikorkee-Suvikumpu   (Espoo )",2814,1469,1345,42,99,106,154,41,38,43,200,297,288,227,172,143,126,154,135,145,125,116,82,123
"02130 Pohjois-Tapiola   (Espoo )",5983,3018,2965,40,208,361,452,198,133,139,277,303,377,473,393,406,409,403,368,365,257,182,143,136
"02140 Laajalahti   (Espoo )",3689,1836,1853,37,147,251,345,150,98,104,146,142,224,302,271,306,268,231,188,201,154,71,44,46
"02150 Otaniemi   (Espoo )",3895,1157,2738,26,44,34,30,10,6,87,2013,964,320,99,74,25,34,29,38,31,21,12,10,14
"02160 Westend   (Espoo )",3194,1617,1577,41,102,168,267,140,110,88,131,87,143,182,239,246,256,209,218,213,146,98,89,62
"02170 Haukilahti   (Espoo )",5679,2981,2698,43,165,251,394,220,147,159,248,261,309,347,374,433,442,354,286,377,292,242,184,194
"02180 Mankkaa   (Espoo )",6786,3495,3291,37,299,486,635,351,187,189,242,195,376,553,562,516,499,438,421,344,228,120,80,65
"02200 Niittykumpu   (Espoo )",10728,5452,5276,38,479,612,702,283,164,208,686,916,972,904,756,667,646,553,557,606,453,265,157,142
"02210 Olari   (Espoo )",11186,5784,5402,41,380,512,743,320,203,254,692,768,860,834,708,623,728,632,682,795,660,367,216,209
"02230 Matinkylä   (Espoo )",20397,10632,9765,39,744,964,1258,626,398,417,1517,1973,1717,1465,1284,1318,1281,1123,1094,1230,844,523,352,269
"02240 Friisilä   (Espoo )",2084,1052,1032,39,63,105,206,108,63,62,83,45,93,117,173,196,182,131,119,145,108,51,22,12
"02260 Kaitaa   (Espoo )",3709,1934,1775,38,130,186,356,154,95,96,158,170,212,274,253,319,322,299,215,177,103,94,62,34
"02270 Finnoo-Eestinmalmi   (Espoo )",2279,1133,1146,37,84,139,217,101,74,71,82,69,146,178,176,187,189,152,124,133,77,45,14,21
"02280 Malminmäki-Eestinlaakso   (Espoo )",4435,2233,2202,35,240,299,357,191,133,117,199,191,383,381,341,390,370,286,219,148,82,50,34,24
"02290 Puolarmetsän sairaala   (Espoo )",20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"02300 Nöykkiönpuro   (Espoo )",2526,1268,1258,37,75,129,282,138,99,90,115,65,92,146,207,261,217,179,141,123,85,52,17,13
"02320 Espoonlahti   (Espoo )",16322,8665,7657,42,545,704,1007,452,336,359,915,1025,1136,1148,1036,1074,1072,1006,1032,1337,921,579,354,284
"02330 Saunalahti-Kattilalaakso   (Espoo )",8737,4374,4363,35,369,653,920,360,217,214,425,398,492,839,833,746,596,482,371,379,243,107,49,44
"02340 Latokaski   (Espoo )",5041,2551,2490,34,282,366,537,206,124,126,168,215,394,497,409,364,342,297,220,239,146,60,29,20
"02360 Soukka   (Espoo )",9582,4953,4629,42,332,436,672,324,206,265,485,428,570,614,595,762,743,605,598,649,592,375,193,138
"02380 Suvisaaristo   (Espoo )",642,318,324,43,7,26,57,46,19,20,16,9,14,35,45,56,60,39,50,65,36,25,8,9
"02400 Kirkkonummi Keskus   (Kirkkonummi )",12347,6376,5971,40,339,616,1057,547,347,347,598,533,637,749,874,966,880,793,862,798,569,376,256,203
"02410 Gesterby   (Kirkkonummi )",2116,1040,1076,42,60,79,102,54,47,52,141,143,147,129,130,153,143,169,152,170,116,73,34,22
"02420 Jorvas   (Kirkkonummi )",1856,932,924,40,46,89,205,94,61,68,57,23,73,113,141,194,163,106,120,108,92,49,34,20
"02430 Masala   (Kirkkonummi )",4319,2161,2158,35,218,296,427,181,108,95,165,233,314,369,351,366,284,220,226,201,113,76,44,32
"02440 Luoma   (Kirkkonummi )",620,323,297,43,15,35,49,23,18,19,20,16,15,36,39,62,49,58,42,49,29,21,16,9
"02450 Sundsberg   (Kirkkonummi )",2027,1048,979,30,127,202,306,67,28,26,39,58,175,282,266,170,82,78,47,37,22,10,4,1
"02460 Kantvik   (Kirkkonummi )",1756,847,909,39,58,73,141,76,48,49,113,91,92,97,118,153,154,148,122,107,45,35,23,13
"02470 Upinniemi   (Kirkkonummi )",341,148,193,40,5,5,17,11,8,5,35,33,18,13,22,33,42,34,32,15,11,2,0,0
"02480 Porkkala   (Kirkkonummi )",4449,2188,2261,37,189,318,427,194,109,133,169,141,256,353,382,376,355,275,231,227,158,89,37,30
"02490 Pikkala   (Siuntio )",315,142,173,41,12,15,10,6,5,3,17,22,24,38,24,24,15,22,27,29,8,5,4,5
"02510 Oitmäki   (Kirkkonummi )",502,241,261,41,15,21,34,23,20,13,21,24,27,27,35,49,42,35,37,24,25,18,7,5
"02520 Lapinkylä   (Kirkkonummi )",792,399,393,42,24,44,66,30,22,11,18,18,31,56,74,63,54,59,46,80,48,20,18,10
"02540 Kylmälä   (Kirkkonummi )",668,339,329,41,15,33,58,22,19,20,24,22,33,52,51,72,45,53,46,34,26,20,15,8
"02550 Evitskog   (Kirkkonummi )",871,409,462,40,31,54,70,20,18,18,21,44,45,77,66,65,78,77,60,51,37,22,11,6
"02570 Siuntio Kirkonkylä   (Siuntio )",1324,634,690,40,37,68,114,53,33,19,61,38,67,78,112,137,120,104,75,95,52,29,15,17
"02580 Siuntio Asemanseutu   (Siuntio )",3434,1744,1690,39,129,195,343,144,93,88,102,91,172,263,233,305,251,230,204,231,157,94,67,42
