"Postialue","Inhabitants, total, 2017","Inhabitants aged 18-64, 2017","Employment rate %, 2017","Unemployment rate %, 2017","Economic dependency ratio, 2017"
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",7097,4275,76.7,8.9,114
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",3723,2333,73.3,10.4,116
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",0,0,0.0,0.0,0
"05860 Talvisilta   (Hyvinkää )",1387,824,73.5,11.4,126
"05880 Paavola-Vaivero   (Hyvinkää )",3395,1989,61.2,17.6,175
"05900 Vieremä   (Hyvinkää )",3916,2172,70.3,10.3,153
"05950 Ridasjärvi   (Hyvinkää )",382,236,76.3,5.8,111
"06100 Porvoo Keskus   (Porvoo )",18569,10672,75.6,8.7,128
"06150 Kevätkumpu   (Porvoo )",5827,3392,69.7,13.0,144
"06200 Porvoo itäinen   (Porvoo )",2610,1529,81.8,6.7,106
"06400 Gammelbacka   (Porvoo )",7408,4516,71.0,13.4,130
"06450 Eestinmäki-Ernestas   (Porvoo )",2036,1269,77.7,8.1,104
"06500 Saksala-Suomenkylä   (Porvoo )",2114,1285,81.2,7.3,101
"06530 Kerkkoo   (Porvoo )",803,487,84.8,4.8,92
"06650 Hamari   (Porvoo )",1446,829,77.9,9.1,123
"06750 Tolkkinen   (Porvoo )",1800,1009,83.1,5.3,114
"06830 Kulloonkylä   (Porvoo )",1091,644,82.1,8.0,105
"06850 Kulloo   (Porvoo )",20,..,..,..,..
"06880 Kärrby   (Sipoo )",330,203,70.4,10.6,123
"06950 Emäsalo   (Porvoo )",373,200,78.5,5.4,136
"07110 Hinthaara   (Porvoo )",1557,888,81.6,5.5,112
"07130 Anttila   (Porvoo )",654,358,80.2,8.6,127
"07150 Laukkoski   (Pornainen )",1022,571,80.6,5.5,120
"07170 Keski-Pornainen   (Pornainen )",2484,1416,80.6,5.6,116
"07190 Halkia   (Pornainen )",1441,872,81.3,6.0,102
"07220 Kaarenkylä   (Porvoo )",300,169,79.9,3.6,119
"07230 Monninkylä   (Askola )",1588,872,77.8,6.6,132
"07280 Ilola   (Porvoo )",915,558,81.5,7.1,98
"07310 Sannainen   (Porvoo )",422,256,78.9,6.0,107
"07320 Jakari-Sannäs   (Porvoo )",443,256,84.0,5.3,104
"07350 Gäddrag   (Porvoo )",74,43,79.1,2.9,118
"07360 Tirmo   (Porvoo )",37,24,70.8,15.0,118
"07370 Pellinki   (Porvoo )",135,70,75.7,7.0,146
"07390 Suurpellinki   (Porvoo )",126,69,75.4,5.5,142
"07410 Kråkö   (Porvoo )",306,165,78.8,8.5,135
"07450 Voolahti   (Porvoo )",418,235,75.3,7.3,135
"07500 Askola Kirkonkylä   (Askola )",1154,636,80.0,7.1,125
"07510 Vakkola   (Askola )",684,414,75.6,10.3,117
"07530 Onkimaa   (Askola )",286,152,79.6,9.0,131
"07550 Torpinkylä   (Pukkila )",296,171,74.3,11.8,131
"07560 Pukkila Keskus   (Pukkila )",1351,748,75.1,10.4,139
"07565 Kantele   (Pukkila )",248,149,75.2,10.4,114
"07580 Tiilää   (Askola )",77,48,75.0,14.3,114
"07590 Huuvari-Tiilää   (Askola )",631,363,79.3,7.7,119
"07600 Myrskylä Keskus   (Myrskylä )",1728,923,73.0,12.4,151
"07680 Juornaankylä   (Askola )",529,305,78.7,8.4,120
"07690 Kankkila   (Myrskylä )",131,82,68.3,15.2,130
"07700 Koskenkylän saha-alue   (Loviisa )",1205,737,78.2,9.6,107
"07720 Malmgård   (Loviisa )",81,49,73.5,5.3,119
"07740 Gammelby   (Loviisa )",414,251,74.9,7.8,116
"07750 Isnäs   (Loviisa )",528,303,72.9,10.5,135
"07780 Härkäpää   (Loviisa )",166,84,77.4,5.8,155
"07800 Lapinjärvi Keskus   (Lapinjärvi )",881,440,74.3,12.6,166
"07810 Ingermaninkylä   (Lapinjärvi )",281,162,74.7,10.4,127
"07820 Porlammi   (Lapinjärvi )",491,260,69.6,11.3,167
"07830 Pukaro   (Lapinjärvi )",275,167,76.0,8.0,115
"07840 Lindkoski   (Lapinjärvi )",210,118,78.0,10.7,117
"07850 Heikinkylä   (Lapinjärvi )",303,155,75.5,8.6,159
"07870 Skinnarby   (Loviisa )",441,268,74.3,8.7,117
"07880 Liljendal Keskus   (Loviisa )",1022,574,76.5,6.0,131
"07890 Mickelspiltom   (Loviisa )",199,111,78.4,5.4,126
"07900 Loviisa Keskus   (Loviisa )",4131,2146,68.1,14.6,178
"07910 Valko   (Loviisa )",1069,589,69.6,12.0,157
"07920 Etelä-Harju   (Loviisa )",1411,757,73.7,7.3,150
"07930 Pernaja Kirkonkylä   (Loviisa )",652,359,74.4,9.2,141
"07940 Määrlahti   (Loviisa )",969,563,59.5,18.3,188
"07945 Kuggom   (Loviisa )",471,274,80.7,7.9,111
"07955 Tesjoki   (Loviisa )",1181,638,74.5,8.7,146
"07960 Ahvenkoski   (Loviisa )",115,69,69.6,9.4,140
"07970 Ruotsinpyhtää Keskus   (Loviisa )",561,303,66.7,19.8,172
"07980 Kuninkaankylä   (Loviisa )",277,153,78.4,9.1,122
"07990 Ruotsinkylä-Koskisto   (Loviisa )",295,163,73.6,7.0,144
"08100 Lohja Keskus   (Lohja )",7884,4187,71.9,10.4,159
"08150 Keskilohja   (Lohja )",5351,3181,76.9,7.5,117
"08200 Ojamo   (Lohja )",3771,2121,65.8,14.8,166
"08350 Routio   (Lohja )",2353,1409,70.2,13.5,135
"08360 Kisakallio   (Lohja )",0,0,0.0,0.0,0
"08450 Hormajärvi   (Lohja )",295,140,68.6,5.9,201
"08480 Karstu   (Lohja )",258,144,82.6,3.3,110
"08500 Ventelä-Millola   (Lohja )",6482,3811,76.8,9.2,120
"08680 Muijala   (Lohja )",1799,1130,81.3,6.9,95
"08700 Virkkala   (Lohja )",7430,4189,73.0,10.7,140
"08800 Kirkniemi   (Lohja )",1600,965,78.2,8.6,111
"09120 Karjalohja   (Lohja )",1227,655,68.9,13.8,170
"09220 Sammatti   (Lohja )",1670,911,74.6,10.3,141
"09430 Saukkola   (Lohja )",1665,989,75.7,9.3,120
"09520 Millola   (Lohja )",111,66,72.7,7.7,131
"09630 Koisjärvi   (Lohja )",479,272,75.4,9.7,130
"09810 Nummi-Oinola   (Lohja )",988,551,75.0,12.3,134
"09930 Leppäkorpi   (Lohja )",307,157,72.0,10.3,172
"10120 Tähtelä   (Inkoo )",614,354,83.1,5.5,105
"10140 Päivölä   (Inkoo )",299,193,80.3,7.7,92
"10160 Degerby   (Inkoo )",889,540,83.1,4.3,97
"10210 Inkoo Keskus   (Inkoo )",2741,1429,77.1,8.2,145
"10230 Inkoo Asemanseutu   (Inkoo )",384,224,75.0,8.7,127
"10250 Fagervik   (Inkoo )",128,68,80.9,8.3,133
"10270 Barösund   (Inkoo )",136,75,68.0,7.3,162
"10300 Karjaa Keskus   (Raasepori )",7310,4128,71.4,11.1,145
"10320 Bäljars   (Raasepori )",1319,759,64.6,17.8,164
"10330 Pinjainen   (Raasepori )",613,382,74.6,12.0,113
"10350 Meltolan sairaala-alue   (Raasepori )",11,..,..,..,..
"10360 Mustio   (Raasepori )",1287,775,75.4,9.9,119
"10380 Kaunislahti   (Raasepori )",109,73,87.7,3.0,70
"10410 Åminnefors   (Raasepori )",356,209,60.3,16.6,176
"10420 Pohjankuru   (Raasepori )",1757,914,69.7,13.5,171
"10440 Bollsta   (Raasepori )",330,189,64.6,19.2,166
"10470 Fiskari   (Raasepori )",548,312,68.3,18.4,154
"10480 Antskog   (Raasepori )",122,69,73.9,16.4,139
"10520 Tenhola Kirkonkylä   (Raasepori )",1713,909,79.5,7.4,132
"10570 Bromarv   (Raasepori )",466,224,73.2,6.8,179
"10600 Tammisaari Keskus   (Raasepori )",4885,2570,72.1,9.6,160
"10620 Tammisaari   (Raasepori )",1872,1077,77.8,7.2,122
"10640 Dragsvik   (Raasepori )",932,592,82.1,6.2,90
"10650 Flyet   (Raasepori )",2691,1434,73.0,11.6,153
