"Postialue","Inhabitants, total, 2017","Inhabitants aged 18-64, 2017","Employment rate %, 2017","Unemployment rate %, 2017","Economic dependency ratio, 2017"
"39965 Karviankylä   (Karvia )",194,91,63.7,6.5,218
"39980 Sara   (Karvia )",175,92,77.2,12.3,137
"39990 Alkkia   (Karvia )",102,58,65.5,17.4,162
"40100 Jyväskylä Keskus   (Jyväskylä )",14165,10309,62.6,12.8,118
"40200 Mannila-Taulumäki   (Jyväskylä )",4291,2919,71.8,10.2,103
"40250 Ritoniemi-Lohikoski   (Jyväskylä )",6047,3640,73.4,9.9,125
"40270 Pappilanrinne-Pappilanvuori   (Jyväskylä )",11843,6844,74.2,11.4,131
"40320 Seppälän Teollisuusalue   (Jyväskylä )",5418,3583,66.9,15.1,125
"40340 Huhtasuo   (Jyväskylä )",6433,3882,47.8,31.5,242
"40400 Halssila   (Jyväskylä )",4225,2540,74.5,12.0,121
"40420 Jyskä   (Jyväskylä )",4718,2947,72.1,13.5,121
"40500 Keljo-Ristonmaa   (Jyväskylä )",3266,2290,59.5,14.2,137
"40520 Kuokkala-Ristikivi   (Jyväskylä )",16643,11386,63.5,15.2,128
"40530 Keljonkangas   (Jyväskylä )",6017,3749,74.7,10.9,113
"40600 Mattilanpelto   (Jyväskylä )",2286,1570,66.3,11.0,117
"40620 Keskussairaala-alue-Kukkumäki   (Jyväskylä )",428,325,62.8,16.0,107
"40630 Kypärämäki   (Jyväskylä )",3780,2111,68.5,14.8,159
"40640 Keltinmäki   (Jyväskylä )",6408,4114,58.1,19.4,165
"40660 Länsi-Palokka   (Jyväskylä )",701,402,76.1,9.5,129
"40700 Mäki-Matti   (Jyväskylä )",5279,3847,61.8,14.4,121
"40720 Nisula   (Jyväskylä )",2685,1695,66.2,13.2,137
"40740 Kortepohja   (Jyväskylä )",7317,5062,55.9,14.0,156
"40800 Vaajakoski   (Jyväskylä )",8189,4545,71.4,13.1,150
"40820 Vuoritsalo   (Jyväskylä )",895,550,65.1,19.4,148
"40900 Säynätsalo   (Jyväskylä )",3376,1932,70.7,13.3,144
"40930 Kinkomaa   (Muurame )",1535,862,81.0,8.9,119
"40950 Muurame Keskus   (Muurame )",8108,4672,76.2,9.6,127
"41120 Puuppola   (Jyväskylä )",1971,1050,79.3,9.1,136
"41140 Kuikka   (Jyväskylä )",647,338,76.0,10.1,151
"41160 Tikkakoski   (Jyväskylä )",4814,2627,71.7,12.0,153
"41180 Vehniä   (Laukaa )",776,421,77.2,11.0,137
"41210 Jokihaara   (Uurainen )",451,226,74.8,11.1,164
"41220 Höytiä   (Uurainen )",313,158,75.9,9.8,157
"41230 Uurainen Keskus   (Uurainen )",1678,912,67.1,15.8,172
"41240 Kyynämöinen   (Uurainen )",238,134,72.4,12.6,145
"41260 Hoikankylä   (Saarijärvi )",150,77,80.5,7.5,138
"41270 Lannevesi   (Saarijärvi )",518,271,69.7,15.2,167
"41290 Kangashäkki   (Uurainen )",906,426,79.1,6.6,164
"41310 Leppävesi   (Laukaa )",3165,1772,79.0,8.1,125
"41325 Laukkavirta   (Laukaa )",300,161,70.2,12.4,159
"41330 Vihtavuori   (Laukaa )",2633,1507,72.5,11.8,140
"41340 Laukaa Keskus   (Laukaa )",5666,2881,71.6,11.0,172
"41350 Laukaa Asemanseutu   (Laukaa )",800,447,72.0,13.0,145
"41360 Valkola   (Laukaa )",456,258,75.2,10.2,133
"41370 Kuusa   (Laukaa )",1085,582,78.5,7.9,135
"41390 Äijälä   (Laukaa )",418,225,69.8,13.3,166
"41400 Lievestuore   (Laukaa )",3362,1844,70.8,12.9,156
"41410 Kankainen   (Toivakka )",191,98,72.4,16.5,158
"41440 Ruuhimäki   (Toivakka )",217,122,77.9,12.0,126
"41450 Leppälahti   (Jyväskylä )",658,366,76.0,7.6,136
"41490 Niemisjärvi   (Hankasalmi )",777,438,67.6,12.4,161
"41500 Hankasalmi Asemanseutu   (Hankasalmi )",1366,735,63.9,15.0,186
"41520 Hankasalmi Keskus   (Hankasalmi )",1931,929,69.4,9.7,195
"41530 Veneranta   (Hankasalmi )",162,93,55.9,18.8,200
"41540 Ristimäki   (Hankasalmi )",225,124,71.8,11.0,153
"41550 Hannula   (Hankasalmi )",165,81,65.4,10.2,211
"41560 Säkinmäki   (Hankasalmi )",147,77,63.6,12.5,194
"41580 Sauvamäki   (Hankasalmi )",258,141,64.5,18.8,180
"41630 Oravasaari   (Jyväskylä )",409,203,73.9,12.8,169
"41660 Toivakka Keskus   (Toivakka )",1849,927,74.6,10.8,163
"41710 Rutalahti-Kivisuo   (Jyväskylä )",271,137,70.8,14.2,177
"41730 Kivisuo   (Joutsa )",28,..,..,..,..
"41750 Havumäki   (Joutsa )",87,52,63.5,15.4,156
"41770 Leivonmäki   (Joutsa )",622,317,69.7,14.0,176
"41800 Korpilahti Keskus   (Jyväskylä )",3600,1945,69.8,14.1,162
"41820 Saakoski   (Jyväskylä )",314,183,74.9,8.7,124
"41840 Moksi   (Jyväskylä )",82,47,68.1,13.5,149
"41860 Rannila   (Jyväskylä )",295,162,75.9,14.0,138
"41870 Putkilahti   (Jyväskylä )",167,90,67.8,16.4,174
"41880 Oittila   (Jyväskylä )",124,52,69.2,18.2,226
"41900 Petäjävesi Keskus   (Petäjävesi )",2631,1395,73.3,10.9,154
"41920 Kintaus   (Petäjävesi )",637,316,72.8,11.5,175
"41925 Ylä-Kintaus   (Petäjävesi )",171,78,66.7,8.8,229
"41930 Kuohu   (Jyväskylä )",844,468,75.2,10.4,140
"41940 Vesanka   (Jyväskylä )",1391,796,76.1,9.7,127
"41970 Huttula   (Keuruu )",56,33,72.7,14.3,133
"41980 Kuivasmäki   (Petäjävesi )",170,100,74.0,14.0,127
"42100 Jämsä Keskus   (Jämsä )",10095,5483,68.7,14.8,166
"42140 Juokslahti   (Jämsä )",283,156,73.7,12.2,144
"42220 Kaipola   (Jämsä )",1045,572,66.3,18.1,173
"42300 Jämsänkoski Keskus   (Jämsä )",5405,2919,63.5,18.4,188
"42330 Haavisto   (Jämsä )",412,252,80.2,8.6,100
"42440 Koskenpää   (Jämsä )",638,325,61.2,16.4,214
"42520 Asunta   (Keuruu )",159,76,76.3,6.5,170
"42560 Pohjoisjärvi   (Keuruu )",65,34,61.8,25.0,196
"42600 Multia Keskus-Väätäiskylä   (Multia )",1385,684,66.7,10.8,198
"42660 Sahrajärvi   (Multia )",125,72,66.7,14.3,160
"42700 Keuruu Keskus   (Keuruu )",7854,4039,66.0,14.1,190
"42720 Valkealahti   (Keuruu )",29,..,..,..,..
"42800 Haapamäki   (Keuruu )",1147,585,61.5,18.4,211
"42820 Riiho   (Keuruu )",82,51,68.6,16.7,128
"42830 Ylä-Kolkki   (Mänttä-Vilppula )",56,25,76.0,9.5,195
"42840 Kolkki   (Mänttä-Vilppula )",127,65,69.2,8.2,182
"42850 Pohjaslahti   (Mänttä-Vilppula )",133,72,75.0,6.9,146
"42870 Kotala   (Virrat )",416,215,63.7,17.0,201
"42910 Pihlajavesi   (Keuruu )",305,144,61.1,18.5,235
"42930 Katajamäki   (Keuruu )",103,55,65.5,12.2,178
"43100 Saarijärvi Keskus   (Saarijärvi )",6167,3233,62.2,20.1,202
"43130 Tarvaala   (Saarijärvi )",408,231,71.9,16.2,146
"43170 Häkkilä   (Saarijärvi )",226,138,55.8,32.5,194
"43220 Mahlu   (Saarijärvi )",412,238,63.4,17.5,173
"43240 Lehtola   (Saarijärvi )",172,92,62.0,21.9,197
"43250 Kolkanlahti   (Saarijärvi )",296,178,60.1,22.5,172
"43270 Kalmari   (Saarijärvi )",489,253,70.0,13.7,172
"43300 Kannonkoski Keskus   (Kannonkoski )",1187,580,64.8,15.7,208
"43340 Kannonjärvi   (Kannonkoski )",163,86,62.8,15.6,202
"43390 Lokakylä   (Kivijärvi )",78,37,62.2,8.0,239
"43420 Kukko   (Saarijärvi )",60,29,62.1,25.0,233
"43430 Väätäiskylä   (Multia )",41,22,63.6,22.2,173
"43440 Pylkönmäki Keskus   (Saarijärvi )",500,245,53.9,22.8,276
"43480 Pääjärvi   (Saarijärvi )",136,68,61.8,20.8,216
"43490 Kangasaho   (Karstula )",163,93,65.6,15.3,163
"43500 Karstula Keskus   (Karstula )",2865,1452,64.5,16.3,200
"43520 Kiminki   (Karstula )",224,113,64.6,12.0,203
"43540 Rantakylä-Pirttilahti   (Karstula )",146,75,61.3,20.7,217
"43560 Vahanka   (Karstula )",182,84,65.5,19.1,225
"43610 Aho   (Karstula )",85,45,64.4,23.7,193
"43640 Humppi   (Karstula )",142,78,66.7,17.5,173
"43660 Vastinki   (Karstula )",237,132,64.4,13.3,179
"43700 Kyyjärvi Keskus   (Kyyjärvi )",1205,610,68.5,12.9,187
"43720 Kumpulainen   (Kyyjärvi )",105,51,51.0,23.5,304
"43800 Kivijärvi Keskus-Sompala   (Kivijärvi )",979,475,65.9,11.8,209
"43840 Sompala   (Kivijärvi )",43,21,52.4,15.4,291
"43900 Kinnula Keskus   (Kinnula )",1362,678,61.2,19.3,221
"43940 Muhola-Saarensalmi   (Kinnula )",228,111,50.5,20.0,300
"43960 Saarensalmi   (Kinnula )",64,33,51.5,29.2,277
"44100 Äänekoski Keskus   (Äänekoski )",4160,2175,63.4,17.5,199
"44120 Mämmensalmi-Mustaniemi   (Äänekoski )",2515,1373,70.1,12.9,159
"44150 Likolahti-Karhunlähde   (Äänekoski )",3218,1926,62.4,19.7,165
"44160 Huutomäki   (Äänekoski )",519,293,76.5,9.7,130
"44170 Hietama   (Äänekoski )",529,296,77.0,13.0,128
"44190 Parantala   (Äänekoski )",243,132,69.7,10.7,161
"44200 Suolahti Keskus   (Äänekoski )",4441,2340,62.0,17.7,202
"44220 Sörkänmäki   (Äänekoski )",398,223,69.5,16.7,154
"44250 Äänekoivisto   (Äänekoski )",557,288,77.4,9.0,148
"44260 Vihijärvi   (Äänekoski )",288,142,70.4,12.3,182
"44280 Sumiainen Keskus   (Äänekoski )",865,437,68.2,17.0,188
"44300 Konnevesi Keskus   (Konnevesi )",1762,898,68.6,15.3,181
"44320 Sirkkamäki   (Konnevesi )",136,62,71.0,13.7,202
"44330 Hytölä   (Konnevesi )",292,164,75.0,10.2,132
"44350 Istunmäki   (Konnevesi )",365,184,68.5,8.0,185
"44370 Mäntymäki   (Konnevesi )",169,91,62.6,17.4,197
"44400 Konginkangas Keskus   (Äänekoski )",667,313,61.0,21.7,242
"44420 Liimattala   (Äänekoski )",366,216,68.5,12.9,144
"44440 Räihä   (Äänekoski )",117,68,58.8,21.6,193
"44460 Kalaniemi   (Äänekoski )",133,77,61.0,19.0,183
"44480 Niinilahti   (Viitasaari )",147,78,55.1,20.4,227
"44500 Viitasaari Keskus   (Viitasaari )",4202,2112,64.9,14.9,198
"44530 Ilmolahti   (Viitasaari )",168,97,68.0,14.3,151
"44580 Huopanankoski   (Viitasaari )",215,116,59.5,18.8,212
"44590 Vuorilahti   (Viitasaari )",68,35,65.7,20.7,196
"44610 Kärnä   (Viitasaari )",160,86,67.4,15.9,171
"44630 Kumpumäki   (Viitasaari )",174,96,64.6,13.9,172
"44640 Kymönkoski   (Viitasaari )",356,204,74.5,11.1,134
"44670 Suovanlahti   (Viitasaari )",152,77,62.3,14.3,210
"44680 Lahnanen   (Viitasaari )",61,34,64.7,12.0,154
"44730 Löytänä   (Viitasaari )",99,59,61.0,16.3,168
"44740 Keitelepohja-Kotvala   (Viitasaari )",197,107,57.9,22.5,213
"44760 Keihärinkoski   (Viitasaari )",297,156,55.1,24.6,238
"44770 Valkeisjärvi   (Viitasaari )",23,..,..,..,..
"44790 Kotvala   (Viitasaari )",50,24,70.8,5.6,178
"44800 Pihtipudas Keskus   (Pihtipudas )",2469,1261,66.9,14.7,189
"44860 Alvajärvi   (Pihtipudas )",231,125,76.0,7.8,143
"44880 Muurasjärvi   (Pihtipudas )",599,301,69.8,11.4,183
"44910 Elämäjärvi   (Pihtipudas )",218,123,68.3,15.2,160
"44920 Peninki   (Pihtipudas )",210,109,71.6,9.3,169
"44950 Kärväsjärvi   (Pihtipudas )",186,100,62.0,17.3,186
"44970 Korppinen   (Pihtipudas )",171,92,75.0,12.7,144
"45100 Kouvola Keskus   (Kouvola )",9393,5071,68.2,13.8,168
"45120 Kotkankallio-Vahteranmäki   (Kouvola )",3952,2203,76.2,9.5,132
"45130 Korjala-Kaunisnurmi   (Kouvola )",1742,1158,61.6,16.5,142
"45150 Kankaronmäki-Eskolanmäki   (Kouvola )",4835,2778,59.8,19.3,187
"45160 Lehtomäki   (Kouvola )",5066,3098,60.6,20.1,166
"45200 Tornionmäki   (Kouvola )",5988,3560,64.0,17.4,161
"45330 Harju   (Kouvola )",304,180,71.1,12.9,134
"45360 Kukkuramäki   (Kouvola )",3819,2228,75.4,9.0,126
"45370 Valkeala kk   (Kouvola )",2714,1423,73.4,10.1,158
"45410 Utti   (Kouvola )",839,467,71.9,11.8,143
"45460 Savero   (Kouvola )",184,121,70.2,8.6,114
"45610 Koria   (Kouvola )",5076,2933,74.3,11.2,131
"45700 Kuusankoski Keskus   (Kouvola )",8925,4699,64.6,15.9,189
"45720 Kotiharju-Ruhjonmäki   (Kouvola )",2700,1725,70.6,14.1,120
"45740 Maunuksela   (Iitti )",2778,1511,69.0,13.2,165
"45750 Kuusankosken Sairaala-alue   (Kouvola )",69,56,53.6,25.0,130
"45810 Pilkanmaa   (Kouvola )",1515,929,70.5,13.4,129
"45910 Voikkaa   (Kouvola )",2650,1526,62.7,18.5,176
"45940 Oravala   (Kouvola )",295,164,64.6,13.1,178
"46110 Tuohikotti   (Kouvola )",365,210,65.7,10.4,161
"46140 Vekaranjärvi   (Kouvola )",141,91,72.5,7.0,107
"46230 Aro   (Kouvola )",491,266,73.7,10.9,144
"46400 Kaipiainen   (Kouvola )",472,269,68.4,14.8,154
"46430 Tirva-Inkerilä   (Kouvola )",270,146,71.9,15.3,155
"46450 Enäjärvi   (Kouvola )",164,87,78.2,9.3,134
"46530 Kannuskoski   (Luumäki )",166,93,69.9,12.2,152
"46570 Saaramaa   (Kouvola )",40,22,77.3,5.6,122
"46710 Sippola   (Kouvola )",739,377,68.2,13.5,185
"46730 Ruotila   (Kouvola )",114,54,75.9,6.8,171
"46750 Liikkala   (Kouvola )",288,161,74.5,13.7,140
"46800 Myllykoski   (Kouvola )",4713,2621,63.3,16.9,181
"46810 Ummeljoki   (Kouvola )",1406,816,66.5,15.7,157
"46860 Anjalankoski Keskus   (Kouvola )",576,316,61.1,20.2,194
"46900 Inkeroinen   (Kouvola )",3644,1988,63.7,17.0,185
"46910 Anjala   (Kouvola )",1888,1059,71.9,13.8,147
"46930 Huruksela   (Kotka )",216,118,71.2,13.4,151
"46950 Ahvio   (Kouvola )",62,32,68.8,8.3,182
"46960 Muhniemi   (Kouvola )",309,182,74.2,8.2,129
"47110 Löytty   (Kouvola )",92,58,79.3,11.5,100
"47150 Raussila   (Kouvola )",153,79,78.5,6.1,147
"47200 Elimäki kk   (Kouvola )",2330,1188,67.8,12.0,185
"47260 Ratula   (Kouvola )",131,79,77.2,10.3,115
"47310 Haapa-Kimola   (Iitti )",245,131,78.6,5.5,138
"47350 Kimonkylä   (Lapinjärvi )",131,66,71.2,11.3,179
"47400 Kausala   (Iitti )",4638,2450,69.9,13.0,167
"47440 Sääskjärvi   (Iitti )",143,75,76.0,5.0,147
"47450 Perheniemi   (Iitti )",260,155,72.9,10.3,130
"47460 Hiisiö   (Iitti )",69,45,60.0,27.0,156
"47490 Mankala-Hiisiö   (Iitti )",324,169,72.2,12.2,163
"47520 Iitti kk   (Iitti )",168,103,84.5,3.3,91
"47540 Löyttilä   (Iitti )",178,103,68.0,10.3,147
"47610 Kymentaka   (Iitti )",135,71,83.1,4.8,129
"47650 Kimola   (Kouvola )",201,116,75.9,8.3,128
"47710 Jaala kk   (Kouvola )",1101,546,70.7,11.1,182
"47760 Huhdasjärvi   (Kouvola )",122,64,56.3,29.4,230
"47810 Selänpää   (Kouvola )",292,179,66.5,13.8,141
"47830 Hasula   (Kouvola )",116,58,81.0,6.0,147
"47850 Verla   (Kouvola )",137,61,60.7,15.9,261
"47900 Vuohijärvi   (Kouvola )",246,139,50.4,27.1,228
"47910 Hillosensalmi   (Kouvola )",29,..,..,..,..
"48100 Kotkansaari   (Kotka )",10543,5988,58.1,18.8,199
"48130 Katariina   (Kotka )",676,421,65.8,17.3,141
"48200 Hovinsaari   (Kotka )",1683,1107,44.6,36.5,238
"48210 Toukolan Sairaala-Alue   (Kotka )",279,182,71.4,11.6,113
"48220 Metsola   (Kotka )",1357,750,64.7,14.5,176
"48230 Korela-Jylppy   (Kotka )",1467,897,59.0,17.5,176
"48300 Ruonala   (Kotka )",1244,718,74.5,10.1,132
"48310 Mussalo   (Kotka )",4459,2742,76.1,9.7,111
"48350 Karhuvuori   (Kotka )",3521,2034,37.2,42.3,360
"48400 Sutela   (Kotka )",4139,2286,73.8,11.4,143
"48410 Kaukola   (Kotka )",1674,950,79.6,8.3,119
"48600 Karhula   (Kotka )",7124,3734,59.7,20.9,217
"48700 Kyminlinna   (Kotka )",2469,1444,60.0,20.8,183
"48710 Koivula   (Kotka )",1332,810,73.8,11.4,121
"48720 Kymi   (Kotka )",1802,1006,74.6,10.6,138
"48750 Nikeli   (Kotka )",180,99,65.7,12.2,177
"48770 Ristinkallio   (Kotka )",1855,1015,64.3,19.1,179
"48800 Otsola-Mäntykangas   (Kotka )",2236,1271,75.4,9.7,131
"48810 Rantahaka   (Kotka )",768,417,70.7,11.1,159
"48900 Sunila   (Kotka )",1356,842,59.4,18.8,168
"48910 Suulisniemi   (Kotka )",1438,851,64.0,17.0,162
"48930 Tiutinen   (Kotka )",326,191,74.9,7.1,128
"49200 Heinlahti   (Pyhtää )",796,411,81.8,6.7,136
"49210 Huutjärvi   (Pyhtää )",1004,511,71.0,11.5,175
"49220 Siltakylä   (Pyhtää )",1767,985,77.5,7.7,130
"49240 Purolanlahti   (Pyhtää )",361,192,72.4,10.9,158
"49270 Pyhtää kk   (Pyhtää )",856,508,60.6,19.8,175
"49290 Vastila   (Pyhtää )",420,250,72.8,12.9,130
"49300 Tavastila   (Kotka )",693,389,70.2,15.0,153
"49340 Juurikorpi   (Kotka )",124,71,67.6,15.8,158
"49400 Hamina Keskus   (Hamina )",9966,5271,68.1,13.3,175
"49410 Poitsila   (Hamina )",1898,1121,64.1,18.8,160
"49420 Uusi-Summa   (Hamina )",1977,1174,72.1,13.4,132
"49460 Hillo   (Hamina )",1152,668,55.1,21.7,208
"49480 Vanha-Summa   (Hamina )",461,278,69.4,12.7,136
"49490 Neuvoton   (Hamina )",1436,792,70.8,14.1,155
"49510 Husula   (Hamina )",1154,630,66.5,15.7,174
"49520 Reitkalli   (Hamina )",265,163,77.3,6.0,107
"49540 Metsäkylä   (Hamina )",470,249,70.3,9.3,167
"49570 Kannusjärvi   (Hamina )",418,227,71.8,12.8,156
"49610 Sivatti   (Hamina )",98,48,68.8,5.7,188
"49630 Vehkajoki   (Hamina )",99,47,55.3,18.8,267
"49640 Paijärvi   (Hamina )",169,80,80.0,7.2,160
"49660 Pyhältö   (Hamina )",571,301,71.8,8.9,162
"49700 Miehikkälä Kirkonkylä   (Miehikkälä )",870,402,64.2,11.3,235
"49720 Hurttala   (Miehikkälä )",61,30,90.0,3.6,126
"49730 Muurikkala   (Miehikkälä )",288,148,64.2,13.6,200
"49750 Kalliokoski   (Miehikkälä )",142,73,64.4,20.3,190
"49760 Suur-Miehikkälä   (Miehikkälä )",211,115,71.3,11.8,154
"49770 Salo-Miehikkälä   (Miehikkälä )",228,121,64.5,15.2,189
"49780 Onkamaa   (Hamina )",91,61,70.5,15.7,112
"49840 Mäntlahti   (Hamina )",138,65,55.4,20.0,283
"49860 Klamila   (Virolahti )",671,369,65.3,13.9,177
"49900 Virolahti Keskus   (Virolahti )",1867,1003,65.6,15.4,179
"49930 Vaalimaa   (Virolahti )",161,76,75.0,6.6,183
"49960 Ala-Pihlaja   (Virolahti )",197,110,74.5,9.9,135
"49980 Ravijoki   (Virolahti )",253,134,75.4,9.8,146
"50100 Mikkeli Keskus   (Mikkeli )",9592,5851,66.7,10.8,142
"50120 Siekkilä   (Mikkeli )",1548,938,63.9,15.4,155
"50130 Nuijamies   (Mikkeli )",3020,1759,70.2,11.0,141
"50150 Karkialampi   (Mikkeli )",1379,898,68.3,14.3,123
"50160 Kattilansilta   (Mikkeli )",2407,1425,57.1,18.2,193
"50170 Peitsari   (Mikkeli )",5840,3376,69.1,13.0,148
"50180 Visulahti   (Mikkeli )",807,473,81.2,4.2,110
"50190 Tuppurala   (Mikkeli )",4856,2784,63.2,15.6,171
"50200 Kovala   (Mikkeli )",632,334,74.3,12.4,152
"50300 Rämälä   (Mikkeli )",324,177,76.8,7.5,138
"50350 Norola   (Mikkeli )",324,189,78.3,8.6,115
"50500 Tuukkala-Kaituenmäki   (Mikkeli )",1528,936,67.7,11.0,137
"50520 Moision Sairaala-alue   (Mikkeli )",130,82,69.5,10.9,124
"50600 Karikko   (Mikkeli )",4815,2693,78.1,8.1,126
"50670 Otava   (Mikkeli )",1880,1048,71.2,14.2,147
"50700 Syysjärvi   (Mikkeli )",605,361,78.7,8.7,111
"50770 Korpikoski   (Mikkeli )",249,142,74.6,10.9,131
"50800 Annilanselkä   (Mikkeli )",550,300,75.7,8.1,138
"50970 Ihastjärvi   (Mikkeli )",2508,1552,70.5,8.5,128
"51130 Vanhamäki   (Mikkeli )",156,81,55.6,18.2,232
"51200 Kangasniemi Keskus   (Kangasniemi )",3852,1865,65.1,12.3,211
"51260 Tahkomäki   (Kangasniemi )",163,75,72.0,12.9,202
"51270 Kutemajärvi   (Kangasniemi )",213,122,71.3,13.0,142
"51310 Levä   (Kangasniemi )",136,56,64.3,14.3,268
"51335 Kaihlamäki   (Kangasniemi )",46,23,87.0,0.0,119
"51340 Hännilä-Särkiharju   (Kangasniemi )",291,146,72.6,9.4,175
"51360 Koivula-Synsiö   (Kangasniemi )",181,91,71.4,15.6,179
"51380 Synsiö   (Kangasniemi )",54,36,58.3,12.5,157
"51420 Harjumaa-Pajulankylä   (Mikkeli )",231,128,78.9,8.2,127
"51430 Läsäkoski   (Kangasniemi )",86,50,74.0,7.5,132
"51440 Vuojalahti   (Kangasniemi )",238,138,76.8,7.0,125
"51450 Pajulankylä   (Mikkeli )",54,29,79.3,4.2,135
"51460 Luusniemi   (Kangasniemi )",207,116,74.1,11.3,138
"51520 Hiirola   (Mikkeli )",433,245,73.1,9.6,141
"51540 Kalvitsa   (Mikkeli )",321,170,68.2,9.4,165
"51600 Haukivuori Keskus-Piitkäaho   (Mikkeli )",1428,645,65.3,15.3,231
"51620 Pitkäaho   (Mikkeli )",19,..,..,..,..
"51670 Nykälä   (Mikkeli )",135,63,65.1,14.6,221
"51720 Rahula   (Mikkeli )",498,287,75.6,9.6,124
"51740 Huuhanaho   (Mikkeli )",224,116,71.6,8.8,167
"51760 Nuutilanmäki   (Juva )",295,163,72.4,9.2,140
"51780 Kuosmala   (Juva )",126,64,78.1,3.8,142
"51810 Maivala   (Juva )",149,78,71.8,8.2,166
"51820 Hatsola   (Juva )",273,164,69.5,13.0,140
"51850 Vuorenmaa   (Juva )",201,103,80.6,7.8,134
"51860 Narila   (Juva )",67,35,85.7,3.2,123
"51880 Koikkala   (Juva )",237,122,68.9,10.6,179
"51890 Risulahti   (Juva )",82,52,71.2,11.9,116
"51900 Juva Keskus   (Juva )",4364,2210,68.7,12.6,184
"51930 Paatela   (Juva )",162,88,76.1,8.2,135
"51940 Härkälä   (Juva )",122,69,68.1,9.6,154
"51980 Lauteala   (Juva )",223,122,77.0,6.9,135
"52100 Anttola   (Mikkeli )",1445,725,71.7,12.6,173
"52110 Majavesi   (Mikkeli )",395,221,75.1,9.8,135
"52150 Hauhala   (Mikkeli )",128,66,74.2,5.8,137
"52200 Puumala Keskus   (Puumala )",1818,888,66.6,12.4,201
"52230 Hurissalo   (Puumala )",222,128,74.2,13.6,124
"52270 Ryhälä   (Puumala )",37,20,65.0,13.3,185
"52300 Ristiina Keskus   (Mikkeli )",2933,1527,71.7,11.0,164
"52320 Vitsiälä   (Mikkeli )",348,205,75.6,6.1,122
"52330 Heimari   (Mikkeli )",53,34,73.5,7.4,112
"52340 Hangastenmaa   (Mikkeli )",199,105,84.8,3.3,124
"52360 Someenjärvi   (Mikkeli )",93,45,64.4,9.4,200
"52420 Pellosniemi   (Mikkeli )",652,357,54.9,21.6,229
"52510 Hietanen   (Hirvensalmi )",496,267,64.4,17.7,187
"52520 Syväsmäki   (Hirvensalmi )",160,103,64.1,9.6,142
"52550 Hirvensalmi Keskus   (Hirvensalmi )",1555,778,61.2,16.8,219
"52610 Tuukkalanlahti   (Hirvensalmi )",114,62,66.1,12.8,171
"52620 Kuitula   (Hirvensalmi )",93,45,55.6,24.2,232
"52700 Mäntyharju Keskus   (Mäntyharju )",4924,2459,67.6,11.6,190
"52720 Karankamäki-Koirakivi   (Mäntyharju )",113,60,71.7,8.5,163
"52730 Koirakivi   (Mäntyharju )",76,37,78.4,3.3,162
"52740 Tuustaipale   (Mäntyharju )",270,144,60.4,12.1,194
"52760 Mynttilä   (Mäntyharju )",90,52,75.0,11.4,131
"52780 Kuomiokoski   (Mikkeli )",101,49,65.3,20.0,206
"52830 Suomenniemi   (Mikkeli )",616,297,59.9,24.9,240
"52850 Halmeniemi   (Mäntyharju )",122,57,59.6,10.5,259
"52890 Käävänkylä   (Mäntyharju )",88,46,54.3,19.4,239
"52920 Voikoski   (Kouvola )",133,65,70.8,13.2,171
"52960 Nurmaa   (Mäntyharju )",134,74,68.9,12.1,158
"52970 Pankalahti-Ahvenainen   (Mäntyharju )",89,58,65.5,15.6,134
"52980 Ahvenainen   (Heinola )",78,36,61.1,8.3,239
"53100 Lappeenranta keskus   (Lappeenranta )",10357,5870,69.5,13.2,151
"53130 Keskussairaala-alue-Kimpinen   (Lappeenr",680,467,72.6,16.3,99
"53200 Kaukas-Tirilä   (Lappeenranta )",1548,910,67.1,15.3,151
"53300 Lauritsala-Mälkiä   (Lappeenranta )",7905,4642,66.5,15.3,154
"53400 Laihia   (Lappeenranta )",1940,1110,77.8,10.1,123
"53420 Mustola   (Lappeenranta )",554,318,71.7,12.0,143
"53500 Parkkarila-Harapainen-Reijola   (Lappee",5073,3075,73.2,11.5,124
"53550 Kourulanmäki   (Lappeenranta )",1219,725,75.7,9.1,120
"53600 Kesämäki   (Lappeenranta )",2525,1467,64.0,13.4,166
"53650 Mattila-Kuusela   (Lappeenranta )",2035,1174,67.6,12.8,154
"53810 Kuusimäki-Lavola   (Lappeenranta )",3896,2376,60.4,16.0,168
"53830 Rutola   (Lappeenranta )",728,434,78.6,8.8,112
"53850 Skinnarila   (Lappeenranta )",11224,7417,57.1,14.8,163
"53900 Pallo-Tysterniemi-Leiri   (Lappeenranta )",2974,2079,70.4,12.2,101
"53920 Voisalmi   (Lappeenranta )",3152,1890,62.6,19.5,163
"53950 Kivisalmi   (Lappeenranta )",2087,1276,61.8,19.3,162
"54100 Joutseno Keskus   (Lappeenranta )",5280,2818,67.9,13.8,172
"54110 Lampikangas   (Lappeenranta )",1101,640,75.5,11.5,128
"54120 Pulp   (Lappeenranta )",1766,1077,66.7,16.5,144
"54190 Konnunsuo   (Lappeenranta )",82,52,65.4,15.0,141
"54230 Nuijamaa   (Lappeenranta )",652,371,69.5,14.3,149
"54250 Rapattila   (Lappeenranta )",165,84,75.0,13.7,162
"54260 Hanhijärvi   (Lappeenranta )",785,430,79.5,6.3,127
"54270 Vainikkala   (Lappeenranta )",454,238,61.8,19.2,203
"54300 Vilkjärvi   (Lappeenranta )",618,335,80.3,7.9,128
