"Postal code area","Inhabitants, 2014 (PT)","Labour force, 2014 (PT)","Employed, 2014 (PT)","Unemployed, 2014 (PT)","Persons outside the labour force, 2014 (PT)","Children aged 0 to 14, 2014 (PT)","Students, 2014 (PT)","Pensioners, 2014 (PT)","Others, 2014 (PT)"
"02880 Veikkola   (Kirkkonummi )",5832,2984,2782,202,2848,1508,400,814,126
"02920 Niipperi   (Espoo )",5175,2597,2387,210,2578,1441,442,541,154
"02940 Lippajärvi-Järvenperä   (Espoo )",10188,5379,4921,458,4809,2313,766,1437,293
"02970 Kalajärvi   (Espoo )",3705,1919,1776,143,1786,890,254,539,103
"02980 Lakisto   (Espoo )",397,226,207,19,171,32,20,108,11
"03100 Nummela   (Vihti )",14899,7672,6790,882,7227,2966,935,2895,431
"03150 Huhmari   (Vihti )",790,427,382,45,363,124,53,165,21
"03220 Tervalampi   (Vihti )",618,325,303,22,293,95,48,131,19
"03250 Ojakkala   (Vihti )",1999,1021,948,73,978,451,160,317,50
"03300 Otalampi   (Vihti )",2469,1271,1152,119,1198,589,149,410,50
"03320 Selki   (Vihti )",343,178,160,18,165,65,22,65,13
"03400 Vihti Kirkonkylä   (Vihti )",6620,3245,2926,319,3375,1354,466,1410,145
"03430 Jokikunta   (Vihti )",557,266,240,26,291,134,43,101,13
"03600 Karkkila Keskus   (Karkkila )",6608,3065,2650,415,3543,1098,353,1899,193
"03620 Polari   (Karkkila )",2096,1039,895,144,1057,385,106,489,77
"03710 Uusitalo   (Karkkila )",200,102,90,12,98,39,5,48,6
"03790 Vihtijärvi   (Vihti )",533,278,250,28,255,100,25,112,18
"03810 Ikkala   (Lohja )",635,312,261,51,323,110,42,154,17
"03850 Pusula   (Lohja )",1667,776,663,113,891,234,95,530,32
"03870 Hyönölä   (Lohja )",196,102,85,17,94,29,4,56,5
"04130 Sipoo   (Sipoo )",7142,3552,3293,259,3590,1376,577,1458,179
"04150 Martinkylä   (Sipoo )",653,345,321,24,308,135,41,119,13
"04170 Paippinen   (Sipoo )",1249,655,621,34,594,271,65,238,20
"04200 Kerava Keskus   (Kerava )",11525,5599,4977,622,5926,1547,774,3249,356
"04220 Ahjo-Kaskela   (Kerava )",5205,2881,2557,324,2324,1143,452,543,186
"04230 Pihkaniitty   (Kerava )",7475,3814,3550,264,3661,1511,514,1481,155
"04240 Talma   (Sipoo )",1229,648,604,44,581,249,95,206,31
"04250 Alikerava   (Kerava )",4764,2631,2321,310,2133,744,350,886,153
"04260 Savio   (Kerava )",6226,3394,3038,356,2832,1046,415,1151,220
"04300 Hyrylä   (Tuusula )",10214,5146,4738,408,5068,2000,660,2153,255
"04310 Tuusula Keskus   (Tuusula )",2590,1306,1229,77,1284,511,197,503,73
"04320 Riihikallio   (Tuusula )",4598,2417,2222,195,2181,871,311,876,123
"04330 Lahela   (Tuusula )",2305,1250,1174,76,1055,604,193,217,41
"04340 Mattila   (Tuusula )",2305,1241,1163,78,1064,470,148,390,56
"04350 Nahkela   (Tuusula )",515,258,247,11,257,89,45,105,18
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",1264,659,607,52,605,260,92,217,36
"04370 Rusutjärvi   (Tuusula )",791,416,396,20,375,168,54,126,27
"04380 Tuomala   (Tuusula )",573,272,256,16,301,114,52,122,13
"04390 Jäniksenlinna   (Tuusula )",487,253,243,10,234,117,28,83,6
"04400 Loutti   (Järvenpää )",9579,4965,4457,508,4614,1182,670,2519,243
