"Postal code area","Inhabitants, 2016 (PT)","Employed, 2016 (PT)","Unemployed, 2016 (PT)","Children aged 0 to 14, 2016 (PT)","Students, 2016 (PT)","Pensioners, 2016 (PT)","Others, 2016 (PT)"
"39500 Ikaalinen Keskus   (Ikaalinen )",4564,1612,309,612,307,1602,122
"39530 Kilvakkala   (Ikaalinen )",1013,396,68,194,58,268,29
"39580 Riitiala   (Ikaalinen )",379,135,19,50,23,142,10
"39590 Tevaniemi   (Ikaalinen )",238,84,12,47,16,71,8
"39610 Kovelahti   (Ikaalinen )",204,65,14,33,13,73,6
"39620 Kovesjoki   (Parkano )",193,65,12,30,7,69,10
"39660 Lapinneva   (Parkano )",250,101,15,30,9,84,11
"39700 Parkano Keskus   (Parkano )",5519,1937,328,798,282,1979,195
"39750 Vatajanjärvi   (Parkano )",367,112,28,52,30,127,18
"39770 Aureskoski   (Parkano )",77,22,3,13,2,34,3
"39780 Alaskylä   (Parkano )",203,89,11,30,11,58,4
"39810 Linnankylä   (Kihniö )",328,132,17,48,16,102,13
"39820 Kihniö Keskus   (Kihniö )",1545,548,106,211,64,557,59
"39880 Kihniö Asemanseutu   (Kihniö )",133,47,10,10,6,42,18
"39920 Suomijärvi   (Karvia )",164,54,10,30,9,58,3
"39930 Karvia Keskus   (Karvia )",1097,379,71,112,53,434,48
"39940 Kantti   (Karvia )",260,102,6,38,12,93,9
"39960 Sarvela   (Karvia )",432,174,24,59,17,145,13
"39965 Karviankylä   (Karvia )",189,58,10,32,11,75,3
"39980 Sara   (Karvia )",173,68,12,13,18,61,1
"39990 Alkkia   (Karvia )",105,34,10,17,4,33,7
"40100 Jyväskylä Keskus   (Jyväskylä )",14056,6293,1084,682,2163,3495,339
"40200 Mannila-Taulumäki   (Jyväskylä )",3940,1868,292,564,467,673,76
"40250 Ritoniemi-Lohikoski   (Jyväskylä )",6097,2608,391,1090,487,1382,139
"40270 Pappilanrinne-Pappilanvuori   (Jyväskylä )",11479,4803,792,2473,818,2349,244
"40320 Seppälän Teollisuusalue   (Jyväskylä )",5123,2200,478,666,443,1178,158
"40340 Huhtasuo   (Jyväskylä )",6440,1859,923,958,614,1766,320
"40400 Halssila   (Jyväskylä )",4183,1808,301,799,302,874,99
"40420 Jyskä   (Jyväskylä )",4750,2118,409,928,353,836,106
"40500 Keljo-Ristonmaa   (Jyväskylä )",3289,1364,283,391,485,569,197
"40520 Kuokkala-Ristikivi   (Jyväskylä )",16488,7092,1448,2690,2124,2644,490
"40530 Keljonkangas   (Jyväskylä )",5712,2587,406,1267,453,891,108
"40600 Mattilanpelto   (Jyväskylä )",2222,985,176,270,303,442,46
"40620 Keskussairaala-alue-Kukkumäki   (Jyväskylä )",435,208,46,66,53,48,14
"40630 Kypärämäki   (Jyväskylä )",3818,1468,325,673,310,958,84
"40640 Keltinmäki   (Jyväskylä )",6582,2446,666,1039,836,1373,222
"40660 Länsi-Palokka   (Jyväskylä )",709,295,59,162,43,134,16
"40700 Mäki-Matti   (Jyväskylä )",5161,2281,411,447,892,991,139
"40720 Nisula   (Jyväskylä )",2664,1090,204,216,335,755,64
"40740 Kortepohja   (Jyväskylä )",7480,2842,577,1007,1519,1296,239
"40800 Vaajakoski   (Jyväskylä )",8191,3226,615,1613,536,2023,178
"40820 Vuoritsalo   (Jyväskylä )",890,345,91,158,57,207,32
"40900 Säynätsalo   (Jyväskylä )",3375,1345,281,582,232,848,87
"40930 Kinkomaa   (Muurame )",1442,646,71,382,82,233,28
"40950 Muurame Keskus   (Muurame )",8033,3478,450,1727,590,1606,182
"41120 Puuppola   (Jyväskylä )",1981,809,106,641,135,242,48
"41140 Kuikka   (Jyväskylä )",643,271,28,195,32,107,10
"41160 Tikkakoski   (Jyväskylä )",4800,1850,319,1178,321,1026,106
"41180 Vehniä   (Laukaa )",771,326,38,185,55,154,13
"41210 Jokihaara   (Uurainen )",447,174,20,131,31,81,10
"41220 Höytiä   (Uurainen )",314,122,19,57,18,89,9
"41230 Uurainen Keskus   (Uurainen )",1686,622,134,339,97,450,44
"41240 Kyynämöinen   (Uurainen )",245,92,28,33,8,80,4
"41260 Hoikankylä   (Saarijärvi )",153,56,10,33,7,40,7
"41270 Lannevesi   (Saarijärvi )",525,197,36,98,29,157,8
"41290 Kangashäkki   (Uurainen )",864,321,32,326,63,92,30
"41310 Leppävesi   (Laukaa )",3149,1356,175,883,189,467,79
"41325 Laukkavirta   (Laukaa )",302,116,22,55,18,85,6
"41330 Vihtavuori   (Laukaa )",2630,1100,174,645,174,472,65
"41340 Laukaa Keskus   (Laukaa )",5626,1984,332,1239,380,1551,140
"41350 Laukaa Asemanseutu   (Laukaa )",788,315,57,198,56,140,22
"41360 Valkola   (Laukaa )",462,198,20,85,45,104,10
"41370 Kuusa   (Laukaa )",1100,457,55,249,82,236,21
"41390 Äijälä   (Laukaa )",440,176,33,107,23,98,3
"41400 Lievestuore   (Laukaa )",3395,1299,247,627,170,958,94
"41410 Kankainen   (Toivakka )",193,73,14,42,13,43,8
"41440 Ruuhimäki   (Toivakka )",226,94,23,43,6,54,6
"41450 Leppälahti   (Jyväskylä )",673,285,38,125,39,175,11
"41490 Niemisjärvi   (Hankasalmi )",794,300,55,149,44,220,26
"41500 Hankasalmi Asemanseutu   (Hankasalmi )",1419,481,114,204,74,482,64
"41520 Hankasalmi Keskus   (Hankasalmi )",1992,643,100,304,127,757,61
"41530 Veneranta   (Hankasalmi )",158,52,13,20,6,61,6
"41540 Ristimäki   (Hankasalmi )",235,86,18,23,14,90,4
"41550 Hannula   (Hankasalmi )",170,54,10,31,10,61,4
"41560 Säkinmäki   (Hankasalmi )",151,42,11,18,10,65,5
"41580 Sauvamäki   (Hankasalmi )",264,83,26,46,14,88,7
"41630 Oravasaari   (Jyväskylä )",408,146,26,99,22,105,10
"41660 Toivakka Keskus   (Toivakka )",1888,703,97,346,82,615,45
"41710 Rutalahti-Kivisuo   (Jyväskylä )",280,95,21,48,14,99,3
"41730 Kivisuo   (Joutsa )",28,..,..,..,..,..,..
"41750 Havumäki   (Joutsa )",93,31,10,10,7,30,5
"41770 Leivonmäki   (Joutsa )",633,208,57,60,26,260,22
"41800 Korpilahti Keskus   (Jyväskylä )",3644,1339,281,598,234,1108,84
"41820 Saakoski   (Jyväskylä )",325,135,19,60,31,72,8
"41840 Moksi   (Jyväskylä )",82,32,5,12,1,30,2
"41860 Rannila   (Jyväskylä )",274,120,19,82,8,41,4
"41870 Putkilahti   (Jyväskylä )",162,54,14,15,12,65,2
"41880 Oittila   (Jyväskylä )",123,42,8,17,5,51,0
"41900 Petäjävesi Keskus   (Petäjävesi )",2634,992,172,450,163,799,58
"41920 Kintaus   (Petäjävesi )",624,230,35,198,41,104,16
"41925 Ylä-Kintaus   (Petäjävesi )",187,56,11,52,8,51,9
"41930 Kuohu   (Jyväskylä )",835,339,53,212,48,168,15
"41940 Vesanka   (Jyväskylä )",1375,587,83,303,84,280,38
"41970 Huttula   (Keuruu )",58,19,9,9,2,17,2
"41980 Kuivasmäki   (Petäjävesi )",173,74,11,26,11,48,3
"42100 Jämsä Keskus   (Jämsä )",10204,3813,769,1434,617,3342,229
"42140 Juokslahti   (Jämsä )",297,122,21,43,13,88,10
"42220 Kaipola   (Jämsä )",1088,397,98,192,67,303,31
"42300 Jämsänkoski Keskus   (Jämsä )",5533,1909,514,744,360,1884,122
"42330 Haavisto   (Jämsä )",412,199,22,67,38,81,5
"42440 Koskenpää   (Jämsä )",655,203,56,86,34,258,18
"42520 Asunta   (Keuruu )",151,54,6,20,8,63,0
"42560 Pohjoisjärvi   (Keuruu )",63,26,1,5,4,26,1
"42600 Multia Keskus-Väätäiskylä   (Multia )",1413,461,78,210,65,548,51
"42660 Sahrajärvi   (Multia )",120,47,8,13,6,39,7
"42700 Keuruu Keskus   (Keuruu )",7889,2721,472,1103,420,2942,231
"42720 Valkealahti   (Keuruu )",16,..,..,..,..,..,..
"42800 Haapamäki   (Keuruu )",1169,376,82,188,51,422,50
"42820 Riiho   (Keuruu )",83,38,7,10,5,20,3
"42830 Ylä-Kolkki   (Mänttä-Vilppula )",57,20,2,6,2,26,1
"42840 Kolkki   (Mänttä-Vilppula )",124,46,3,10,6,56,3
"42850 Pohjaslahti   (Mänttä-Vilppula )",138,60,4,7,3,59,5
"42870 Kotala   (Virrat )",429,150,31,56,18,166,8
"42910 Pihlajavesi   (Keuruu )",311,99,24,44,14,123,7
"42930 Katajamäki   (Keuruu )",103,34,8,10,11,38,2
"43100 Saarijärvi Keskus   (Saarijärvi )",6186,2052,541,919,367,2127,180
"43130 Tarvaala   (Saarijärvi )",415,177,33,94,25,77,9
"43170 Häkkilä   (Saarijärvi )",217,73,29,18,6,84,7
"43220 Mahlu   (Saarijärvi )",430,152,55,46,23,148,6
"43240 Lehtola   (Saarijärvi )",175,60,14,23,9,68,1
"43250 Kolkanlahti   (Saarijärvi )",331,117,41,30,19,116,8
"43270 Kalmari   (Saarijärvi )",512,185,35,81,27,179,5
"43300 Kannonkoski Keskus   (Kannonkoski )",1195,372,97,156,68,478,24
"43340 Kannonjärvi   (Kannonkoski )",168,56,11,29,14,53,5
"43390 Lokakylä   (Kivijärvi )",75,19,6,9,3,34,4
"43420 Kukko   (Saarijärvi )",61,20,8,10,1,20,2
"43430 Väätäiskylä   (Multia )",40,13,6,3,1,16,1
"43440 Pylkönmäki Keskus   (Saarijärvi )",514,141,56,76,17,207,17
"43480 Pääjärvi   (Saarijärvi )",149,50,11,24,11,51,2
"43490 Kangasaho   (Karstula )",161,61,18,25,10,43,4
"43500 Karstula Keskus   (Karstula )",2912,956,225,409,163,1089,70
"43520 Kiminki   (Karstula )",229,79,10,27,11,98,4
"43540 Rantakylä-Pirttilahti   (Karstula )",158,51,10,31,14,47,5
"43560 Vahanka   (Karstula )",187,57,17,19,10,82,2
"43610 Aho   (Karstula )",89,27,11,9,3,37,2
"43640 Humppi   (Karstula )",149,55,13,23,6,47,5
"43660 Vastinki   (Karstula )",241,81,18,29,16,90,7
"43700 Kyyjärvi Keskus   (Kyyjärvi )",1224,429,80,205,66,416,28
"43720 Kumpulainen   (Kyyjärvi )",107,23,16,8,1,56,3
"43800 Kivijärvi Keskus-Sompala   (Kivijärvi )",1000,309,81,132,39,419,20
"43840 Sompala   (Kivijärvi )",50,11,4,8,4,18,5
"43900 Kinnula Keskus   (Kinnula )",1399,464,102,248,80,479,26
"43940 Muhola-Saarensalmi   (Kinnula )",234,62,15,31,11,107,8
"43960 Saarensalmi   (Kinnula )",62,18,9,7,2,26,0
"44100 Äänekoski Keskus   (Äänekoski )",4101,1353,348,583,242,1461,114
"44120 Mämmensalmi-Mustaniemi   (Äänekoski )",2589,980,173,479,219,683,55
"44150 Likolahti-Karhunlähde   (Äänekoski )",3295,1216,328,591,240,792,128
"44160 Huutomäki   (Äänekoski )",522,231,32,113,39,101,6
"44170 Hietama   (Äänekoski )",529,216,46,130,41,84,12
"44190 Parantala   (Äänekoski )",255,93,17,49,24,68,4
"44200 Suolahti Keskus   (Äänekoski )",4526,1454,426,694,236,1552,164
"44220 Sörkänmäki   (Äänekoski )",408,159,35,64,19,125,6
"44250 Äänekoivisto   (Äänekoski )",561,222,31,149,26,118,15
"44260 Vihijärvi   (Äänekoski )",290,97,22,60,22,79,10
"44280 Sumiainen Keskus   (Äänekoski )",872,293,65,106,37,356,15
"44300 Konnevesi Keskus   (Konnevesi )",1777,600,145,238,87,667,40
"44320 Sirkkamäki   (Konnevesi )",128,44,8,18,6,51,1
"44330 Hytölä   (Konnevesi )",301,127,16,58,20,72,8
"44350 Istunmäki   (Konnevesi )",356,115,21,50,12,143,15
"44370 Mäntymäki   (Konnevesi )",168,54,14,14,11,69,6
"44400 Konginkangas Keskus   (Äänekoski )",689,205,62,93,39,277,13
"44420 Liimattala   (Äänekoski )",357,139,30,65,30,83,10
"44440 Räihä   (Äänekoski )",118,42,16,14,6,38,2
"44460 Kalaniemi   (Äänekoski )",136,49,14,15,4,53,1
"44480 Niinilahti   (Viitasaari )",149,50,12,15,12,59,1
"44500 Viitasaari Keskus   (Viitasaari )",4344,1425,312,561,282,1691,73
"44530 Ilmolahti   (Viitasaari )",168,71,12,17,8,57,3
"44580 Huopanankoski   (Viitasaari )",219,68,24,26,19,78,4
"44590 Vuorilahti   (Viitasaari )",69,25,8,4,2,29,1
"44610 Kärnä   (Viitasaari )",181,58,21,14,16,66,6
"44630 Kumpumäki   (Viitasaari )",178,59,22,9,8,78,2
"44640 Kymönkoski   (Viitasaari )",362,138,28,39,21,128,8
"44670 Suovanlahti   (Viitasaari )",151,52,8,10,10,69,2
"44680 Lahnanen   (Viitasaari )",61,22,2,10,3,23,1
"44730 Löytänä   (Viitasaari )",98,44,8,7,6,30,3
"44740 Keitelepohja-Kotvala   (Viitasaari )",205,71,16,28,12,70,8
"44760 Keihärinkoski   (Viitasaari )",319,89,36,46,19,121,8
"44770 Valkeisjärvi   (Viitasaari )",18,..,..,..,..,..,..
"44790 Kotvala   (Viitasaari )",51,19,3,11,3,14,1
"44800 Pihtipudas Keskus   (Pihtipudas )",2488,836,186,357,144,906,59
"44860 Alvajärvi   (Pihtipudas )",243,101,6,33,17,82,4
"44880 Muurasjärvi   (Pihtipudas )",624,214,30,125,39,200,16
"44910 Elämäjärvi   (Pihtipudas )",224,83,17,24,22,76,2
"44920 Peninki   (Pihtipudas )",210,81,9,47,8,61,4
"44950 Kärväsjärvi   (Pihtipudas )",195,72,15,32,8,63,5
"44970 Korppinen   (Pihtipudas )",181,67,12,29,10,61,2
"45100 Kouvola Keskus   (Kouvola )",9523,3455,646,938,672,3574,238
"45120 Kotkankallio-Vahteranmäki   (Kouvola )",3990,1725,188,739,276,980,82
"45130 Korjala-Kaunisnurmi   (Kouvola )",1735,709,166,157,170,485,48
"45150 Kankaronmäki-Eskolanmäki   (Kouvola )",4875,1659,454,705,344,1493,220
"45160 Lehtomäki   (Kouvola )",5214,1944,569,740,350,1406,205
"45200 Tornionmäki   (Kouvola )",6017,2308,495,643,453,1934,184
"45330 Harju   (Kouvola )",326,134,26,58,21,82,5
"45360 Kukkuramäki   (Kouvola )",3790,1675,204,801,234,799,77
"45370 Valkeala kk   (Kouvola )",2769,1043,132,513,166,853,62
"45410 Utti   (Kouvola )",880,353,53,146,46,260,22
"45460 Savero   (Kouvola )",183,82,11,26,8,52,4
"45610 Koria   (Kouvola )",5065,2156,326,931,306,1220,126
"45700 Kuusankoski Keskus   (Kouvola )",8920,3048,653,996,458,3541,224
"45720 Kotiharju-Ruhjonmäki   (Kouvola )",2717,1217,235,438,166,578,83
"45740 Maunuksela   (Iitti )",2848,1044,186,421,165,968,64
"45750 Kuusankosken Sairaala-alue   (Kouvola )",82,33,9,9,9,20,2
"45810 Pilkanmaa   (Kouvola )",1525,670,94,250,105,377,29
"45910 Voikkaa   (Kouvola )",2716,938,246,431,172,835,94
"45940 Oravala   (Kouvola )",317,115,27,50,21,96,8
"46110 Tuohikotti   (Kouvola )",372,147,19,41,15,137,13
"46140 Vekaranjärvi   (Kouvola )",149,69,8,10,12,47,3
"46230 Aro   (Kouvola )",502,200,26,88,33,142,13
"46400 Kaipiainen   (Kouvola )",476,191,32,61,20,160,12
"46430 Tirva-Inkerilä   (Kouvola )",278,112,19,43,15,82,7
"46450 Enäjärvi   (Kouvola )",171,78,11,19,9,54,0
"46530 Kannuskoski   (Luumäki )",168,69,8,23,6,58,4
"46570 Saaramaa   (Kouvola )",41,17,4,3,0,15,2
"46710 Sippola   (Kouvola )",762,264,53,106,35,293,11
"46730 Ruotila   (Kouvola )",114,47,4,12,0,49,2
"46750 Liikkala   (Kouvola )",291,113,27,44,10,92,5
"46800 Myllykoski   (Kouvola )",4761,1648,390,678,297,1584,164
"46810 Ummeljoki   (Kouvola )",1427,550,131,206,76,423,41
"46860 Anjalankoski Keskus   (Kouvola )",589,205,38,87,32,207,20
"46900 Inkeroinen   (Kouvola )",3734,1274,305,468,218,1353,116
"46910 Anjala   (Kouvola )",1922,755,149,303,97,582,36
"46930 Huruksela   (Kotka )",221,88,16,33,9,71,4
"46950 Ahvio   (Kouvola )",65,24,5,5,3,27,1
"46960 Muhniemi   (Kouvola )",317,138,16,38,16,100,9
"47110 Löytty   (Kouvola )",97,43,9,11,5,26,3
"47150 Raussila   (Kouvola )",162,70,8,22,12,48,2
"47200 Elimäki kk   (Kouvola )",2355,836,131,297,114,927,50
"47260 Ratula   (Kouvola )",135,59,9,15,8,39,5
"47310 Haapa-Kimola   (Iitti )",251,106,6,32,14,86,7
"47350 Kimonkylä   (Lapinjärvi )",140,55,5,22,7,47,4
"47400 Kausala   (Iitti )",4676,1744,288,666,241,1599,138
"47440 Sääskjärvi   (Iitti )",147,61,7,35,2,37,5
"47450 Perheniemi   (Iitti )",260,115,15,40,13,75,2
"47460 Hiisiö   (Iitti )",62,26,7,11,1,15,2
"47490 Mankala-Hiisiö   (Iitti )",338,121,21,41,22,120,13
"47520 Iitti kk   (Iitti )",162,78,5,28,6,43,2
"47540 Löyttilä   (Iitti )",190,76,5,28,14,63,4
"47610 Kymentaka   (Iitti )",145,55,5,13,8,60,4
"47650 Kimola   (Kouvola )",214,89,10,33,13,65,4
"47710 Jaala kk   (Kouvola )",1102,390,59,154,41,432,26
"47760 Huhdasjärvi   (Kouvola )",116,38,13,8,3,53,1
"47810 Selänpää   (Kouvola )",312,127,25,50,14,87,9
"47830 Hasula   (Kouvola )",126,45,7,20,11,38,5
"47850 Verla   (Kouvola )",142,34,7,14,5,76,6
"47900 Vuohijärvi   (Kouvola )",247,76,29,13,5,114,10
"47910 Hillosensalmi   (Kouvola )",31,6,3,1,2,18,1
"48100 Kotkansaari   (Kotka )",10567,3386,1064,856,753,4130,378
"48130 Katariina   (Kotka )",698,265,77,92,82,156,26
"48200 Hovinsaari   (Kotka )",1731,469,321,182,153,496,110
"48210 Toukolan Sairaala-Alue   (Kotka )",300,135,26,35,18,75,11
"48220 Metsola   (Kotka )",1387,489,109,182,124,459,24
"48230 Korela-Jylppy   (Kotka )",1503,516,133,205,231,381,37
"48300 Ruonala   (Kotka )",1233,513,75,195,91,333,26
"48310 Mussalo   (Kotka )",4525,2050,310,925,363,777,100
"48350 Karhuvuori   (Kotka )",3550,712,650,558,307,1079,244
"48400 Sutela   (Kotka )",4188,1648,275,674,266,1226,99
"48410 Kaukola   (Kotka )",1675,722,92,299,127,403,32
"48600 Karhula   (Kotka )",7271,2194,718,818,442,2838,261
"48700 Kyminlinna   (Kotka )",2482,826,276,379,190,691,120
"48710 Koivula   (Kotka )",1360,568,105,247,130,276,34
"48720 Kymi   (Kotka )",1823,731,142,337,137,444,32
"48750 Nikeli   (Kotka )",182,69,17,22,13,57,4
"48770 Ristinkallio   (Kotka )",1866,646,169,270,127,594,60
"48800 Otsola-Mäntykangas   (Kotka )",2236,920,133,455,126,558,44
"48810 Rantahaka   (Kotka )",784,307,52,162,52,192,19
"48900 Sunila   (Kotka )",1379,497,151,209,98,366,58
"48910 Suulisniemi   (Kotka )",1460,542,128,217,98,424,51
"48930 Tiutinen   (Kotka )",329,134,19,57,22,86,11
"49200 Heinlahti   (Pyhtää )",783,317,38,192,34,188,14
"49210 Huutjärvi   (Pyhtää )",1017,367,76,184,61,306,23
"49220 Siltakylä   (Pyhtää )",1815,764,102,296,103,501,49
"49240 Purolanlahti   (Pyhtää )",366,136,17,55,18,134,6
"49270 Pyhtää kk   (Pyhtää )",866,299,103,111,46,281,26
"49290 Vastila   (Pyhtää )",416,167,39,49,21,131,9
"49300 Tavastila   (Kotka )",680,262,54,117,55,173,19
"49340 Juurikorpi   (Kotka )",132,45,9,22,14,36,6
"49400 Hamina Keskus   (Hamina )",10047,3594,640,1309,573,3648,283
"49410 Poitsila   (Hamina )",1952,730,198,292,100,557,75
"49420 Uusi-Summa   (Hamina )",1982,833,138,330,97,519,65
"49460 Hillo   (Hamina )",1180,375,128,129,75,402,71
"49480 Vanha-Summa   (Hamina )",467,199,28,73,35,117,15
"49490 Neuvoton   (Hamina )",1427,540,104,254,97,388,44
"49510 Husula   (Hamina )",1135,423,95,152,54,374,37
"49520 Reitkalli   (Hamina )",259,122,11,20,21,81,4
"49540 Metsäkylä   (Hamina )",474,169,26,81,23,161,14
"49570 Kannusjärvi   (Hamina )",426,161,35,57,32,134,7
"49610 Sivatti   (Hamina )",103,39,3,17,2,37,5
"49630 Vehkajoki   (Hamina )",104,30,5,15,2,52,0
"49640 Paijärvi   (Hamina )",163,63,3,21,3,70,3
"49660 Pyhältö   (Hamina )",567,215,25,76,36,202,13
"49700 Miehikkälä Kirkonkylä   (Miehikkälä )",887,258,46,99,37,419,28
"49720 Hurttala   (Miehikkälä )",55,23,0,7,1,23,1
"49730 Muurikkala   (Miehikkälä )",296,102,13,43,22,107,9
"49750 Kalliokoski   (Miehikkälä )",139,55,7,17,3,56,1
"49760 Suur-Miehikkälä   (Miehikkälä )",223,88,11,28,9,85,2
"49770 Salo-Miehikkälä   (Miehikkälä )",233,86,10,25,6,101,5
"49780 Onkamaa   (Hamina )",92,50,4,5,3,29,1
"49840 Mäntlahti   (Hamina )",135,36,9,5,2,78,5
"49860 Klamila   (Virolahti )",671,252,48,101,22,232,16
"49900 Virolahti Keskus   (Virolahti )",1912,679,135,259,88,676,75
"49930 Vaalimaa   (Virolahti )",167,58,8,30,3,64,4
"49960 Ala-Pihlaja   (Virolahti )",203,88,11,16,7,79,2
"49980 Ravijoki   (Virolahti )",257,107,14,37,9,85,5
"50100 Mikkeli Keskus   (Mikkeli )",9478,3827,585,700,1046,3139,181
"50120 Siekkilä   (Mikkeli )",1563,583,127,189,141,484,39
"50130 Nuijamies   (Mikkeli )",3052,1245,191,382,262,911,61
"50150 Karkialampi   (Mikkeli )",1367,617,120,269,112,206,43
"50160 Kattilansilta   (Mikkeli )",2487,850,250,267,213,816,91
"50170 Peitsari   (Mikkeli )",5901,2403,397,1043,408,1511,139
"50180 Visulahti   (Mikkeli )",825,392,28,199,79,106,21
"50190 Tuppurala   (Mikkeli )",4913,1780,392,653,423,1520,145
"50200 Kovala   (Mikkeli )",639,249,36,146,36,158,14
"50300 Rämälä   (Mikkeli )",329,137,12,57,25,88,10
"50350 Norola   (Mikkeli )",330,159,16,62,19,69,5
"50500 Tuukkala-Kaituenmäki   (Mikkeli )",1525,622,96,242,89,441,35
"50520 Moision Sairaala-alue   (Mikkeli )",128,55,11,9,9,41,3
"50600 Karikko   (Mikkeli )",4819,2142,213,987,331,1074,72
"50670 Otava   (Mikkeli )",1877,764,137,378,110,446,42
"50700 Syysjärvi   (Mikkeli )",541,232,35,91,37,132,14
"50770 Korpikoski   (Mikkeli )",250,108,13,41,14,68,6
"50800 Annilanselkä   (Mikkeli )",545,234,12,74,34,182,9
"50970 Ihastjärvi   (Mikkeli )",2539,1123,124,546,251,430,65
"51130 Vanhamäki   (Mikkeli )",163,56,13,17,9,62,6
"51200 Kangasniemi Keskus   (Kangasniemi )",3883,1236,237,473,159,1675,103
"51260 Tahkomäki   (Kangasniemi )",163,57,6,32,12,53,3
"51270 Kutemajärvi   (Kangasniemi )",224,92,18,17,14,80,3
"51310 Levä   (Kangasniemi )",129,40,4,16,4,62,3
"51335 Kaihlamäki   (Kangasniemi )",46,20,1,10,3,11,1
"51340 Hännilä-Särkiharju   (Kangasniemi )",297,105,17,42,18,105,10
"51360 Koivula-Synsiö   (Kangasniemi )",183,65,13,24,8,67,6
"51380 Synsiö   (Kangasniemi )",54,23,4,7,2,16,2
"51420 Harjumaa-Pajulankylä   (Mikkeli )",235,98,14,27,20,70,6
"51430 Läsäkoski   (Kangasniemi )",83,33,8,3,1,37,1
"51440 Vuojalahti   (Kangasniemi )",242,105,9,26,14,80,8
"51450 Pajulankylä   (Mikkeli )",55,23,1,5,2,22,2
"51460 Luusniemi   (Kangasniemi )",206,76,16,28,10,73,3
"51520 Hiirola   (Mikkeli )",426,179,18,70,27,122,10
"51540 Kalvitsa   (Mikkeli )",338,128,14,48,14,122,12
"51600 Haukivuori Keskus-Piitkäaho   (Mikkeli )",1440,443,96,192,57,631,21
"51620 Pitkäaho   (Mikkeli )",21,..,..,..,..,..,..
"51670 Nykälä   (Mikkeli )",144,42,8,14,9,66,5
"51720 Rahula   (Mikkeli )",499,223,32,102,24,106,12
"51740 Huuhanaho   (Mikkeli )",224,91,10,30,9,81,3
"51760 Nuutilanmäki   (Juva )",295,121,15,44,22,89,4
"51780 Kuosmala   (Juva )",139,55,5,14,5,59,1
"51810 Maivala   (Juva )",156,54,9,23,11,56,3
"51820 Hatsola   (Juva )",283,122,18,35,16,83,9
"51850 Vuorenmaa   (Juva )",206,82,9,24,5,82,4
"51860 Narila   (Juva )",75,30,4,11,4,25,1
"51880 Koikkala   (Juva )",251,97,10,30,17,90,7
"51890 Risulahti   (Juva )",82,36,3,8,8,27,0
"51900 Juva Keskus   (Juva )",4380,1528,251,516,236,1757,92
"51930 Paatela   (Juva )",170,73,6,30,7,48,6
"51940 Härkälä   (Juva )",131,51,12,14,6,43,5
"51980 Lauteala   (Juva )",228,102,3,20,13,84,6
"52100 Anttola   (Mikkeli )",1493,524,97,200,71,563,38
"52110 Majavesi   (Mikkeli )",387,173,18,59,16,113,8
"52150 Hauhala   (Mikkeli )",132,56,4,10,4,55,3
"52200 Puumala Keskus   (Puumala )",1842,609,100,166,72,855,40
"52230 Hurissalo   (Puumala )",227,93,12,15,10,87,10
"52270 Ryhälä   (Puumala )",36,11,4,0,1,20,0
"52300 Ristiina Keskus   (Mikkeli )",2993,1127,172,439,201,987,67
"52320 Vitsiälä   (Mikkeli )",349,163,16,58,18,86,8
"52330 Heimari   (Mikkeli )",44,16,5,4,1,17,1
"52340 Hangastenmaa   (Mikkeli )",198,86,7,21,7,74,3
"52360 Someenjärvi   (Mikkeli )",100,30,8,6,2,52,2
"52420 Pellosniemi   (Mikkeli )",638,196,60,68,33,261,20
"52510 Hietanen   (Hirvensalmi )",503,177,42,77,29,165,13
"52520 Syväsmäki   (Hirvensalmi )",166,68,9,21,21,40,7
"52550 Hirvensalmi Keskus   (Hirvensalmi )",1569,503,96,140,87,700,43
"52610 Tuukkalanlahti   (Hirvensalmi )",120,43,7,15,10,44,1
"52620 Kuitula   (Hirvensalmi )",98,31,9,8,7,40,3
"52700 Mäntyharju Keskus   (Mäntyharju )",4992,1678,325,630,270,1966,123
"52720 Karankamäki-Koirakivi   (Mäntyharju )",109,40,7,9,2,46,5
"52730 Koirakivi   (Mäntyharju )",74,25,3,9,2,32,3
"52740 Tuustaipale   (Mäntyharju )",276,90,21,35,16,105,9
"52760 Mynttilä   (Mäntyharju )",101,40,8,11,4,33,5
"52780 Kuomiokoski   (Mikkeli )",100,28,10,1,3,55,3
"52830 Suomenniemi   (Mikkeli )",640,191,61,70,30,275,13
"52850 Halmeniemi   (Mäntyharju )",122,28,6,11,0,68,9
"52890 Käävänkylä   (Mäntyharju )",85,27,7,5,1,45,0
"52920 Voikoski   (Kouvola )",135,45,9,15,4,59,3
"52960 Nurmaa   (Mäntyharju )",121,46,9,11,9,41,5
"52970 Pankalahti-Ahvenainen   (Mäntyharju )",85,35,11,4,1,33,1
"52980 Ahvenainen   (Heinola )",71,20,6,7,4,33,1
"53100 Lappeenranta keskus   (Lappeenranta )",10125,3964,730,796,681,3726,228
"53130 Keskussairaala-alue-Kimpinen   (Lappeenr",698,329,76,107,38,126,22
"53200 Kaukas-Tirilä   (Lappeenranta )",1541,609,129,196,120,442,45
"53300 Lauritsala-Mälkiä   (Lappeenranta )",7936,3083,699,1309,501,2101,243
"53400 Laihia   (Lappeenranta )",1982,864,115,438,150,383,32
"53420 Mustola   (Lappeenranta )",569,241,38,107,36,133,14
