"Postal code area","Aged 18 or over, total, 2016 (HR)","Average income of inhabitants, 2016 (HR)","Median income of inhabitants, 2016 (HR)","Inhabintants belonging to the lowest income category, 2016 (HR)","Inhabitants belonging to the middle income category, 2016 (HR)","Inhabintants belonging to the highest income category, 2016 (HR)","Accumulated purchasing power of inhabitants, 2016 (HR)"
"04200 Kerava Keskus   (Kerava )",9597,24678,22302,1457,5950,2190,236837752
"04220 Ahjo-Kaskela   (Kerava )",3875,26847,24695,596,2159,1120,104030725
"04230 Pihkaniitty   (Kerava )",5836,26993,25252,737,3381,1718,157529165
"04240 Talma   (Sipoo )",937,28157,26124,149,476,312,26383482
"04250 Alikerava   (Kerava )",3835,23133,22287,605,2521,709,88716108
"04260 Savio   (Kerava )",5060,24879,23320,756,3100,1204,125888979
"04300 Hyrylä   (Tuusula )",7935,28433,24993,1114,4406,2415,225615238
"04310 Tuusula Keskus   (Tuusula )",1971,32349,27063,279,911,781,63759334
"04320 Riihikallio   (Tuusula )",3752,27421,25021,489,2207,1056,102884640
"04330 Lahela   (Tuusula )",1603,32382,29572,194,681,728,51908761
"04340 Mattila   (Tuusula )",1728,28510,25367,246,939,543,49265400
"04350 Nahkela   (Tuusula )",417,29030,25416,75,191,151,12105579
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",956,27597,24952,154,507,295,26382276
"04370 Rusutjärvi   (Tuusula )",597,35103,26299,86,298,213,20956687
"04380 Tuomala   (Tuusula )",453,29777,25030,92,206,155,13488923
"04390 Jäniksenlinna   (Tuusula )",352,28002,26882,43,189,120,9856706
"04400 Loutti   (Järvenpää )",8353,25501,23047,1206,5112,2035,213012497
"04410 Järvenpää Keskus   (Järvenpää )",8249,24296,22948,1288,5062,1899,200414715
"04420 Kyrölä   (Järvenpää )",2958,27457,26039,396,1597,965,81216714
"04430 Kinnari-Mikonkorpi   (Järvenpää )",6955,28114,26065,947,3733,2275,195532346
"04440 Jamppa   (Järvenpää )",3649,22918,20993,620,2362,667,83628009
"04460 Nummenkylä   (Tuusula )",1402,28257,27094,171,737,494,39615928
"04480 Haarajoki   (Mäntsälä )",1645,29040,27008,224,826,595,47771387
"04500 Kellokoski   (Tuusula )",4345,26178,24868,623,2461,1261,113741838
"04530 Ohkola   (Mäntsälä )",665,26041,24245,114,360,191,17317023
"04600 Mäntsälä Keskus   (Mäntsälä )",7265,23732,21693,1158,4622,1485,172411502
"04620 Kaunismäki   (Mäntsälä )",1357,28872,27440,165,680,512,39179961
"04630 Sääksjärvi   (Mäntsälä )",659,24350,22108,154,342,163,16046679
"04660 Numminen   (Mäntsälä )",1263,25555,24779,223,680,360,32275685
"04680 Hirvihaara   (Mäntsälä )",482,25267,24194,83,270,129,12178740
"04740 Sälinkää   (Mäntsälä )",893,22842,21975,202,507,184,20397510
"04770 Sahakylä   (Mäntsälä )",158,22331,20678,40,92,26,3528241
"04820 Kaukalampi   (Mäntsälä )",215,28718,25581,39,106,70,6174421
"04840 Hautjärvi   (Mäntsälä )",202,26245,22154,48,102,52,5301587
"04920 Saarentaus   (Mäntsälä )",262,23714,22977,54,149,59,6212952
"04940 Levanto   (Mäntsälä )",225,24115,21489,52,115,58,5425940
"05100 Röykkä   (Nurmijärvi )",1678,26690,25083,249,946,483,44785474
"05200 Rajamäki   (Nurmijärvi )",4875,26251,24966,672,2798,1405,127975746
"05250 Kiljava   (Nurmijärvi )",145,23460,23132,22,95,28,3401707
"05400 Jokela   (Tuusula )",4866,26144,24729,711,2736,1419,127214447
"05430 Nuppulinna   (Tuusula )",773,27014,24815,111,436,226,20881774
"05440 Hyvinkää   (Hyvinkää )",317,32257,30421,23,148,146,10225328
"05450 Nukari   (Nurmijärvi )",798,26047,23975,154,426,218,20785578
"05460 Hakalanmäki-Hakala   (Hyvinkää )",2593,24475,23552,336,1680,577,63463986
"05470 Palopuro   (Hyvinkää )",256,24129,23236,54,136,66,6176917
"05510 Päivärinta   (Hyvinkää )",382,23175,20613,75,235,72,8852910
"05620 Noppo   (Hyvinkää )",983,27292,25800,159,507,317,26827923
"05720 Kytäjä   (Hyvinkää )",423,28832,24798,69,213,141,12195999
"05800 Hyvinkää Keskus   (Hyvinkää )",8318,23342,20477,1390,5473,1455,194162693
"05810 Martti   (Hyvinkää )",3977,28272,25931,590,2056,1331,112437917
"05820 Mustamännistö   (Hyvinkää )",3968,26196,23198,678,2318,972,103946369
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",5869,25655,23274,889,3525,1455,150571563
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",2940,25401,23066,516,1758,666,74678229
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",0,0,0,0,0,0,0
"05860 Talvisilta   (Hyvinkää )",1142,23406,22359,193,721,228,26729781
"05880 Paavola-Vaivero   (Hyvinkää )",2820,20685,18913,597,1861,362,58332692
"05900 Vieremä   (Hyvinkää )",3383,23939,21119,566,2123,694,80986565
"05950 Ridasjärvi   (Hyvinkää )",314,24819,23643,49,194,71,7793242
"06100 Porvoo Keskus   (Porvoo )",15089,26405,22924,2419,8566,4104,398430479
"06150 Kevätkumpu   (Porvoo )",4730,23390,21535,848,2970,912,110636288
"06200 Porvoo itäinen   (Porvoo )",2066,26003,23758,326,1203,537,53722600
"06400 Gammelbacka   (Porvoo )",5610,24967,22888,931,3270,1409,140062629
"06450 Eestinmäki-Ernestas   (Porvoo )",1595,27510,24733,247,860,488,43878145
"06500 Saksala-Suomenkylä   (Porvoo )",1676,27166,24303,309,885,482,45529900
"06530 Kerkkoo   (Porvoo )",610,26478,25532,84,333,193,16151722
"06650 Hamari   (Porvoo )",1128,27269,24817,178,596,354,30758976
"06750 Tolkkinen   (Porvoo )",1274,28218,25744,176,664,434,35949963
"06830 Kulloonkylä   (Porvoo )",802,28580,26140,110,434,258,22921132
"06850 Kulloo   (Porvoo )",17,..,..,..,..,..,..
"06880 Kärrby   (Sipoo )",279,28119,24402,49,142,88,7845276
"06950 Emäsalo   (Porvoo )",317,25947,23327,62,168,87,8225292
"07110 Hinthaara   (Porvoo )",1083,28082,25667,154,586,343,30412792
"07130 Anttila   (Porvoo )",493,25214,23139,101,251,141,12430688
"07150 Laukkoski   (Pornainen )",692,26834,24700,120,373,199,18568834
"07170 Keski-Pornainen   (Pornainen )",1788,25372,24176,292,993,503,45364641
"07190 Halkia   (Pornainen )",1078,24688,24011,209,592,277,26613688
"07220 Kaarenkylä   (Porvoo )",243,25164,22417,38,143,62,6114835
"07230 Monninkylä   (Askola )",1179,25374,23259,215,673,291,29915895
"07280 Ilola   (Porvoo )",681,24933,23723,128,364,189,16979467
"07310 Sannainen   (Porvoo )",316,24862,24972,62,168,86,7856403
"07320 Jakari-Sannäs   (Porvoo )",339,26611,24806,61,190,88,9021131
"07350 Gäddrag   (Porvoo )",65,25034,21511,12,38,15,1627188
"07360 Tirmo   (Porvoo )",39,24664,23012,8,17,14,961900
"07370 Pellinki   (Porvoo )",119,22013,19703,32,69,18,2619492
"07390 Suurpellinki   (Porvoo )",95,20845,19712,32,41,22,1980265
"07410 Kråkö   (Porvoo )",258,26978,22348,43,156,59,6960306
"07450 Voolahti   (Porvoo )",334,34008,23609,58,186,90,11358577
"07500 Askola Kirkonkylä   (Askola )",849,24673,23223,143,500,206,20947789
"07510 Vakkola   (Askola )",523,25558,23680,103,279,141,13366787
"07530 Onkimaa   (Askola )",248,25224,22778,55,131,62,6255666
"07550 Torpinkylä   (Pukkila )",237,22659,21154,59,136,42,5370232
"07560 Pukkila Keskus   (Pukkila )",1070,23187,21177,217,640,213,24809646
"07565 Kantele   (Pukkila )",221,22677,18411,64,114,43,5011529
"07580 Tiilää   (Askola )",57,28700,24996,7,34,16,1635875
"07590 Huuvari-Tiilää   (Askola )",479,24521,23458,93,258,128,11745546
"07600 Myrskylä Keskus   (Myrskylä )",1388,21667,19916,313,858,217,30073165
"07680 Juornaankylä   (Askola )",414,23256,21144,105,222,87,9627915
"07690 Kankkila   (Myrskylä )",123,21033,17777,37,68,18,2587071
"07700 Koskenkylän saha-alue   (Loviisa )",910,24757,23625,133,550,227,22528990
"07720 Malmgård   (Loviisa )",69,20952,18094,23,37,9,1445717
"07740 Gammelby   (Loviisa )",340,24798,22219,71,187,82,8431387
"07750 Isnäs   (Loviisa )",442,22301,20547,107,246,89,9856827
"07780 Härkäpää   (Loviisa )",144,24372,18697,44,65,35,3509545
"07800 Lapinjärvi Keskus   (Lapinjärvi )",733,20908,19519,161,480,92,15325687
"07810 Ingermaninkylä   (Lapinjärvi )",220,23023,20380,46,141,33,5065096
"07820 Porlammi   (Lapinjärvi )",426,24521,18907,105,245,76,10445870
"07830 Pukaro   (Lapinjärvi )",226,26110,20634,54,121,51,5900963
"07840 Lindkoski   (Lapinjärvi )",163,24325,21557,27,106,30,3965038
"07850 Heikinkylä   (Lapinjärvi )",253,22188,17969,81,124,48,5613519
"07870 Skinnarby   (Loviisa )",362,23553,21688,92,200,70,8526312
"07880 Liljendal Keskus   (Loviisa )",822,22938,20288,201,476,145,18854952
