"Postal code area","Workplaces, 2014 (TP)","Primary production, 2014 (TP)","Processing, 2014 (TP)","Services, 2014 (TP)","A Agriculture, forestry and fishing, 2014 (TP)","B Mining and quarrying, 2014 (TP)","C Manufacturing, 2014 (TP)","D Electricity, gas, steam and air conditioning supply, 2014 (TP)","E Water supply; sewerage, waste management and remediation activities, 2014 (TP)","F Construction, 2014 (TP)","G Wholesale and retail trade; repair of motor vehicles and motorcycles, 2014 (TP)","H Transportation and storage, 2014 (TP)","I Accommodation and food service activities, 2014 (TP)","J Information and communication, 2014 (TP)","K Financial and insurance activities, 2014 (TP)","L Real estate activities, 2014 (TP)","M Professional, scientific and technical activities, 2014 (TP)","N Administrative and support service activities, 2014 (TP)","O Public administration and defence; compulsory social security, 2014 (TP)","P Education, 2014 (TP)","Q Human health and social work activities, 2014 (TP)","R Arts, entertainment and recreation, 2014 (TP)","S Other service activities, 2014 (TP)","T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use, 2014 (TP)","U Activities of extraterritorial organisations and bodies, 2014 (TP)","X Industry unknown, 2014 (TP)"
"27230 Lappi   (Rauma )",571,26,319,226,26,0,278,0,0,41,39,38,8,0,8,1,3,1,0,18,105,0,5,0,0,0
"27250 Kodiksami   (Rauma )",15,11,1,3,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"27260 Kuolimaa   (Rauma )",15,12,1,2,12,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"27310 Kodisjoki   (Rauma )",48,15,3,30,15,0,1,0,0,2,5,7,0,1,0,0,0,2,0,4,6,1,4,0,0,0
"27320 Ihode   (Pyhäranta )",215,2,171,42,2,0,153,0,0,18,24,3,0,1,1,0,1,1,0,8,2,1,0,0,0,0
"27340 Reila   (Pyhäranta )",18,4,3,11,4,0,2,0,0,1,4,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0
"27400 Kiukainen Keskus   (Eura )",388,102,109,177,102,0,10,0,13,86,20,9,0,0,16,3,11,1,8,24,77,2,6,0,0,0
"27420 Panelia Asemanseutu   (Eura )",53,24,18,11,24,0,13,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27430 Panelia   (Eura )",405,37,271,97,37,0,202,44,0,25,41,14,6,0,4,1,4,3,0,12,7,0,5,0,0,0
"27450 Harola   (Eura )",18,8,2,8,8,0,1,0,0,1,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"27500 Kauttua   (Eura )",1157,8,786,363,8,0,702,23,5,56,71,68,42,6,7,3,14,13,14,27,44,24,30,0,0,0
"27510 Eura Keskus   (Eura )",2614,62,1226,1326,62,4,1123,0,23,76,218,80,62,14,22,15,49,140,88,114,452,11,61,0,0,0
"27600 Hinnerjoki   (Eura )",188,35,43,110,35,0,38,0,0,5,20,74,3,0,3,0,0,0,0,5,0,2,3,0,0,0
"27640 Honkilahti kk   (Eura )",67,14,45,8,14,0,17,0,0,28,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"27650 Honkilahti   (Eura )",108,16,3,89,16,0,1,0,0,2,5,5,8,0,7,0,1,2,0,8,51,0,2,0,0,0
"27670 Mannila   (Eura )",20,13,3,4,13,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27710 Köyliö Keskus   (Säkylä )",366,37,130,199,37,0,100,0,1,29,19,10,1,0,8,0,7,7,16,18,94,2,17,0,0,0
"27730 Tuiskula   (Säkylä )",53,32,12,9,32,0,8,0,0,4,1,0,0,0,0,1,0,0,0,0,3,2,2,0,0,0
"27740 Voitoinen   (Säkylä )",35,14,16,5,14,0,1,0,0,15,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"27750 Yttilä   (Säkylä )",16,6,7,3,6,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"27800 Säkylä Keskus   (Säkylä )",1216,73,345,798,73,7,253,15,0,70,103,105,33,4,15,2,36,29,83,78,256,17,37,0,0,0
"27820 Iso-Vimma   (Säkylä )",422,1,369,52,1,0,351,0,0,18,1,9,6,2,0,0,9,5,0,0,12,0,8,0,0,0
"27840 Kakkuri   (Säkylä )",79,17,18,44,17,0,0,0,0,18,0,17,0,0,0,1,1,0,0,23,1,0,1,0,0,0
"27860 Vuori   (Säkylä )",622,37,13,572,37,0,2,0,0,11,0,7,51,0,0,1,0,2,511,0,0,0,0,0,0,0
"27910 Huovinrinne   (Säkylä )",47,1,1,45,1,0,0,0,0,1,0,0,0,0,0,37,0,0,0,0,0,0,8,0,0,0
"27920 Otajoki   (Säkylä )",29,8,12,9,8,0,2,0,3,7,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"28100 Pori Keskus   (Pori )",11542,35,1954,9553,35,0,1371,203,10,370,1435,354,671,704,398,211,766,566,1214,686,1611,478,459,0,0,0
"28120 Käppärä-Isomäki   (Pori )",1275,1,167,1107,1,0,56,0,70,41,48,17,71,1,1,3,31,3,66,24,803,8,31,0,0,0
"28130 Impola   (Pori )",3618,20,837,2761,20,0,437,4,24,372,1070,178,121,62,3,20,94,242,101,395,237,97,141,0,0,0
"28190 Pormestarinluoto   (Pori )",779,8,67,704,8,0,20,0,19,28,47,119,12,0,0,0,2,13,0,35,434,0,42,0,0,0
"28200 Toejoki   (Pori )",456,8,114,334,8,0,38,0,0,76,119,71,2,2,3,2,14,13,0,22,66,4,16,0,0,0
"28220 Ruosniemi   (Pori )",449,14,150,285,14,0,59,0,10,81,77,30,7,8,1,5,14,5,0,25,95,4,14,0,0,0
"28240 Isojoenranta   (Pori )",122,1,82,39,1,0,2,0,0,80,6,1,7,1,0,2,3,12,0,3,0,1,3,0,0,0
"28260 Harjunpää   (Ulvila )",156,17,79,60,17,0,43,0,0,36,5,23,0,1,0,0,6,1,0,10,8,1,5,0,0,0
"28300 Kalaholma-Väinölä   (Pori )",135,1,21,113,1,0,5,0,1,15,33,23,0,1,0,11,12,2,0,14,8,4,5,0,0,0
"28330 Koivistonluoto   (Pori )",1042,0,900,142,0,0,872,0,0,28,12,34,21,0,0,1,2,12,0,24,26,3,7,0,0,0
"28360 Vanhakoivisto   (Pori )",1166,5,86,1075,5,0,14,0,0,72,343,151,121,2,12,3,32,48,0,1,316,20,26,0,0,0
"28370 Sampola   (Pori )",370,1,13,356,1,0,9,0,0,4,16,11,9,0,2,6,2,9,0,113,181,1,6,0,0,0
"28400 Ulvila Keskus   (Ulvila )",1847,10,943,894,10,0,742,3,6,192,180,86,22,33,20,13,110,48,2,187,114,27,52,0,0,0
"28430 Kartano-Harmaalinna   (Pori )",612,2,211,399,2,0,90,0,6,115,174,112,2,2,0,0,15,3,0,0,9,5,77,0,0,0
"28450 Vanha-Ulvila   (Ulvila )",1011,14,83,914,14,0,7,0,11,65,23,13,44,0,0,1,17,43,70,30,653,8,12,0,0,0
"28500 Keskussairaala-alue-Tiilimäki   (Pori )",3115,0,1,3114,0,0,0,0,0,1,11,33,36,0,0,10,1,30,6,138,2781,67,1,0,0,0
"28540 Pinomäki   (Pori )",120,9,19,92,9,0,1,0,0,18,31,2,1,0,0,0,4,0,1,46,3,1,3,0,0,0
"28560 Lattomeri   (Pori )",49,7,5,37,7,0,2,0,0,3,2,11,1,0,0,0,3,14,0,6,0,0,0,0,0,0
"28580 Niittymaa   (Pori )",104,7,76,21,7,0,42,0,0,34,6,8,4,0,0,0,2,0,0,0,0,0,1,0,0,0
"28600 Vähärauma   (Pori )",2179,17,535,1627,17,0,340,0,33,162,150,185,36,40,1,3,317,124,46,464,251,1,9,0,0,0
"28610 Musa-Tiiliruukki   (Pori )",954,1,208,745,1,13,57,0,5,133,456,41,67,20,11,1,20,1,0,0,79,3,46,0,0,0
"28660 Pietniemi-Leppäkorpi   (Pori )",200,28,74,98,28,10,9,0,0,55,19,28,10,0,1,2,0,2,0,0,30,0,6,0,0,0
"28760 Kyläsaari   (Pori )",531,14,362,155,14,2,190,0,41,129,34,8,2,1,2,0,5,27,0,15,53,0,8,0,0,0
"28800 Pihlava   (Pori )",406,0,90,316,0,0,66,0,0,24,53,24,18,0,0,0,12,18,1,62,94,7,27,0,0,0
"28840 Yyteri-Kaanaa   (Pori )",758,0,663,95,0,0,597,62,0,4,7,26,27,0,0,2,7,6,14,3,0,2,1,0,0,0
"28880 Mäntyluoto   (Pori )",778,2,497,279,2,0,474,0,16,7,1,215,6,0,0,0,0,3,39,9,5,0,1,0,0,0
"28900 Tahkoluoto-Reposaari   (Pori )",122,8,53,61,8,0,0,34,18,1,13,4,7,1,0,2,3,3,0,5,15,0,8,0,0,0
"29100 Luvia Keskus   (Eurajoki )",641,35,218,388,35,0,140,0,11,67,40,7,10,3,12,2,32,14,16,64,154,7,27,0,0,0
"29180 Peränkylä   (Eurajoki )",32,13,15,4,13,0,14,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
"29200 Harjavalta Keskus   (Harjavalta )",3691,42,1543,2106,42,0,1240,62,12,229,195,259,141,3,22,17,107,143,88,122,916,19,74,0,0,0
"29250 Nakkila Keskus   (Nakkila )",1271,58,456,757,58,0,336,0,13,107,112,63,48,8,26,1,50,26,35,105,232,15,36,0,0,0
"29270 Hormisto   (Nakkila )",42,15,3,24,15,0,1,0,0,2,11,1,1,0,0,0,1,5,0,4,0,1,0,0,0,0
"29280 Järvimaa   (Nakkila )",27,10,12,5,10,0,7,0,0,5,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"29310 Kaasmarkku   (Ulvila )",73,14,23,36,14,0,5,0,0,18,2,21,0,0,1,0,2,5,0,5,0,0,0,0,0,0
"29320 Leineperi   (Ulvila )",17,4,2,11,4,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0
"29340 Kullaa Keskus   (Ulvila )",213,29,28,156,29,0,9,1,0,18,4,16,10,0,0,0,2,1,0,48,69,1,5,0,0,0
"29350 Palus   (Ulvila )",20,8,8,4,8,0,6,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"29570 Söörmarkku   (Pori )",232,11,83,138,11,13,8,0,23,39,32,57,3,0,1,0,12,7,0,2,21,2,1,0,0,0
"29600 Noormarkku Keskus   (Pori )",1090,42,301,747,42,0,116,0,6,179,113,64,42,4,14,24,42,21,0,45,333,19,26,0,0,0
"29630 Pomarkku Keskus   (Pomarkku )",487,38,127,322,38,0,82,0,24,21,33,25,8,4,4,0,7,24,11,42,146,2,16,0,0,0
"29640 Honkakoski   (Pomarkku )",36,7,28,1,7,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"29680 Kairila   (Pori )",90,49,10,31,49,0,0,0,0,10,1,17,0,0,0,0,0,1,3,0,9,0,0,0,0,0
"29700 Ahlainen   (Pori )",109,17,14,78,17,0,1,0,0,13,12,30,2,0,0,0,0,0,0,7,9,13,5,0,0,0
"29720 Lamppi   (Pori )",18,3,4,11,3,0,0,1,0,3,1,3,4,0,0,0,0,1,0,0,0,0,2,0,0,0
"29740 Etelämaa   (Merikarvia )",9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"29750 Pohjansaha   (Merikarvia )",7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"29760 Köörtilä   (Merikarvia )",8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"29790 Tuorila   (Merikarvia )",132,20,61,51,20,0,23,0,26,12,23,2,19,0,0,0,2,0,0,0,4,0,1,0,0,0
"29810 Siikainen Keskus   (Siikainen )",302,30,113,159,30,0,81,11,1,20,10,3,1,0,2,0,3,11,10,26,81,3,9,0,0,0
"29830 Sammi   (Siikainen )",32,15,11,6,15,0,3,0,0,8,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"29860 Otamo   (Siikainen )",17,9,0,8,9,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0
"29880 Leväsjoki-Saarineva   (Siikainen )",30,13,12,5,13,0,10,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"29900 Merikarvia Keskus-Rannikko   (Merikarvia )",673,36,217,420,36,0,177,0,3,37,66,14,7,4,4,5,3,12,35,61,162,21,26,0,0,0
"29940 Kuvaskangas   (Merikarvia )",30,24,2,4,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"30100 Forssa Keskus   (Tammela )",4541,107,884,3550,107,7,518,1,30,328,643,211,245,163,95,53,224,285,134,306,976,57,158,0,0,0
"30300 Viksberg   (Forssa )",964,2,411,551,2,0,346,0,0,65,146,78,8,35,0,3,20,43,0,75,121,16,6,0,0,0
"30420 Tölö   (Forssa )",2292,5,1415,872,5,0,1099,42,138,136,173,100,83,6,1,3,45,73,127,67,147,23,24,0,0,0
"31110 Matku   (Forssa )",116,49,22,45,49,0,9,0,6,7,20,6,0,0,0,0,2,1,0,4,4,0,8,0,0,0
"31130 Koijärvi   (Forssa )",23,7,2,14,7,0,0,0,0,2,1,3,0,1,0,0,1,0,0,3,0,0,5,0,0,0
"31140 Menonen   (Urjala )",22,5,2,15,5,0,2,0,0,0,2,0,0,10,0,1,0,0,0,0,0,2,0,0,0,0
"31160 Nuutajärvi   (Urjala )",37,6,7,24,6,0,6,0,0,1,9,6,3,0,0,0,4,0,0,1,0,1,0,0,0,0
"31170 Savijoki   (Forssa )",34,21,7,6,21,0,0,0,0,7,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"31230 Susikas   (Tammela )",18,9,2,7,9,0,0,0,0,2,1,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0
"31250 Teuro   (Tammela )",46,29,14,3,29,0,11,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"31300 Tammela Keskus   (Tammela )",751,63,130,558,63,0,68,0,0,62,54,47,57,1,5,5,27,21,29,59,207,7,39,0,0,0
"31310 Mustiala   (Tammela )",51,0,1,50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,48,0,1,0,0,0,0
"31340 Porras   (Tammela )",85,36,21,28,36,0,19,0,0,2,1,9,1,0,0,0,2,0,0,6,6,1,2,0,0,0
"31350 Vistinkoski   (Tammela )",26,6,4,16,6,0,2,0,0,2,0,4,9,0,0,0,1,2,0,0,0,0,0,0,0,0
"31370 Eerikkilän Urheiluopisto   (Tammela )",60,0,0,60,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,44,0,0,0,0,0,0
"31380 Letku-Torro   (Tammela )",74,8,32,34,8,0,9,0,0,23,1,0,1,1,0,1,3,1,8,4,0,10,2,2,0,0
"31400 Somero Keskus   (Somero )",2127,138,530,1459,138,26,355,3,10,136,287,118,100,10,59,16,50,37,51,122,522,21,66,0,0,0
"31410 Ylöpirtti   (Somero )",60,28,19,13,28,0,16,0,0,3,2,0,0,0,0,1,3,1,0,3,3,0,0,0,0,0
"31450 Häntälä   (Somero )",49,31,8,10,31,0,2,0,0,6,1,5,0,0,0,0,1,0,0,0,0,0,3,0,0,0
"31460 Hirsjärvi   (Somero )",63,17,10,36,17,0,0,0,0,10,11,3,1,0,0,0,20,1,0,0,0,0,0,0,0,0
"31470 Somerniemi   (Somero )",108,44,24,40,44,2,12,0,0,10,5,7,3,5,3,1,1,1,0,6,5,1,2,0,0,0
"31490 Terttilä   (Somero )",54,37,12,5,37,0,2,0,3,7,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
"31500 Koski Tl   (Koski Tl )",882,149,246,487,149,2,150,0,1,93,100,95,11,0,10,4,23,5,34,65,102,11,26,1,0,0
"31520 Pitkäjärvi   (Somero )",96,51,24,21,51,0,11,0,0,13,4,3,0,0,0,0,2,1,0,6,5,0,0,0,0,0
"31530 Pyöli   (Somero )",45,23,6,16,23,0,3,0,0,3,0,2,0,0,0,0,0,2,0,0,9,0,3,0,0,0
"31600 Jokioinen Keskus   (Jokioinen )",1392,26,338,1028,26,0,262,0,4,72,67,63,9,14,14,5,491,35,22,79,187,7,35,0,0,0
"31610 Vaulammi   (Jokioinen )",52,19,14,19,19,0,7,0,0,7,6,4,0,0,0,1,1,1,0,4,0,0,2,0,0,0
"31620 Latovainio   (Jokioinen )",54,31,7,16,31,0,1,0,0,6,4,2,0,0,0,0,1,1,0,7,1,0,0,0,0,0
"31630 Minkiö   (Jokioinen )",60,22,10,28,22,0,0,0,0,10,0,7,1,0,0,0,1,0,0,0,18,0,1,0,0,0
"31640 Humppila Keskus   (Humppila )",533,78,126,329,78,7,75,1,2,41,88,10,29,0,11,1,5,20,20,16,108,4,17,0,0,0
"31650 Venäjänkangas   (Humppila )",14,9,1,4,9,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"31700 Urjala Asemanseutu-Hanhisuo   (Urjala )",269,57,109,103,57,0,30,0,0,79,13,21,17,0,0,1,1,1,0,42,3,1,3,0,0,0
"31720 Urjalankylä-Kehro   (Urjala )",41,13,20,8,13,0,14,0,0,6,2,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"31730 Honkola   (Urjala )",42,33,2,7,33,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"31750 Kehro   (Urjala )",7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"31760 Urjala Keskus   (Urjala )",852,28,247,577,28,0,219,2,2,24,95,53,41,6,17,12,19,16,31,18,216,15,38,0,0,0
"31810 Oriniemi   (Punkalaidun )",55,35,5,15,35,0,2,0,0,3,2,2,2,0,0,0,1,1,0,6,0,0,1,0,0,0
"31830 Halkivaha   (Urjala )",40,15,13,12,15,0,8,0,0,5,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"31850 Koskioinen   (Punkalaidun )",29,24,1,4,24,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"31860 Tursa   (Urjala )",32,25,4,3,25,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31900 Punkalaidun Keskus   (Punkalaidun )",624,78,150,396,78,0,121,0,2,27,83,33,22,5,11,0,14,22,21,48,101,16,20,0,0,0
"31930 Vanttila   (Punkalaidun )",57,14,43,0,14,0,15,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31950 Sadonmaa   (Punkalaidun )",23,18,3,2,18,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"31960 Orisuo   (Loimaa )",10,4,5,1,4,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31970 Kanteenmaa   (Punkalaidun )",48,32,9,7,32,0,4,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32100 Ypäjä Keskus   (Ypäjä )",578,93,91,394,93,0,49,0,1,41,24,12,19,2,8,0,21,19,14,154,89,12,20,0,0,0
"32140 Ypäjä Asemanseutu   (Ypäjä )",34,20,4,10,20,0,0,0,0,4,0,1,0,0,0,0,0,1,0,7,0,1,0,0,0,0
"32200 Loimaa Keskus   (Loimaa )",4142,110,1010,3022,110,9,837,8,6,150,543,158,91,27,65,24,192,192,290,320,969,47,102,2,0,0
"32210 Loimaa kk   (Loimaa )",785,45,409,331,45,0,331,0,14,64,47,17,5,3,0,2,15,10,7,59,94,37,35,0,0,0
"32250 Kojonkulma   (Loimaa )",81,43,13,25,43,0,4,1,0,8,9,2,0,0,0,0,3,0,0,2,9,0,0,0,0,0
"32260 Kojonperä   (Loimaa )",27,16,6,5,16,0,1,0,0,5,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
"32270 Metsämaa-Murto   (Loimaa )",78,25,31,22,25,0,22,0,0,9,4,3,0,0,3,2,0,0,0,4,3,1,2,0,0,0
"32280 Metsäkorpi   (Loimaa )",22,8,11,3,8,0,0,0,0,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32300 Mellilä   (Loimaa )",304,67,109,128,67,12,70,0,0,27,12,23,15,0,6,0,8,13,0,17,33,0,1,0,0,0
"32410 Niinijoki   (Loimaa )",117,54,18,45,54,0,10,0,0,8,10,15,0,1,4,0,2,0,0,7,5,1,0,0,0,0
"32430 Ylhäinen   (Loimaa )",17,15,2,0,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32440 Alastaro Keskus   (Loimaa )",574,80,178,316,80,0,44,34,0,100,45,18,54,1,6,0,24,42,0,22,94,1,9,0,0,0
"32450 Tammiainen   (Loimaa )",50,43,4,3,43,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"32500 Oripää Keskus   (Oripää )",337,75,86,176,75,0,41,0,12,33,44,26,3,0,8,0,11,6,12,0,51,3,12,0,0,0
"32520 Latva   (Oripää )",62,17,14,31,17,0,5,0,0,9,0,4,0,0,0,0,0,27,0,0,0,0,0,0,0,0
"32560 Virttaa   (Loimaa )",66,20,22,24,20,0,16,0,0,6,1,2,5,0,0,0,3,0,0,6,5,2,0,0,0,0
"32610 Vampula Keskus   (Huittinen )",362,64,125,173,64,7,60,0,14,44,20,26,3,0,6,2,19,6,0,10,68,1,12,0,0,0
"32620 Rutava   (Huittinen )",93,37,16,40,37,0,9,0,0,7,8,19,0,0,0,0,1,12,0,0,0,0,0,0,0,0
"32700 Huittinen Keskus   (Huittinen )",3337,192,890,2255,192,47,569,1,11,262,481,275,120,24,54,25,82,124,192,260,488,28,100,2,0,0
"32710 Sampu   (Huittinen )",193,38,124,31,38,0,101,0,1,22,1,4,6,0,1,0,0,0,0,11,6,0,2,0,0,0
"32730 Keikyä   (Sastamala )",101,37,41,23,37,0,34,0,0,7,6,4,1,0,0,1,2,3,0,3,1,1,1,0,0,0
"32740 Äetsä Keskus   (Sastamala )",425,16,199,210,16,0,181,0,3,15,38,15,20,2,3,0,4,1,0,24,86,5,12,0,0,0
"32760 Suttila   (Huittinen )",30,10,2,18,10,0,1,0,0,1,3,8,2,0,0,0,0,0,0,4,1,0,0,0,0,0
"32770 Huhtamo   (Huittinen )",46,31,7,8,31,0,4,0,0,3,1,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0
"32800 Kokemäki Keskus   (Kokemäki )",1553,73,272,1208,73,6,164,26,12,64,150,198,48,15,31,3,21,41,105,138,391,19,48,0,0,0
"32810 Peipohja   (Kokemäki )",556,35,301,220,35,0,268,0,0,33,15,27,7,0,1,0,19,5,0,100,35,6,5,0,0,0
"32830 Riste   (Kokemäki )",118,18,38,62,18,2,35,0,0,1,3,20,0,0,0,0,1,12,0,5,21,0,0,0,0,0
"32860 Korkeaoja   (Kokemäki )",14,2,5,7,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0
"32910 Kauvatsa Asemanseutu   (Kokemäki )",39,10,11,18,10,0,0,0,0,11,0,6,0,0,0,0,1,2,0,0,9,0,0,0,0,0
"32920 Kauvatsa   (Kokemäki )",114,35,19,60,35,0,13,0,0,6,1,3,0,0,0,0,1,1,0,10,44,0,0,0,0,0
"33100 Tampere Keskus   (Tampere )",26090,4,4601,21485,4,3,3271,174,65,1088,2298,737,1484,2500,1221,325,3407,1163,2658,2164,2102,799,627,0,0,0
"33180 Lapinniemi-Käpylä   (Tampere )",1592,5,157,1430,5,0,18,94,0,45,13,2,115,30,1,84,33,0,0,0,1137,14,1,0,0,0
"33200 Tampere Keskus Läntinen   (Tampere )",7133,51,252,6830,51,0,64,1,0,187,1006,60,443,951,230,190,744,212,162,402,1549,356,525,0,0,0
"33210 Itä-Amuri-Tammerkoski   (Tampere )",5288,3,200,5085,3,0,46,0,0,154,457,51,289,1198,80,132,851,287,453,72,550,285,380,0,0,0
"33230 Länsi-Amuri   (Tampere )",2021,4,138,1879,4,0,29,0,0,109,102,17,150,87,6,18,195,106,30,478,429,226,35,0,0,0
"33240 Tahmela   (Tampere )",212,3,7,202,3,0,0,0,0,7,24,12,10,0,1,1,11,4,0,91,35,6,7,0,0,0
"33250 Pispala   (Tampere )",540,0,197,343,0,0,123,0,0,74,49,9,36,30,0,7,47,11,1,50,44,18,41,0,0,0
"33270 Epilä   (Tampere )",1430,1,207,1222,1,0,60,54,0,93,87,54,34,479,5,7,53,31,0,135,264,14,59,0,0,0
"33300 Rahola   (Tampere )",1140,2,525,613,2,0,462,0,4,59,83,65,30,4,2,24,46,127,5,65,130,12,20,0,0,0
"33310 Tesoma   (Tampere )",1382,1,608,773,1,0,496,0,0,112,154,40,79,11,21,2,59,26,4,101,209,39,28,0,0,0
"33330 Myllypuro-Kalkku   (Tampere )",2440,0,1902,538,0,0,1686,0,20,196,193,112,42,5,1,1,26,60,32,1,47,4,14,0,0,0
"33340 Haukiluoma-Ikuri   (Tampere )",342,3,66,273,3,0,10,0,0,56,25,57,13,7,1,1,29,7,0,28,89,7,9,0,0,0
"33380 Pitkäniemi   (Nokia )",745,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,0,0,0,0,0
"33400 Luoteis-Tampere   (Tampere )",2714,5,609,2100,5,2,407,0,30,170,1333,55,121,9,22,29,105,46,0,69,240,20,51,0,0,0
"33410 Lentävänniemi   (Tampere )",272,0,34,238,0,0,2,0,0,32,26,11,15,2,0,1,7,15,0,36,114,8,3,0,0,0
"33420 Lamminpää   (Tampere )",528,1,136,391,1,0,101,0,0,35,131,5,27,16,3,6,42,26,0,1,55,60,19,0,0,0
"33430 Vuorentausta   (Ylöjärvi )",288,1,58,229,1,0,14,0,0,44,48,16,0,2,1,3,7,2,0,69,71,1,9,0,0,0
"33450 Siivikkala   (Ylöjärvi )",231,3,49,179,3,0,19,0,3,27,12,33,9,6,1,11,11,6,0,35,43,2,10,0,0,0
"33470 Ylöjärvi Keskus   (Ylöjärvi )",4208,13,1432,2763,13,0,980,16,23,413,651,194,104,19,35,26,156,144,262,200,748,98,126,0,0,0
"33480 Manninmäki-Haavisto   (Ylöjärvi )",843,9,143,691,9,0,14,0,0,129,105,75,17,8,6,2,20,26,6,127,253,8,38,0,0,0
"33500 Osmonmäki-Petsamo   (Tampere )",2414,4,153,2257,4,0,39,0,0,114,203,17,199,54,135,59,190,17,0,175,1097,21,90,0,0,0
"33520 Keskussairaala-alue-Kauppi   (Tampere )",7931,0,50,7881,0,0,45,0,0,5,34,12,119,1,0,10,353,1,0,978,6254,83,36,0,0,0
"33530 Kissanmaa   (Tampere )",653,0,142,511,0,0,105,2,1,34,62,46,102,10,2,5,42,4,0,5,204,17,12,0,0,0
"33540 Kaleva   (Tampere )",3899,0,283,3616,0,0,171,0,0,112,1078,180,97,61,35,107,203,128,748,483,136,271,89,0,0,0
"33560 Takahuhti   (Tampere )",2035,5,690,1340,5,0,313,0,0,377,190,213,45,14,11,10,145,40,39,93,471,50,19,0,0,0
"33580 Atala-Linnainmaa   (Tampere )",1763,15,530,1218,15,0,453,0,0,77,336,107,60,8,5,12,58,19,13,125,417,19,39,0,0,0
"33610 Olkahinen-Tasanne   (Tampere )",894,1,78,815,1,0,6,0,0,72,23,172,13,10,1,2,26,0,385,28,127,5,23,0,0,0
"33680 Aitolahti   (Tampere )",337,16,94,227,16,0,14,0,16,64,13,32,14,13,0,0,6,0,0,28,113,3,5,0,0,0
"33700 Messukylä   (Tampere )",872,0,398,474,0,0,289,0,0,109,200,39,12,2,0,2,25,72,0,28,51,5,38,0,0,0
"33710 Kaukajärvi   (Tampere )",3031,3,1514,1513,3,0,1253,0,37,224,429,60,100,29,3,8,143,139,5,158,332,43,64,0,0,1
