"Postal code area","Aged 18 or over, total, 2014 (KO)","Basic level studies, 2014 (KO)","With education, total, 2014 (KO)","Matriculation examination, 2014 (KO)","Vocational diploma, 2014 (KO)","Academic degree - Lower level university degree, 2014 (KO)","Academic degree - Higher level university degree, 2014 (KO)"
"04460 Nummenkylä   (Tuusula )",1376,269,1107,70,706,198,133
"04480 Haarajoki   (Mäntsälä )",1558,357,1201,85,756,193,167
"04500 Kellokoski   (Tuusula )",4263,1062,3201,258,2167,495,281
"04530 Ohkola   (Mäntsälä )",664,140,524,32,371,79,42
"04600 Mäntsälä Keskus   (Mäntsälä )",7146,2273,4873,346,3450,644,433
"04620 Kaunismäki   (Mäntsälä )",1242,214,1028,85,564,194,185
"04630 Sääksjärvi   (Mäntsälä )",659,204,455,33,342,45,35
"04660 Numminen   (Mäntsälä )",1258,373,885,60,661,110,54
"04680 Hirvihaara   (Mäntsälä )",565,197,368,25,262,44,37
"04740 Sälinkää   (Mäntsälä )",907,302,605,37,472,68,28
"04770 Sahakylä   (Mäntsälä )",170,57,113,16,79,9,9
"04820 Kaukalampi   (Mäntsälä )",228,61,167,13,123,15,16
"04840 Hautjärvi   (Mäntsälä )",211,86,125,10,93,12,10
"04920 Saarentaus   (Mäntsälä )",259,75,184,13,148,15,8
"04940 Levanto   (Mäntsälä )",221,69,152,12,118,14,8
"05100 Röykkä   (Nurmijärvi )",1670,441,1229,103,844,178,104
"05200 Rajamäki   (Nurmijärvi )",4829,1293,3536,270,2351,485,430
"05250 Kiljava   (Nurmijärvi )",145,47,98,9,70,13,6
"05400 Jokela   (Tuusula )",4761,1244,3517,297,2234,558,428
"05430 Nuppulinna   (Tuusula )",791,216,575,43,403,62,67
"05440 Hyvinkää   (Hyvinkää )",185,20,165,10,74,44,37
"05450 Nukari   (Nurmijärvi )",803,207,596,57,403,74,62
"05460 Hakalanmäki-Hakala   (Hyvinkää )",2683,624,2059,156,1432,308,163
"05470 Palopuro   (Hyvinkää )",247,74,173,15,124,17,17
"05510 Päivärinta   (Hyvinkää )",375,115,260,17,187,27,29
"05620 Noppo   (Hyvinkää )",971,235,736,51,501,101,83
"05720 Kytäjä   (Hyvinkää )",407,99,308,18,208,41,41
"05800 Hyvinkää Keskus   (Hyvinkää )",8206,2465,5741,564,3737,843,597
"05810 Martti   (Hyvinkää )",3778,709,3069,242,1797,556,474
"05820 Mustamännistö   (Hyvinkää )",3925,1040,2885,203,1945,419,318
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",5875,1381,4494,371,2845,732,546
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",2956,749,2207,144,1542,292,229
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",.,.,.,.,.,.,.
"05860 Talvisilta   (Hyvinkää )",1143,314,829,61,586,116,66
"05880 Paavola-Vaivero   (Hyvinkää )",2911,1062,1849,141,1435,171,102
"05900 Vieremä   (Hyvinkää )",3386,986,2400,221,1489,364,326
"05950 Ridasjärvi   (Hyvinkää )",325,74,251,10,198,27,16
"06100 Porvoo Keskus   (Porvoo )",14963,3978,10985,1172,6160,1751,1902
"06150 Kevätkumpu   (Porvoo )",4651,1526,3125,259,2185,439,242
"06200 Porvoo itäinen   (Porvoo )",2042,551,1491,130,1014,201,146
"06400 Gammelbacka   (Porvoo )",5397,1649,3748,255,2524,547,422
"06450 Eestinmäki-Ernestas   (Porvoo )",1584,384,1200,77,799,181,143
"06500 Saksala-Suomenkylä   (Porvoo )",1698,494,1204,77,816,182,129
"06530 Kerkkoo   (Porvoo )",618,152,466,30,321,61,54
"06650 Hamari   (Porvoo )",1150,294,856,68,567,111,110
"06750 Tolkkinen   (Porvoo )",1284,326,958,74,577,175,132
"06830 Kulloonkylä   (Porvoo )",800,195,605,46,401,80,78
"06850 Kulloo   (Porvoo )",13,..,..,..,..,..,..
"06880 Kärrby   (Sipoo )",302,84,218,26,137,24,31
"06950 Emäsalo   (Porvoo )",323,93,230,18,162,31,19
"07110 Hinthaara   (Porvoo )",1071,262,809,68,521,131,89
"07130 Anttila   (Porvoo )",496,156,340,23,221,58,38
"07150 Laukkoski   (Pornainen )",699,204,495,31,351,52,61
"07170 Keski-Pornainen   (Pornainen )",1813,507,1306,87,954,170,95
"07190 Halkia   (Pornainen )",1054,281,773,71,543,104,55
"07220 Kaarenkylä   (Porvoo )",244,62,182,14,125,21,22
"07230 Monninkylä   (Askola )",1197,322,875,75,620,106,74
"07280 Ilola   (Porvoo )",695,212,483,43,340,58,42
"07310 Sannainen   (Porvoo )",306,67,239,19,172,28,20
"07320 Jakari-Sannäs   (Porvoo )",360,115,245,10,185,32,18
"07350 Gäddrag   (Porvoo )",74,24,50,5,35,5,5
"07360 Tirmo   (Porvoo )",49,18,31,2,21,4,4
