"Postal code area","Workplaces, 2012 (TP)","Primary production, 2012 (TP)","Processing, 2012 (TP)","Services, 2012 (TP)","A Agriculture, forestry and fishing, 2012 (TP)","B Mining and quarrying, 2012 (TP)","C Manufacturing, 2012 (TP)","D Electricity, gas, steam and air conditioning supply, 2012 (TP)","E Water supply; sewerage, waste management and remediation activities, 2012 (TP)","F Construction, 2012 (TP)","G Wholesale and retail trade; repair of motor vehicles and motorcycles, 2012 (TP)","H Transportation and storage, 2012 (TP)","I Accommodation and food service activities, 2012 (TP)","J Information and communication, 2012 (TP)","K Financial and insurance activities, 2012 (TP)","L Real estate activities, 2012 (TP)","M Professional, scientific and technical activities, 2012 (TP)","N Administrative and support service activities, 2012 (TP)","O Public administration and defence; compulsory social security, 2012 (TP)","P Education, 2012 (TP)","Q Human health and social work activities, 2012 (TP)","R Arts, entertainment and recreation, 2012 (TP)","S Other service activities, 2012 (TP)","T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use, 2012 (TP)","U Activities of extraterritorial organisations and bodies, 2012 (TP)","X Industry unknown, 2012 (TP)"
"19650 Joutsa Keskus  (Joutsa)",1179,113,308,758,113,1,124,3,7,173,122,40,54,11,13,4,28,54,60,73,247,5,47,0,0,0
"19670 Mieskonmäki  (Joutsa)",30,15,0,15,15,0,0,0,0,0,0,4,0,0,0,0,1,0,0,7,3,0,0,0,0,0
"19700 Sysmä Keskus  (Sysmä)",888,106,155,626,106,0,56,2,7,90,123,49,33,11,23,8,35,31,30,46,178,12,47,0,0,1
"19730 Särkilampi  (Sysmä)",4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"19740 Liikola  (Sysmä)",16,14,2,0,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19770 Valittula  (Sysmä)",25,18,6,1,18,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"19850 Putkijärvi-Siltasuo  (Hartola)",21,20,0,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19910 Tammijärvi  (Luhanka)",79,25,19,35,25,0,5,0,0,14,2,15,2,0,5,0,0,0,0,10,0,0,1,0,0,0
"19920 Pappinen  (Joutsa)",23,13,5,5,13,0,0,0,0,5,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"19950 Luhanka  (Luhanka)",86,12,18,56,12,0,0,0,0,18,3,2,2,1,1,0,2,3,8,4,28,1,1,0,0,0
"20100 Turku Keskus  (Turku)",25456,36,1784,23636,36,8,348,222,32,1174,3012,2259,2184,1131,878,506,2673,1510,3665,882,2782,953,1201,0,0,0
"20200 Iso-Heikkilä  (Turku)",2908,0,715,2193,0,0,303,0,3,409,514,830,52,31,1,14,100,116,31,15,383,8,98,0,0,0
"20210 Pahaniemi  (Turku)",2077,5,1277,795,5,0,1243,0,0,34,66,90,53,3,0,35,39,86,219,22,116,56,10,0,0,0
"20240 Pansio-Perno  (Turku)",3712,0,2450,1262,0,0,2395,0,5,50,137,136,50,36,0,5,81,55,489,90,164,1,18,0,0,0
"20250 Pitkämäki-Muhkuri  (Turku)",1369,0,171,1198,0,0,17,0,0,154,276,569,3,59,8,2,231,13,0,13,3,16,5,0,0,0
"20300 Pohjola-Kastu  (Turku)",2396,29,386,1981,29,0,182,0,38,166,628,503,47,18,3,12,94,230,0,168,180,30,68,0,0,0
"20320 Kuninkoja-Mälikkälä  (Turku)",4283,3,636,3644,3,0,132,0,36,468,1740,404,48,44,33,38,111,317,4,71,685,64,85,0,0,0
"20360 Kärsämäki-Urusvuori-Halinen  (Turku)",5253,4,2046,3203,4,0,1574,0,0,472,863,694,43,120,7,18,185,140,82,250,546,105,147,3,0,0
"20380 Räntämäki-Saramäki  (Turku)",3975,129,1859,1987,129,0,1321,0,238,300,810,211,63,3,1,8,198,110,231,97,160,65,30,0,0,0
"20400 Moisio  (Turku)",315,5,68,242,5,0,16,0,0,52,36,24,20,2,0,1,12,5,0,25,111,1,4,1,0,0
"20460 Jäkärlä  (Turku)",273,8,29,236,8,0,2,0,0,27,42,37,6,0,3,1,8,23,0,16,86,1,13,0,0,0
"20500 Vesilinna  (Turku)",6142,4,242,5896,4,0,29,0,0,213,133,1,181,163,60,47,99,70,162,4083,503,221,173,0,0,0
"20520 Kupittaa  (Turku)",11128,0,1065,10063,0,0,810,0,0,255,834,224,155,963,991,25,818,922,122,199,4683,39,88,0,0,0
"20540 Nummi-Ylioppilaskylä  (Turku)",3599,39,548,3012,39,0,277,0,101,170,340,65,166,428,4,52,130,78,0,268,1262,50,169,0,0,0
"20610 Varissuo  (Turku)",1351,6,118,1227,6,0,25,0,0,93,104,93,44,13,0,11,36,143,5,224,408,16,130,0,0,0
"20660 Littoinen  (Kaarina)",1453,22,724,707,22,32,594,0,0,98,91,128,23,12,6,2,54,30,0,80,238,20,23,0,0,0
"20700 Vartiovuori-Samppalinna  (Turku)",4840,1,58,4781,1,0,26,0,0,32,371,30,95,15,14,37,186,96,172,1199,2212,75,279,0,0,0
"20720 Vasaramäki  (Turku)",2225,0,747,1478,0,0,231,0,0,516,73,12,66,90,3,15,127,84,39,186,702,12,69,0,0,0
"20730 Skanssi  (Turku)",619,0,103,516,0,0,103,0,0,0,446,0,30,0,0,0,0,0,0,0,0,24,16,0,0,0
"20740 Ilpoinen-Harittu  (Turku)",1314,1,257,1056,1,0,136,0,0,121,176,48,16,28,5,11,167,75,0,145,341,3,41,0,0,0
"20750 Huhkola-Lauste-Vaala  (Turku)",2351,2,1114,1235,2,0,880,0,0,234,296,101,22,174,0,16,90,63,0,68,341,6,58,0,0,0
"20760 Piispanristi  (Kaarina)",969,2,347,620,2,0,240,0,0,107,246,38,11,9,1,9,34,91,0,55,103,9,14,0,0,0
"20780 Kaarina Keskus  (Kaarina)",4328,21,1108,3198,21,0,756,0,20,332,597,175,111,37,39,61,425,233,226,247,894,71,82,0,0,1
"20800 Ammattikorkeakoulu  (Turku)",319,0,0,319,0,0,0,0,0,0,0,0,10,0,0,0,130,6,149,0,0,18,6,0,0,0
"20810 Martti-Korppolaismäki  (Turku)",4607,0,879,3728,0,0,561,0,0,318,347,185,151,91,18,27,481,86,250,444,1297,258,93,0,0,0
"20880 Uittamo  (Turku)",181,0,24,157,0,0,1,0,0,23,18,43,4,4,1,24,7,1,2,0,39,3,11,0,0,0
"20900 Moikoinen-Pikisaari  (Turku)",1164,7,111,1046,7,0,22,0,0,89,110,66,19,20,12,4,72,77,46,51,540,12,16,1,0,0
"20960 Kakskerta  (Turku)",230,7,52,171,7,0,6,0,0,46,9,15,1,0,0,3,6,18,0,37,55,15,12,0,0,0
"21100 Naantali Keskus  (Naantali)",3762,9,1133,2620,9,0,790,166,23,154,313,228,253,34,32,52,229,233,132,182,634,221,77,0,0,0
"21110 Taimo-Nuhjala-Lietsala  (Naantali)",973,1,423,549,1,0,225,0,0,198,116,76,38,25,3,11,36,40,0,84,99,7,14,0,0,0
"21120 Viherjäinen  (Raisio)",198,1,53,144,1,0,7,0,0,46,16,34,7,4,1,1,7,14,0,19,23,13,5,0,0,0
"21130 Poikko  (Naantali)",72,10,27,35,10,0,10,0,0,17,2,4,3,2,0,1,4,3,0,0,13,3,0,0,0,0
"21140 Rymättylä Keskus  (Naantali)",290,33,111,146,33,0,91,0,0,20,36,5,1,0,10,0,5,3,0,20,42,0,24,0,0,0
"21150 Röölä  (Naantali)",124,30,60,34,30,0,48,0,0,12,0,1,7,0,0,0,6,1,0,15,0,4,0,0,0,0
"21160 Merimasku  (Naantali)",279,32,79,168,32,0,14,0,0,65,13,10,11,2,6,1,16,9,0,35,36,11,18,0,0,0
"21180 Livonsaari  (Naantali)",11,3,2,6,3,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"21195 Velkua  (Naantali)",37,2,8,27,2,0,0,0,3,5,0,3,0,0,0,1,0,0,0,4,15,4,0,0,0,0
"21200 Raisio Keskus  (Raisio)",6264,15,2084,4165,15,0,1537,0,15,532,942,154,171,88,90,44,526,232,222,376,1125,73,122,0,0,0
"21210 Hakinmäki  (Raisio)",327,0,147,180,0,0,37,0,0,110,29,18,1,3,0,1,37,15,0,7,43,11,15,0,0,0
"21220 Somersoja  (Raisio)",177,0,47,130,0,0,16,0,0,31,27,5,4,0,0,0,12,13,0,0,60,2,7,0,0,0
"21230 Lemu  (Masku)",310,21,96,193,21,0,24,0,1,71,9,86,2,0,3,0,9,4,6,29,32,3,10,0,0,0
"21240 Askainen Keskus  (Masku)",140,18,15,107,18,0,4,0,2,9,13,9,5,1,2,3,4,10,0,8,47,2,3,0,0,0
"21250 Masku  (Masku)",1898,73,554,1271,73,0,185,0,12,357,213,101,40,5,42,7,55,80,40,125,453,17,93,0,0,0
"21260 Ihala  (Raisio)",382,1,182,199,1,0,32,0,0,150,41,26,10,4,2,5,6,22,0,34,40,5,4,0,0,0
"21270 Nousiainen  (Nousiainen)",991,102,154,734,102,0,53,0,0,101,108,131,8,10,22,5,50,39,36,86,199,7,33,0,0,1
"21280 Kuloinen  (Raisio)",1356,2,117,1237,2,0,72,0,0,45,921,50,94,0,1,8,45,4,0,33,36,1,44,0,0,0
"21290 Rusko  (Rusko)",1013,46,510,457,46,1,311,0,0,198,92,63,22,7,6,0,36,56,17,72,52,7,27,0,0,0
"21310 Vahto  (Rusko)",536,36,298,202,36,6,209,0,0,83,42,34,7,0,0,2,10,18,0,14,53,1,21,0,0,0
"21330 Paattinen  (Turku)",444,63,109,272,63,0,4,0,0,105,27,64,1,1,9,0,6,4,0,15,128,4,13,0,0,0
"21340 Tortinmäki  (Turku)",97,19,19,59,19,0,1,0,0,18,4,13,0,0,0,0,1,4,0,1,32,0,4,0,0,0
"21350 Ilmarinen  (Lieto)",259,14,49,196,14,0,24,0,0,25,17,39,3,2,4,0,9,32,0,39,49,1,1,0,0,0
"21360 Lieto Asemanseutu  (Lieto)",271,41,70,160,41,0,24,0,0,46,28,16,1,14,2,0,15,16,0,10,43,12,2,1,0,0
"21370 Käyrä  (Aura)",134,17,10,107,17,0,1,0,0,9,4,0,4,0,0,0,2,1,72,5,17,0,2,0,0,0
"21380 Aura Keskus  (Aura)",1118,36,511,571,36,8,372,0,2,129,92,67,77,1,10,14,50,12,18,44,146,6,34,0,0,0
"21410 Vanhalinna  (Lieto)",494,1,156,337,1,1,48,0,0,107,36,89,6,2,1,0,9,1,0,25,152,1,15,0,0,0
"21420 Lieto Keskus  (Lieto)",3317,41,1037,2239,41,2,695,1,12,327,499,361,72,6,62,5,91,99,168,192,577,35,72,0,0,0
"21430 Yliskulma  (Lieto)",176,27,108,41,27,0,74,0,0,34,1,5,1,0,1,0,3,12,0,10,8,0,0,0,0,0
"21450 Tarvasjoki Keskus  (Tarvasjoki)",477,41,166,270,41,0,132,0,6,28,38,32,3,1,7,2,9,9,19,40,91,1,18,0,0,0
"21480 Prunkila  (Marttila)",72,25,16,31,25,0,8,0,0,8,7,4,0,0,0,0,2,0,0,0,16,0,2,0,0,0
"21490 Marttila  (Marttila)",326,33,71,222,33,0,22,0,0,49,17,27,4,15,12,0,9,7,15,13,82,4,17,0,0,0
"21500 Piikkiö  (Kaarina)",1550,97,407,1046,97,0,227,1,1,178,126,170,48,1,15,2,160,68,0,201,220,9,26,0,0,0
"21510 Hevonpää  (Paimio)",137,24,68,45,24,2,60,0,0,6,10,10,6,1,0,2,1,11,0,0,1,1,2,0,0,0
"21520 Naskarla  (Paimio)",482,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,476,0,0,0,0,0
"21530 Paimio Keskus  (Paimio)",2427,120,715,1592,120,0,384,26,3,302,259,152,73,12,33,15,99,58,49,227,485,32,96,2,0,0
"21540 Preitilä  (Paimio)",288,11,17,260,11,0,3,0,0,14,7,1,0,1,0,1,5,1,0,19,222,0,3,0,0,0
"21555 Taatila  (Paimio)",55,14,7,34,14,0,0,0,0,7,1,3,0,0,0,0,2,0,0,28,0,0,0,0,0,0
"21560 Ollila  (Marttila)",100,41,28,31,41,0,19,0,0,9,13,8,0,0,6,0,2,0,0,0,1,0,1,0,0,0
"21570 Sauvo Keskus  (Sauvo)",554,123,90,341,123,0,45,0,1,44,32,45,7,3,5,5,18,12,17,40,122,8,27,0,0,0
"21590 Karuna  (Sauvo)",103,23,5,75,23,0,1,0,0,4,6,21,0,0,3,0,42,0,0,0,2,0,1,0,0,0
"21600 Parainen Keskus  (Parainen)",3734,66,1374,2294,66,87,994,1,21,271,310,146,94,54,43,17,155,113,143,335,699,52,133,0,0,0
"21610 Kirjala  (Parainen)",473,6,69,398,6,0,14,3,0,52,11,5,8,1,0,1,2,1,0,67,299,1,2,0,0,0
"21620 Kuusisto  (Kaarina)",179,11,39,129,11,0,12,0,0,27,13,12,32,5,0,1,20,12,0,10,21,1,2,0,0,0
"21630 Lielahti  (Parainen)",44,15,10,19,15,0,1,0,0,9,3,7,0,0,0,0,2,3,0,0,2,0,2,0,0,0
"21650 Lillandet  (Parainen)",66,15,19,32,15,0,11,0,0,8,16,1,3,0,0,1,3,1,0,0,6,0,1,0,0,0
"21660 Nauvo Keskus  (Parainen)",287,26,45,216,26,0,24,0,1,20,14,22,42,6,14,1,18,27,22,24,20,3,3,0,0,0
"21670 Mattnäs-Nötö  (Parainen)",25,8,9,8,8,0,0,0,0,9,0,3,0,0,0,1,2,0,0,0,0,0,2,0,0,0
"21680 Nötö  (Parainen)",1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"21710 Korppoo Keskus-Utö  (Parainen)",153,28,18,107,28,2,6,0,0,10,6,8,15,1,6,0,3,9,13,23,19,3,1,0,0,0
"21720 Korpoström  (Parainen)",10,0,1,9,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0
"21740 Utö  (Parainen)",7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"21750 Norrskata  (Parainen)",7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"21760 Houtskär Keskus  (Parainen)",27,8,4,15,8,0,1,0,0,3,1,1,5,0,4,0,1,1,0,2,0,0,0,0,0,0
"21770 Mossala  (Parainen)",10,8,0,2,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"21800 Kyrö  (Pöytyä)",863,105,433,325,105,2,334,0,13,84,63,38,10,7,15,1,16,10,15,79,50,4,17,0,0,0
"21820 Kumila  (Pöytyä)",67,40,9,18,40,0,7,0,0,2,3,2,0,0,0,0,1,1,0,4,2,0,5,0,0,0
"21840 Karinainen  (Pöytyä)",100,10,64,26,10,0,17,0,0,47,3,5,0,0,0,0,0,3,0,14,0,0,1,0,0,0
"21860 Auvainen  (Pöytyä)",50,17,15,18,17,0,2,1,0,12,1,1,1,0,0,0,0,1,0,6,5,3,0,0,0,0
"21870 Riihikoski  (Pöytyä)",747,50,161,536,50,0,112,0,0,49,36,35,46,1,14,4,19,35,55,12,259,6,14,0,0,0
"21880 Pöytyä  (Pöytyä)",89,37,13,39,37,1,1,0,0,11,6,15,0,0,3,0,1,1,0,4,1,1,7,0,0,0
"21890 Haveri  (Pöytyä)",58,33,4,21,33,0,1,0,0,3,0,2,0,0,0,0,4,0,0,3,12,0,0,0,0,0
"21900 Yläne Keskus  (Pöytyä)",441,43,127,271,43,0,97,0,0,30,32,17,17,1,10,2,7,0,4,18,137,11,15,0,0,0
"21930 Uusikartano  (Pöytyä)",135,42,20,73,42,0,3,0,0,17,4,18,0,0,0,0,0,0,1,8,41,0,1,0,0,0
"22100 Maarianhamina  (Maarianhamina)",9073,17,839,8217,17,0,350,47,83,359,673,2544,383,471,418,44,339,197,632,451,1651,142,272,0,0,0
"22120 Möckelö  (Jomala)",505,0,108,397,0,0,28,0,0,80,93,265,1,0,0,1,1,2,0,0,33,0,1,0,0,0
"22130 Gottby  (Jomala)",88,21,39,28,21,0,9,0,2,28,14,5,1,0,0,1,4,2,0,0,0,0,1,0,0,0
"22140 Önningby  (Jomala)",113,4,58,51,4,0,25,0,0,33,29,1,4,0,0,1,9,3,0,0,2,2,0,0,0,0
"22150 Jomala Centrum  (Jomala)",643,47,163,433,47,0,69,37,9,48,118,15,2,32,0,0,8,5,0,0,117,103,33,0,0,0
"22160 Järsö  (Lemland)",11,0,3,8,0,0,0,0,0,3,2,1,1,0,0,0,1,0,0,0,1,0,2,0,0,0
"22220 Emkarby  (Finström)",38,8,12,18,8,0,0,0,0,12,0,2,3,0,0,0,13,0,0,0,0,0,0,0,0,0
"22240 Hammarland  (Hammarland)",102,34,32,36,34,9,5,0,0,18,2,11,2,0,1,2,10,2,0,2,0,2,2,0,0,0
"22270 Storby  (Eckerö)",103,31,21,51,31,0,1,0,0,20,7,4,18,2,0,0,3,2,0,0,8,4,3,0,0,0
"22310 Pålsböle  (Finström)",67,27,23,17,27,0,2,0,0,21,0,1,2,0,0,0,0,1,0,0,1,0,12,0,0,0
"22320 Ödkarby  (Saltvik)",104,20,50,34,20,6,30,0,0,14,9,0,1,0,1,1,1,3,0,13,1,3,1,0,0,0
"22330 Tjudö  (Finström)",26,17,7,2,17,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"22340 Geta  (Geta)",45,4,6,35,4,0,2,0,0,4,1,1,29,1,0,1,0,0,0,0,1,1,0,0,0,0
"22410 Godby  (Finström)",352,25,195,132,25,0,152,0,0,43,88,5,3,2,0,10,15,7,0,0,0,0,2,0,0,0
"22430 Saltvik  (Saltvik)",34,17,4,13,17,0,0,0,0,4,4,2,0,0,0,0,0,2,0,0,1,2,2,0,0,0
"22520 Tosarby  (Sund)",64,14,19,31,14,0,14,0,1,4,0,1,19,0,0,0,1,1,0,0,1,0,8,0,0,0
"22530 Sund  (Sund)",26,6,8,12,6,0,0,0,0,8,0,4,1,3,0,0,2,1,0,0,1,0,0,0,0,0
"22550 Vårdö  (Vårdö)",50,37,3,10,37,0,0,0,0,3,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"22610 Lemland  (Lemland)",115,11,41,63,11,0,3,0,0,38,14,4,0,0,3,2,3,2,0,0,19,1,15,0,0,0
"22630 Lumparland  (Lumparland)",41,18,7,16,18,0,3,0,0,4,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"22710 Ålands Degerby  (Föglö)",86,16,4,66,16,0,0,0,0,4,39,8,8,0,2,4,0,0,0,0,0,0,5,0,0,0
"22720 Sottunga  (Sottunga)",1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"22730 Kökar  (Kökar)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22810 Seglinge  (Kumlinge)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22820 Kumlinge  (Kumlinge)",1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"22830 Enklinge  (Kumlinge)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22840 Lappo  (Brändö)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22910 Torsholma  (Brändö)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22920 Brändö-Åland  (Brändö)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22930 Fiskö  (Brändö)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22940 Åva  (Brändö)",22,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22950 Jurmo  (Brändö)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"23100 Mynämäki Keskus  (Mynämäki)",1572,213,412,947,213,3,253,0,2,154,189,107,25,4,30,8,37,66,43,67,302,7,62,0,0,0
"23120 Mietoinen Keskus  (Mynämäki)",249,6,37,206,6,0,25,0,0,12,11,13,1,0,3,0,17,18,0,74,62,5,2,0,0,0
"23140 Hietamäki  (Mynämäki)",86,20,21,45,20,0,9,0,0,12,17,8,3,0,0,0,1,5,0,5,5,0,1,0,0,0
"23200 Vinkkilä  (Vehmaa)",471,66,143,262,66,4,77,2,6,54,47,32,5,6,11,2,10,18,23,21,77,6,4,0,0,0
"23210 Vehmaa  (Vehmaa)",200,59,25,116,59,1,5,0,0,19,1,24,0,0,0,0,1,0,0,13,62,0,15,0,0,0
"23260 Rautila  (Vehmaa)",46,13,20,13,13,0,0,0,0,20,2,6,3,0,0,0,0,0,0,0,0,0,2,0,0,0
"23310 Taivassalo  (Taivassalo)",444,70,142,232,70,24,74,0,1,43,37,23,15,4,13,3,21,2,11,30,56,3,14,0,0,0
"23360 Kustavi  (Kustavi)",300,30,133,137,30,0,96,0,1,36,21,9,19,1,4,1,7,9,23,7,26,3,7,0,0,0
"23390 Iniö  (Parainen)",1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"23450 Lokalahti  (Uusikaupunki)",161,41,33,87,41,0,1,0,0,32,8,6,5,1,4,0,3,20,0,6,26,0,8,0,0,0
"23500 Uusikaupunki Keskus  (Uusikaupunki)",5071,51,2016,3004,51,3,1638,7,31,337,440,175,127,139,78,30,146,217,209,219,1037,66,121,0,0,0
"23600 Kalanti Keskus  (Uusikaupunki)",610,84,319,207,84,0,265,0,0,54,42,7,4,4,7,0,21,9,2,37,63,0,11,0,0,0
"23660 Kalanti Asemanseutu  (Uusikaupunki)",85,46,30,9,46,4,2,0,0,24,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"23800 Laitila Keskus  (Laitila)",3485,277,1489,1719,277,7,1189,34,22,237,331,121,82,29,46,41,93,36,54,266,514,20,86,0,0,0
"23840 Soukainen  (Laitila)",63,18,19,26,18,0,16,0,0,3,3,11,0,0,0,0,0,0,0,9,1,0,2,0,0,0
"23880 Suontaka  (Laitila)",21,6,1,14,6,0,1,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,1,0,0,0
"23930 Pyhämaa  (Uusikaupunki)",85,26,27,32,26,0,11,0,0,16,8,3,2,2,1,1,2,2,0,5,2,0,4,0,0,0
"23950 Pyhäranta  (Pyhäranta)",173,10,48,115,10,0,35,0,0,13,10,19,0,1,4,0,7,0,8,7,44,1,14,0,0,0
"23960 Santtio  (Pyhäranta)",21,2,7,12,2,0,4,0,0,3,0,9,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"24100 Salo Keskus  (Salo)",8323,12,3580,4731,12,19,3085,24,70,382,1118,277,291,219,179,105,337,306,396,234,835,115,319,0,0,0
"24130 Ylhäisi  (Salo)",1166,23,97,1046,23,0,9,0,0,88,32,16,17,8,0,2,16,15,12,167,755,1,5,0,0,0
"24240 Rappula  (Salo)",2301,21,198,2082,21,1,126,0,0,71,602,311,61,27,10,6,74,32,4,366,491,11,87,0,0,0
"24260 Ollikkala  (Salo)",622,18,99,505,18,0,13,0,0,86,208,24,5,44,0,0,3,20,28,32,112,11,18,0,0,0
"24280 Tupuri-Hähkänä  (Salo)",915,24,591,300,24,0,508,0,3,80,47,37,5,5,16,0,30,17,0,53,74,5,11,0,0,0
"24800 Halikko Keskus  (Salo)",1057,26,200,831,26,0,96,0,0,104,56,14,64,3,1,53,26,155,75,99,245,8,32,0,0,0
"24910 Halikko Asemanseutu  (Salo)",754,19,303,432,19,0,254,0,0,49,135,101,17,0,16,26,8,37,0,20,64,4,4,0,0,0
"25110 Kruusila  (Salo)",43,19,15,9,19,0,7,0,0,8,4,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0
"25130 Muurla  (Salo)",313,30,151,132,30,0,94,0,0,57,47,9,10,5,0,0,4,9,0,21,23,1,3,0,0,0
"25160 Tuohittu  (Salo)",19,10,4,5,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
"25170 Kotalato  (Salo)",15,5,3,7,5,0,1,0,0,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"25180 Romsila  (Salo)",19,5,10,4,5,0,2,0,0,8,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"25190 Inkere  (Salo)",297,12,88,197,12,0,59,0,0,29,13,37,6,0,8,3,3,1,2,11,106,2,5,0,0,0
"25210 Vartsala  (Salo)",30,6,3,21,6,0,0,0,0,3,2,4,1,0,0,1,0,0,0,0,13,0,0,0,0,0
"25230 Angelniemi  (Salo)",40,11,7,22,11,0,1,0,0,6,0,0,0,0,0,0,6,0,0,9,0,0,7,0,0,0
"25240 Hajala  (Salo)",150,31,17,102,31,0,3,0,0,14,0,28,0,0,0,0,2,1,0,4,61,6,0,0,0,0
"25250 Märynummi  (Salo)",318,8,19,291,8,0,1,0,0,18,16,11,13,1,0,0,0,2,0,7,229,0,12,0,0,0
"25260 Vaskio  (Salo)",126,59,24,43,59,0,9,0,0,15,8,16,0,0,7,0,3,2,0,5,0,1,1,0,0,0
"25320 Raatala  (Salo)",81,42,25,14,42,0,13,2,0,10,3,5,0,0,0,0,2,0,0,1,2,0,1,0,0,0
"25330 Kuusjoki Keskus  (Salo)",167,22,20,125,22,0,3,0,0,17,51,11,10,0,2,3,3,5,0,10,17,2,11,0,0,0
"25340 Kanunki  (Salo)",190,32,107,51,32,0,99,0,0,8,2,23,1,0,2,0,1,0,0,0,20,0,2,0,0,0
"25360 Pertteli Keskus  (Salo)",132,19,31,82,19,0,5,0,0,26,20,2,5,1,0,1,5,5,0,10,18,1,14,0,0,0
"25370 Hiisi  (Salo)",91,42,23,26,42,0,12,1,0,10,3,5,0,6,0,1,1,2,0,4,0,0,4,0,0,0
"25380 Rekijoki  (Salo)",71,36,18,17,36,0,7,0,0,11,3,6,0,0,2,0,0,0,0,3,3,0,0,0,0,0
"25390 Kiikala Keskus  (Salo)",222,36,126,60,36,6,94,0,0,26,8,1,6,0,5,2,2,1,0,5,21,1,8,0,0,0
"25410 Suomusjärvi Keskus  (Salo)",288,39,27,222,39,0,20,0,0,7,25,17,50,1,3,0,2,4,0,10,83,1,26,0,0,0
"25420 Lahnajärvi  (Salo)",13,2,4,7,2,0,1,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25430 Kettula  (Salo)",13,7,4,2,7,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"25460 Toija  (Salo)",241,45,55,141,45,0,34,2,0,19,27,39,4,0,3,0,12,2,0,13,34,7,0,0,0,0
"25470 Kisko kk  (Salo)",52,18,17,17,18,0,8,0,0,9,0,6,0,0,1,0,1,1,0,0,0,1,7,0,0,0
"25500 Perniö Keskus  (Salo)",1014,104,316,594,104,4,194,3,8,107,111,51,35,4,16,7,18,6,4,58,244,6,34,0,0,0
"25520 Perniö Asemanseutu  (Salo)",199,46,108,45,46,0,62,0,0,46,6,19,0,0,0,0,2,2,0,7,8,0,1,0,0,0
"25540 Knaapila  (Salo)",14,11,2,1,11,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25550 Aijala  (Salo)",14,1,4,9,1,0,1,0,0,3,0,3,0,0,0,2,3,0,0,0,1,0,0,0,0,0
"25560 Koski Asemanseutu  (Salo)",18,7,6,5,7,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0
