"Postal code area","Households, total, 2016 (TE)","Average size of households, 2016 (TE)","Occupancy rate, 2016 (TE)","Young single persons, 2016 (TE)","Young couples without children, 2016 (TE)","Households with children, 2016 (TE)","Households with small children, 2016 (TE)","Households with children under school age, 2016 (TE)","Households with school-age children, 2016 (TE)","Households with teenagers, 2016 (TE)","Adult households, 2016 (TE)","Pensioner households, 2016 (TE)","Households living in owner-occupied dwellings, 2016 (TE)","Households living in rented dwellings, 2016 (TE)","Households living in other dwellings, 2016 (TE)"
"01230 Vaarala   (Vantaa )",1307,2.2,36.5,114,58,338,93,175,146,110,691,281,1013,270,24
"01260 Itä-Hakkila   (Vantaa )",1821,2.6,38.5,47,34,646,137,292,311,258,716,470,1514,282,25
"01280 Länsimäki   (Vantaa )",4573,2.1,33.7,367,171,1174,340,600,508,417,2322,1091,2675,1860,38
"01300 Tikkurila   (Vantaa )",9966,1.9,35.6,1232,653,1776,479,886,749,621,5501,2716,5263,4525,178
"01340 Leinelä   (Vantaa )",455,1.7,31.4,94,72,79,29,52,22,14,309,67,71,380,4
"01350 Hiekkaharju   (Vantaa )",4948,2.0,34.2,681,295,1174,309,576,498,433,2732,1054,2569,2302,77
"01360 Koivukylä-Havukoski   (Vantaa )",6606,1.9,33.5,841,317,1342,401,767,525,426,3693,1591,3101,3404,101
"01370 Jokiniemi   (Vantaa )",3323,2.0,31.6,569,367,818,260,451,288,244,2142,370,973,2326,24
"01380 Kuusikko-Hakkila   (Vantaa )",735,2.6,37.3,14,30,285,84,142,125,119,279,173,547,178,10
"01390 Ruskeasanta-Ilola   (Vantaa )",3526,2.5,36.8,214,184,1282,323,630,583,480,1616,651,2557,927,42
"01400 Rekola   (Vantaa )",3520,2.3,35.6,218,108,1082,247,498,494,467,1524,931,1810,1670,40
"01420 Päiväkumpu   (Vantaa )",1105,2.9,38.3,11,9,449,94,194,227,210,388,272,977,110,18
"01450 Korso   (Vantaa )",8394,2.2,35.8,780,353,2323,580,1143,1050,859,4205,1898,5040,3253,101
"01480 Mikkola   (Vantaa )",2888,2.2,35.0,266,104,804,192,394,370,308,1476,619,1789,1047,52
"01490 Nikinmäki   (Sipoo )",1405,2.9,39.7,20,36,661,139,288,342,273,482,270,1261,123,21
"01510 Kirkonkylä-Veromäki   (Vantaa )",2917,2.1,30.5,357,262,896,298,559,361,236,1685,341,1040,1840,37
"01520 Tammisto   (Vantaa )",3443,2.3,30.4,418,311,1314,393,708,619,357,1839,299,1658,1772,13
"01530 Veromiehenkylä   (Vantaa )",254,1.8,28.9,53,34,39,14,29,9,7,202,13,1,251,2
"01600 Myyrmäki   (Vantaa )",9129,1.8,34.3,1203,480,1583,465,850,696,540,4692,2878,4777,4214,138
"01610 Kaivoksela   (Vantaa )",2786,1.8,34.0,441,173,508,189,301,187,141,1686,600,1456,1263,67
"01620 Martinlaakso   (Vantaa )",5880,2.0,34.8,597,262,1289,344,668,575,457,2808,1804,3433,2357,90
"01630 Hämeenkylä   (Vantaa )",855,2.5,36.9,23,36,300,65,139,135,110,352,208,679,169,7
"01640 Hämevaara   (Vantaa )",1512,2.2,37.7,101,88,393,107,210,170,139,788,338,896,601,15
"01650 Vapaala   (Vantaa )",1883,2.1,39.4,192,54,426,106,203,198,164,927,539,1432,416,35
"01660 Varisto   (Vantaa )",1058,2.2,37.4,57,39,281,63,125,125,110,493,290,585,468,5
"01670 Vantaanlaakso   (Vantaa )",1190,2.3,37.7,46,59,357,102,177,142,124,504,333,982,199,9
"01680 Askisto   (Vantaa )",788,2.7,38.6,15,13,302,58,129,143,127,314,178,552,228,8
"01690 Ylästö   (Vantaa )",1576,3.0,36.2,14,30,810,148,347,418,323,510,269,1302,268,6
"01700 Kivistö   (Vantaa )",2833,2.2,35.0,557,344,839,270,502,370,221,1685,314,1341,1469,23
"01710 Pähkinärinne   (Vantaa )",2764,1.8,34.3,347,129,536,167,294,227,164,1511,722,1567,1166,31
"01720 Petikko   (Vantaa )",33,1.9,33.1,6,1,6,1,1,1,3,20,7,17,15,1
"01730 Vantaanpuisto   (Vantaa )",1059,2.3,39.0,79,66,292,71,150,140,111,469,304,912,126,21
"01740 Tuupakan teollisuusalue   (Vantaa )",86,2.3,50.9,4,0,19,1,5,12,9,36,32,69,13,4
"01750 Keimola   (Vantaa )",311,2.7,44.1,2,9,112,19,38,60,52,127,74,295,11,5
"01760 Seutula   (Vantaa )",845,2.5,39.7,21,14,245,53,111,114,109,372,233,710,117,18
"01770 Martinlaakson teollisuusalue   (Vantaa )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"01800 Klaukkala Keskus   (Nurmijärvi )",3675,2.2,39.7,325,126,1032,269,511,490,375,1657,1002,2542,1063,70
"01810 Luhtajoki   (Nurmijärvi )",250,2.8,44.5,7,2,88,16,36,48,47,94,69,235,10,5
"01820 Haikala   (Nurmijärvi )",1290,2.7,38.5,29,35,557,127,249,257,242,477,263,1084,197,9
"01830 Lepsämä   (Nurmijärvi )",870,2.9,42.9,8,13,376,98,171,173,170,279,224,838,17,15
"01840 Klaukkala   (Nurmijärvi )",1519,2.7,40.0,34,36,684,136,285,356,292,575,265,1248,257,14
"01860 Perttula   (Nurmijärvi )",795,2.7,46.8,14,13,257,64,123,138,113,316,225,735,36,24
"01900 Nurmijärvi Keskus   (Nurmijärvi )",4043,2.2,41.2,276,134,1097,257,480,512,482,1709,1251,2797,1168,78
"01940 Palojoki   (Nurmijärvi )",290,2.6,44.8,5,3,104,14,28,53,58,94,97,274,9,7
"02100 Tapiola   (Espoo )",2734,1.7,37.8,387,232,380,100,196,164,115,1413,952,1451,1210,73
"02110 Otsolahti   (Espoo )",1498,1.9,35.3,254,137,273,85,160,95,76,837,396,878,577,43
"02120 Länsikorkee-Suvikumpu   (Espoo )",1581,1.8,36.6,293,108,257,84,146,113,63,872,458,949,587,45
"02130 Pohjois-Tapiola   (Espoo )",2656,2.3,38.8,183,125,793,206,422,356,276,1097,778,1903,695,58
"02140 Laajalahti   (Espoo )",1419,2.6,36.7,57,35,549,137,283,268,187,537,337,998,374,47
"02150 Otaniemi   (Espoo )",1880,1.9,23.8,693,298,80,37,57,23,13,1740,62,134,1729,17
"02160 Westend   (Espoo )",1244,2.5,50.7,47,25,414,75,170,198,178,437,407,1044,149,51
"02170 Haukilahti   (Espoo )",2664,2.1,42.1,203,85,682,152,290,294,297,1071,927,1824,774,66
"02180 Mankkaa   (Espoo )",2476,2.7,37.8,40,53,1066,251,517,509,409,846,573,2031,399,46
"02200 Niittykumpu   (Espoo )",3687,2.1,37.8,398,273,899,274,497,365,264,1836,967,2446,1147,94
"02210 Olari   (Espoo )",5398,2.0,37.3,560,255,1211,313,607,538,418,2610,1601,3608,1677,113
"02230 Matinkylä   (Espoo )",10468,2.0,34.9,1282,871,2358,684,1259,985,772,5663,2491,4724,5535,209
"02240 Friisilä   (Espoo )",811,2.6,45.9,26,28,287,51,108,153,118,299,231,722,67,22
"02250 Henttaa   (Espoo )",1763,2.2,31.9,268,203,572,194,379,218,124,1018,176,297,1457,9
"02260 Kaitaa   (Espoo )",1580,2.4,36.8,88,47,497,108,225,239,204,722,365,1033,525,22
"02270 Finnoo-Eestinmalmi   (Espoo )",829,2.7,38.1,15,24,325,64,134,159,139,308,206,625,183,21
"02280 Malminmäki-Eestinlaakso   (Espoo )",1788,2.5,33.5,80,63,710,214,369,286,255,828,255,881,894,13
"02290 Puolarmetsän sairaala   (Espoo )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"02300 Nöykkiönpuro   (Espoo )",863,2.9,44.0,5,18,383,65,151,191,177,294,190,783,68,12
"02320 Espoonlahti   (Espoo )",8150,2.0,36.2,693,329,1776,480,899,760,631,3849,2555,4676,3320,154
"02330 Saunalahti-Kattilalaakso   (Espoo )",3605,2.5,38.9,330,147,1383,307,719,702,467,1613,630,2172,1388,45
"02340 Latokaski   (Espoo )",1799,2.8,32.8,15,67,829,245,448,375,274,638,343,1457,324,18
"02360 Soukka   (Espoo )",4475,2.2,39.2,304,142,1154,290,546,522,443,1937,1402,3003,1382,90
"02380 Suvisaaristo   (Espoo )",245,2.6,66.1,2,1,85,9,29,37,52,66,105,210,13,22
"02390 Sarvvik   (Kirkkonummi )",218,1.9,45.9,26,21,37,15,25,10,10,153,28,92,122,4
"02400 Kirkkonummi Keskus   (Kirkkonummi )",5501,2.2,40.4,347,178,1543,304,647,749,682,2360,1628,3430,1977,94
"02410 Gesterby   (Kirkkonummi )",1206,1.7,38.4,164,28,195,62,100,73,76,678,333,621,554,31
"02420 Jorvas   (Kirkkonummi )",682,2.7,52.3,6,7,243,35,84,139,116,245,205,619,43,20
"02430 Masala   (Kirkkonummi )",1862,2.3,34.2,124,69,653,175,348,296,217,854,365,993,847,22
"02440 Luoma   (Kirkkonummi )",243,2.6,56.4,4,2,79,17,29,42,32,85,84,226,11,6
"02450 Sundsberg   (Kirkkonummi )",618,3.1,35.5,13,28,402,121,233,219,88,178,40,544,69,5
"02460 Kantvik   (Kirkkonummi )",782,2.2,43.5,62,22,216,49,91,104,97,412,157,566,200,16
"02470 Upinniemi   (Kirkkonummi )",194,1.6,39.9,28,14,21,4,5,12,10,147,27,2,190,2
"02480 Porkkala   (Kirkkonummi )",1672,2.7,45.2,72,50,649,142,315,307,257,655,383,1377,234,61
"02490 Pikkala   (Siuntio )",164,1.9,44.4,17,11,28,7,18,9,7,102,35,114,43,7
"02510 Oitmäki   (Kirkkonummi )",206,2.5,46.3,6,6,55,12,28,23,25,91,63,157,33,16
"02520 Lapinkylä   (Kirkkonummi )",314,2.5,49.7,2,5,88,14,42,47,35,114,117,294,15,5
"02540 Kylmälä   (Kirkkonummi )",255,2.5,50.2,5,2,75,10,31,42,28,111,70,240,10,5
