"Postal code area","Workplaces, 2016 (TP)","Primary production, 2016 (TP)","Processing, 2016 (TP)","Services, 2016 (TP)","A Agriculture, forestry and fishing, 2016 (TP)","B Mining and quarrying, 2016 (TP)","C Manufacturing, 2016 (TP)","D Electricity, gas, steam and air conditioning supply, 2016 (TP)","E Water supply; sewerage, waste management and remediation activities, 2016 (TP)","F Construction, 2016 (TP)","G Wholesale and retail trade; repair of motor vehicles and motorcycles, 2016 (TP)","H Transportation and storage, 2016 (TP)","I Accommodation and food service activities, 2016 (TP)","J Information and communication, 2016 (TP)","K Financial and insurance activities, 2016 (TP)","L Real estate activities, 2016 (TP)","M Professional, scientific and technical activities, 2016 (TP)","N Administrative and support service activities, 2016 (TP)","O Public administration and defence; compulsory social security, 2016 (TP)","P Education, 2016 (TP)","Q Human health and social work activities, 2016 (TP)","R Arts, entertainment and recreation, 2016 (TP)","S Other service activities, 2016 (TP)","T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use, 2016 (TP)","U Activities of extraterritorial organisations and bodies, 2016 (TP)","X Industry unknown, 2016 (TP)"
"21500 Piikkiö   (Kaarina )",1353,83,470,799,83,0,259,1,2,208,98,89,28,2,16,3,90,66,0,217,166,6,18,0,0,1
"21510 Hevonpää   (Paimio )",109,14,57,38,14,3,49,0,0,5,4,14,12,0,0,0,1,2,0,0,1,3,1,0,0,0
"21520 Naskarla   (Paimio )",245,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0
"21530 Paimio Keskus   (Paimio )",2238,112,663,1463,112,0,389,7,5,262,232,147,29,10,36,13,118,71,51,151,495,18,92,0,0,0
"21540 Preitilä   (Paimio )",253,14,29,210,14,0,2,0,0,27,6,1,5,3,0,2,5,0,0,20,161,2,5,0,0,0
"21555 Taatila   (Paimio )",50,11,5,34,11,0,0,0,0,5,1,3,0,0,1,0,1,0,0,28,0,0,0,0,0,0
"21560 Ollila   (Marttila )",89,31,20,38,31,0,9,0,0,11,21,1,0,0,7,0,6,1,0,0,1,0,1,0,0,0
"21570 Sauvo Keskus   (Sauvo )",588,98,116,374,98,0,59,0,0,57,33,57,8,5,6,6,34,35,16,38,101,13,22,0,0,0
"21590 Karuna   (Sauvo )",50,15,12,23,15,0,2,0,0,10,6,7,4,0,0,0,1,0,0,1,2,0,2,0,0,0
"21600 Parainen Keskus   (Parainen )",3473,66,1196,2211,66,54,885,0,33,224,278,141,115,61,38,21,162,89,119,301,711,53,122,0,0,0
"21610 Kirjala   (Parainen )",413,12,74,327,12,0,10,0,0,64,8,4,11,0,0,1,3,0,0,47,247,2,4,0,0,0
"21620 Kuusisto   (Kaarina )",236,7,55,174,7,0,13,0,0,42,18,31,18,6,0,3,24,20,0,18,28,4,4,0,0,0
"21630 Lielahti   (Parainen )",54,9,19,26,9,0,6,3,0,10,8,4,3,1,0,0,7,1,0,0,1,0,1,0,0,0
"21650 Lillandet   (Parainen )",79,47,10,22,47,0,8,0,0,2,6,4,1,0,0,0,1,7,0,0,0,0,3,0,0,0
"21660 Nauvo Keskus   (Parainen )",267,10,42,215,10,0,21,0,1,20,24,29,30,2,12,2,16,14,22,17,43,1,3,0,0,0
"21670 Mattnäs-Nötö   (Parainen )",25,16,7,2,16,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"21680 Nötö   (Parainen )",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21710 Korppoo Keskus-Utö   (Parainen )",149,31,18,100,31,2,8,0,1,7,13,2,16,2,6,0,14,8,6,19,12,0,2,0,0,0
"21720 Korpoström   (Parainen )",1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"21740 Utö   (Parainen )",22,2,1,19,2,0,0,0,0,1,2,10,0,0,0,0,1,3,0,3,0,0,0,0,0,0
"21750 Norrskata   (Parainen )",9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"21760 Houtskär Keskus   (Parainen )",92,12,5,75,12,0,0,0,0,5,9,35,9,0,4,2,4,2,3,4,0,1,2,0,0,0
"21770 Mossala   (Parainen )",17,13,0,4,13,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"21800 Kyrö   (Pöytyä )",760,81,441,238,81,0,307,0,0,134,42,23,6,8,9,2,14,15,11,63,29,1,15,0,0,0
"21820 Kumila   (Pöytyä )",43,22,10,11,22,0,9,0,0,1,2,3,0,0,0,1,0,0,0,2,0,0,3,0,0,0
"21840 Karinainen   (Pöytyä )",100,18,57,25,18,0,19,0,0,38,3,5,2,0,0,0,0,6,0,8,0,0,1,0,0,0
"21860 Auvainen   (Pöytyä )",57,17,14,26,17,0,1,0,0,13,1,0,1,0,0,0,0,2,0,9,7,6,0,0,0,0
"21870 Riihikoski   (Pöytyä )",820,44,145,631,44,0,93,0,0,52,40,35,38,1,16,2,12,33,54,4,374,10,12,0,0,0
"21880 Pöytyä   (Pöytyä )",97,40,7,50,40,0,2,0,0,5,4,16,0,0,0,0,1,9,0,3,1,2,14,0,0,0
"21890 Haveri   (Pöytyä )",32,28,3,1,28,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"21900 Yläne Keskus   (Pöytyä )",309,49,87,173,49,0,70,1,0,16,34,16,8,3,6,1,22,1,4,34,20,12,12,0,0,0
"21930 Uusikartano   (Pöytyä )",71,43,13,15,43,0,5,0,0,8,2,7,0,0,0,2,1,0,1,0,0,0,2,0,0,0
"22100 Maarianhamina   (Maarianhamina - Mariehamn )",9099,14,871,8214,14,0,382,58,55,376,661,2139,441,469,511,91,299,251,662,490,1775,113,312,0,0,0
"22120 Möckelö   (Jomala )",493,0,73,420,0,0,6,0,0,67,95,290,0,0,0,0,5,0,0,0,30,0,0,0,0,0
"22130 Gottby   (Jomala )",106,25,50,31,25,0,6,0,9,35,10,2,4,0,0,0,3,10,0,0,1,0,1,0,0,0
"22140 Önningby   (Jomala )",95,3,57,35,3,0,23,0,0,34,6,2,7,0,0,1,8,5,0,0,2,1,3,0,0,0
"22150 Jomala Centrum   (Jomala )",628,40,186,402,40,0,71,40,9,66,74,17,6,52,0,0,5,17,0,0,1,211,19,0,0,0
"22160 Järsö   (Lemland )",15,0,5,10,0,0,1,0,0,4,4,0,1,0,0,0,2,0,0,0,1,0,2,0,0,0
"22220 Emkarby   (Finström )",22,6,8,8,6,0,1,0,0,7,0,2,1,0,0,0,1,0,0,3,0,1,0,0,0,0
"22240 Hammarland   (Hammarland )",132,41,29,62,41,6,2,1,0,20,22,6,3,0,1,3,0,4,0,3,9,1,10,0,0,0
"22270 Storby   (Eckerö )",121,20,30,71,20,0,2,0,0,28,5,25,16,3,0,0,4,2,1,1,3,7,4,0,0,0
"22310 Pålsböle   (Finström )",57,26,15,16,26,0,2,0,0,13,0,1,4,0,0,0,0,0,0,0,0,0,11,0,0,0
"22320 Ödkarby   (Saltvik )",94,18,46,30,18,2,33,0,3,8,3,0,18,1,0,0,0,2,0,0,2,2,2,0,0,0
"22330 Tjudö   (Finström )",32,24,5,3,24,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"22340 Geta   (Geta )",60,18,20,22,18,0,2,0,0,18,4,2,15,0,0,0,0,1,0,0,0,0,0,0,0,0
"22410 Godby   (Finström )",307,24,178,105,24,0,140,0,0,38,26,4,0,1,1,11,21,10,0,0,27,0,4,0,0,0
"22430 Saltvik   (Saltvik )",44,12,13,19,12,0,0,0,0,13,5,1,0,1,0,0,0,3,0,0,0,4,5,0,0,0
"22520 Tosarby   (Sund )",57,11,15,31,11,0,9,0,1,5,1,1,26,0,0,0,1,1,0,0,1,0,0,0,0,0
"22530 Sund   (Sund )",27,5,15,7,5,0,0,0,1,14,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"22550 Vårdö   (Vårdö )",55,40,12,3,40,0,0,0,0,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"22610 Lemland   (Lemland )",123,9,41,73,9,0,2,0,0,39,12,4,4,0,1,0,4,1,0,0,19,0,28,0,0,0
"22630 Lumparland   (Lumparland )",37,13,3,21,13,0,1,0,0,2,5,11,0,0,0,0,1,0,3,0,1,0,0,0,0,0
"22710 Ålands Degerby   (Föglö )",103,15,16,72,15,0,6,0,0,10,52,9,0,0,2,0,1,0,0,0,0,0,8,0,0,0
"22720 Sottunga   (Sottunga )",5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"22730 Kökar   (Kökar )",29,3,11,15,3,0,0,0,0,11,1,8,4,0,0,0,0,0,0,0,0,0,2,0,0,0
"22810 Seglinge   (Kumlinge )",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22820 Kumlinge   (Kumlinge )",22,4,1,17,4,0,0,0,0,1,6,5,0,0,0,0,0,4,0,0,0,0,2,0,0,0
"22830 Enklinge   (Kumlinge )",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22840 Lappo   (Brändö )",8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"22910 Torsholma   (Brändö )",4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"22920 Brändö-Åland   (Brändö )",22,0,3,19,0,0,0,0,0,3,6,2,5,0,2,0,0,0,0,0,0,0,4,0,0,0
"22930 Fiskö   (Brändö )",2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"22940 Åva   (Brändö )",2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"22950 Jurmo   (Brändö )",1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"23100 Mynämäki Keskus   (Mynämäki )",1556,222,409,925,222,3,242,1,4,159,183,75,35,3,36,10,33,46,33,119,284,15,53,0,0,0
"23120 Mietoinen Keskus   (Mynämäki )",127,23,39,65,23,0,32,0,0,7,6,5,0,0,0,0,16,3,0,25,8,0,2,0,0,0
"23140 Hietamäki   (Mynämäki )",86,18,18,50,18,0,3,0,0,15,17,16,0,0,0,0,2,2,0,5,7,0,1,0,0,0
"23200 Vinkkilä   (Vehmaa )",475,68,113,294,68,2,68,1,6,36,41,24,9,6,9,1,10,19,30,17,122,4,2,0,0,0
"23210 Vehmaa   (Vehmaa )",182,48,33,101,48,2,2,0,1,28,0,37,0,0,0,0,1,0,0,10,40,0,13,0,0,0
"23260 Rautila   (Vehmaa )",35,11,20,4,11,0,1,0,0,19,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"23310 Taivassalo   (Taivassalo )",432,76,117,239,76,1,69,0,0,47,41,45,13,0,9,3,18,6,7,25,59,2,11,0,0,0
"23360 Kustavi   (Kustavi )",231,39,61,131,39,0,27,0,1,33,19,9,13,0,1,1,6,7,20,7,35,7,6,0,0,0
"23390 Iniö   (Parainen )",41,6,3,32,6,0,3,0,0,0,5,4,2,0,0,0,0,1,0,6,13,1,0,0,0,0
"23450 Lokalahti   (Uusikaupunki )",153,30,54,69,30,1,3,0,0,50,12,4,5,2,4,0,0,5,2,9,23,0,3,0,0,0
"23500 Uusikaupunki Keskus   (Uusikaupunki )",5610,50,2560,3000,50,4,2152,10,30,364,377,286,153,181,66,32,157,167,155,205,1078,63,80,0,0,0
"23600 Kalanti Keskus   (Uusikaupunki )",645,85,344,216,85,0,302,0,0,42,50,9,2,0,4,0,20,8,0,34,84,0,5,0,0,0
"23660 Kalanti Asemanseutu   (Uusikaupunki )",97,39,51,7,39,3,3,0,0,45,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"23800 Laitila Keskus   (Laitila )",3295,246,1452,1596,246,8,1166,29,21,228,270,101,59,31,34,33,101,41,64,237,528,16,81,0,0,1
"23840 Soukainen   (Laitila )",63,18,31,14,18,0,20,0,0,11,0,8,0,0,0,0,0,0,0,5,0,0,1,0,0,0
"23880 Suontaka   (Laitila )",14,5,2,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"23930 Pyhämaa   (Uusikaupunki )",87,21,47,19,21,0,38,0,0,9,2,3,2,2,0,0,0,1,0,2,1,0,6,0,0,0
"23950 Pyhäranta   (Pyhäranta )",153,7,39,107,7,0,23,0,1,15,12,7,0,0,6,0,5,1,10,11,43,1,11,0,0,0
"23960 Santtio   (Pyhäranta )",22,2,4,16,2,0,1,0,0,3,0,11,0,0,0,0,0,1,0,0,0,0,4,0,0,0
"24100 Salo Keskus   (Salo )",6666,7,1901,4758,7,23,1443,16,60,359,1259,223,217,277,306,100,256,332,420,241,724,117,286,0,0,0
"24130 Ylhäisi   (Salo )",1255,20,92,1143,20,0,4,0,0,88,32,9,14,15,0,1,16,16,10,133,885,5,7,0,0,0
"24240 Rappula   (Salo )",1712,11,225,1476,11,1,195,0,0,29,190,233,37,46,19,3,68,20,46,242,448,30,94,0,0,0
"24260 Ollikkala   (Salo )",497,16,55,426,16,0,10,0,0,45,198,14,1,54,1,1,8,21,0,24,84,4,16,0,0,0
"24280 Tupuri-Hähkänä   (Salo )",919,33,600,286,33,0,516,1,5,78,51,26,5,14,1,0,22,18,0,48,91,3,7,0,0,0
"24800 Halikko Keskus   (Salo )",1257,30,178,1049,30,0,102,0,0,76,207,14,178,2,1,9,39,185,54,99,221,10,30,0,0,0
"24910 Halikko Asemanseutu   (Salo )",477,14,215,248,14,0,158,0,0,57,48,80,1,0,4,3,26,9,0,14,58,3,2,0,0,0
"25110 Kruusila   (Salo )",32,14,7,11,14,0,3,0,0,4,2,0,4,0,1,0,1,1,0,0,0,0,2,0,0,0
"25130 Muurla   (Salo )",295,33,133,129,33,0,84,0,0,49,27,10,7,7,2,2,11,11,0,26,15,3,8,0,0,0
"25160 Tuohittu   (Salo )",21,11,1,9,11,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0,2,2,0,0,0
"25170 Kotalato   (Salo )",22,4,3,15,4,0,1,0,0,2,2,9,3,0,0,0,0,0,0,0,1,0,0,0,0,0
"25180 Romsila   (Salo )",20,7,10,3,7,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"25190 Inkere   (Salo )",228,12,64,152,12,0,36,0,0,28,7,50,0,0,5,0,1,1,0,9,69,1,9,0,0,0
"25210 Vartsala   (Salo )",19,5,5,9,5,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0
"25230 Angelniemi   (Salo )",35,15,8,12,15,0,2,0,0,6,0,1,0,0,0,0,3,0,0,4,0,0,4,0,0,0
"25240 Hajala   (Salo )",118,34,25,59,34,0,2,0,0,23,1,3,0,0,0,0,2,7,0,5,40,1,0,0,0,0
"25250 Märynummi   (Salo )",112,5,18,89,5,0,1,0,0,17,8,13,1,1,0,0,1,0,0,8,53,0,4,0,0,0
"25260 Vaskio   (Salo )",117,44,27,46,44,0,14,0,0,13,9,23,0,0,1,0,3,1,0,5,0,2,2,0,0,0
"25320 Raatala   (Salo )",77,43,26,8,43,0,13,1,0,12,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"25330 Kuusjoki Keskus   (Salo )",157,19,20,118,19,0,5,0,0,15,49,4,3,0,2,0,3,8,0,10,31,2,6,0,0,0
"25340 Kanunki   (Salo )",201,22,135,44,22,0,128,0,0,7,2,14,2,0,2,0,1,0,0,1,20,0,2,0,0,0
"25360 Pertteli Keskus   (Salo )",120,16,25,79,16,0,5,0,0,20,17,6,2,4,0,2,5,8,0,10,12,2,11,0,0,0
"25370 Hiisi   (Salo )",85,45,21,19,45,0,10,0,0,11,5,4,0,0,0,0,3,2,0,4,0,0,1,0,0,0
"25380 Rekijoki   (Salo )",58,33,12,13,33,0,5,0,0,7,4,5,0,0,1,0,1,0,0,0,2,0,0,0,0,0
"25390 Kiikala Keskus   (Salo )",230,38,119,73,38,6,82,0,0,31,11,24,2,0,3,0,2,2,0,5,14,1,9,0,0,0
"25410 Suomusjärvi Keskus   (Salo )",245,29,23,193,29,0,13,0,0,10,32,9,31,0,1,0,2,7,0,7,93,1,10,0,0,0
"25420 Lahnajärvi   (Salo )",17,1,3,13,1,0,1,0,0,2,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0
"25430 Kettula   (Salo )",7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"25460 Toija   (Salo )",213,42,62,109,42,0,41,1,0,20,21,19,3,2,3,0,4,4,0,9,41,3,0,0,0,0
"25470 Kisko kk   (Salo )",50,5,8,37,5,0,3,0,0,5,1,3,0,0,1,0,2,0,0,0,25,0,5,0,0,0
"25500 Perniö Keskus   (Salo )",1053,98,322,633,98,6,202,2,10,102,104,46,17,5,12,6,20,18,6,65,283,9,42,0,0,0
"25520 Perniö Asemanseutu   (Salo )",155,42,80,33,42,0,63,0,0,17,7,11,0,1,0,0,1,4,0,5,4,0,0,0,0,0
"25540 Knaapila   (Salo )",15,11,0,4,11,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"25550 Aijala   (Salo )",13,1,1,11,1,0,0,0,0,1,2,4,0,0,0,0,1,2,0,0,2,0,0,0,0,0
"25560 Koski Asemanseutu   (Salo )",7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"25570 Teijo-Mathildedal   (Salo )",134,11,89,34,11,0,82,0,0,7,7,2,1,5,0,1,1,0,0,5,4,8,0,0,0,0
"25610 Ylönkylä   (Salo )",130,38,45,47,38,0,13,0,2,30,8,3,1,0,0,1,0,0,0,0,34,0,0,0,0,0
"25630 Finby   (Salo )",47,7,12,28,7,0,4,0,0,8,3,2,2,0,0,0,2,7,0,4,4,1,3,0,0,0
"25640 Förby   (Salo )",70,8,53,9,8,5,42,0,0,6,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"25650 Strömma   (Kemiönsaari )",22,8,1,13,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0
"25660 Mathildedal   (Salo )",36,0,9,27,0,0,9,0,0,0,0,0,14,1,0,0,2,9,0,0,0,0,1,0,0,0
"25700 Kemiö Keskus   (Kemiönsaari )",670,53,88,529,53,28,15,0,0,45,105,29,48,28,17,10,21,42,13,111,85,6,14,0,0,0
"25710 Vreta-Vestlax   (Kemiönsaari )",69,5,10,54,5,0,2,0,0,8,1,17,1,0,0,0,1,2,0,0,23,7,2,0,0,0
"25730 Mjösund   (Kemiönsaari )",59,9,48,2,9,0,44,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"25760 Kiila   (Kemiönsaari )",11,8,2,1,8,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25810 Mark   (Kemiönsaari )",10,4,4,2,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"25820 Vestlax   (Kemiönsaari )",13,2,9,2,2,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"25830 Västanfjärd Keskus   (Kemiönsaari )",70,7,21,42,7,0,0,0,0,21,10,4,1,0,1,0,5,2,1,1,14,0,3,0,0,0
"25840 Nivelax   (Kemiönsaari )",72,11,16,45,11,0,4,0,0,12,16,7,2,1,0,0,0,0,0,15,3,0,1,0,0,0
"25860 Björkboda   (Kemiönsaari )",138,9,67,62,9,0,62,0,0,5,3,1,1,0,0,0,5,2,50,0,0,0,0,0,0,0
"25870 Dragsfjärd   (Kemiönsaari )",175,28,37,110,28,0,6,0,0,31,24,13,5,1,1,1,6,1,0,0,28,1,29,0,0,0
"25900 Taalintehdas   (Kemiönsaari )",596,3,95,498,3,0,49,0,0,46,37,24,8,0,5,34,19,21,73,38,209,26,4,0,0,0
"25910 Vänoxa   (Kemiönsaari )",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25930 Kasnäs   (Kemiönsaari )",118,2,54,62,2,0,53,0,0,1,7,1,50,0,0,0,0,1,0,0,0,3,0,0,0,0
"25940 Hiittinen   (Kemiönsaari )",16,0,1,15,0,0,0,0,0,1,2,1,0,0,0,0,0,0,7,0,5,0,0,0,0,0
"25950 Rosala-Kasnäs-Hitis   (Kemiönsaari )",42,1,13,28,1,0,10,0,0,3,13,4,5,0,0,0,0,0,0,6,0,0,0,0,0,0
"25960 Högsåra   (Kemiönsaari )",4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"26100 Rauma Keskus   (Rauma )",11575,11,2947,8616,11,0,2368,39,17,523,1632,903,549,262,175,122,591,722,530,704,1858,281,287,0,0,1
"26200 Merirauma-Kappelinluhta   (Rauma )",201,6,30,165,6,0,9,0,0,21,14,19,16,1,5,1,10,9,0,15,65,2,8,0,0,0
"26410 Kaaro   (Rauma )",143,11,83,49,11,0,52,0,6,25,6,13,0,1,0,0,2,4,0,19,1,0,3,0,0,0
"26510 Uotila   (Rauma )",531,3,270,258,3,0,207,0,3,60,32,62,3,0,1,0,35,12,0,64,26,6,17,0,0,0
"26560 Kolla   (Rauma )",102,7,41,54,7,0,12,0,0,29,10,16,9,0,0,0,3,3,0,0,8,0,5,0,0,0
"26660 Paroalho   (Rauma )",364,0,100,264,0,0,12,0,21,67,74,26,6,5,0,0,12,5,0,20,103,3,10,0,0,0
"26720 Monnanummi   (Rauma )",55,0,4,51,0,0,3,0,0,1,0,5,0,0,0,0,1,2,0,0,38,0,5,0,0,0
"26740 Vasarainen   (Rauma )",40,5,6,29,5,0,5,0,0,1,4,12,0,1,0,2,1,1,0,5,1,1,1,0,0,0
"26820 Sampaanala   (Rauma )",753,0,543,210,0,0,397,0,5,141,77,36,7,2,0,0,17,37,0,1,31,1,1,0,0,0
"26840 Kortela   (Rauma )",50,2,10,38,2,0,4,0,0,6,10,8,0,1,0,0,2,0,0,8,7,1,1,0,0,0
"26910 Unaja   (Rauma )",66,2,21,43,2,0,7,0,0,14,13,7,0,0,0,0,3,5,0,11,3,0,1,0,0,0
"26930 Vermuntila   (Rauma )",21,6,3,12,6,0,0,0,0,3,4,2,0,0,0,0,3,1,0,0,1,1,0,0,0,0
"26950 Voiluoto   (Rauma )",49,17,25,7,17,0,0,0,0,25,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"27100 Eurajoki Keskus   (Eurajoki )",994,49,205,740,49,15,78,0,0,112,118,21,52,11,42,7,61,20,56,101,191,11,49,0,0,0
"27110 Irjanne   (Eurajoki )",46,12,8,26,12,0,6,0,0,2,3,4,1,0,0,0,1,5,0,8,0,1,3,0,0,0
"27130 Eurajoki asemanseutu   (Eurajoki )",68,20,29,19,20,19,8,0,0,2,0,4,0,0,0,0,1,0,0,4,10,0,0,0,0,0
"27150 Lapijoki   (Eurajoki )",189,11,121,57,11,0,43,0,0,78,1,14,0,0,0,0,2,1,0,13,25,0,1,0,0,0
"27160 Olkiluoto   (Eurajoki )",1047,0,870,177,0,12,8,722,79,49,2,0,10,0,0,0,6,157,0,0,2,0,0,0,0,0
"27170 Kuivalahti   (Eurajoki )",22,6,9,7,6,0,6,0,0,3,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
"27220 Ala-Kieri   (Rauma )",35,14,17,4,14,0,5,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"27230 Lappi   (Rauma )",565,25,342,198,25,0,305,0,1,36,31,38,7,0,9,0,2,2,0,18,85,0,6,0,0,0
"27250 Kodiksami   (Rauma )",19,9,6,4,9,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"27260 Kuolimaa   (Rauma )",15,14,0,1,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"27310 Kodisjoki   (Rauma )",35,13,4,18,13,0,1,0,0,3,5,2,0,1,0,0,1,2,0,3,1,1,2,0,0,0
"27320 Ihode   (Pyhäranta )",236,5,196,35,5,0,172,0,0,24,15,2,0,0,2,0,1,1,0,9,3,2,0,0,0,0
"27340 Reila   (Pyhäranta )",16,4,3,9,4,0,2,0,0,1,1,1,0,0,0,0,1,0,0,5,1,0,0,0,0,0
"27400 Kiukainen Keskus   (Eura )",390,104,116,170,104,0,13,1,14,88,17,9,1,0,15,1,11,2,6,26,71,3,8,0,0,0
"27420 Panelia Asemanseutu   (Eura )",47,22,13,12,22,0,10,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27430 Panelia   (Eura )",385,46,264,75,46,0,204,41,0,19,20,12,5,0,4,4,3,6,0,11,5,0,5,0,0,0
"27450 Harola   (Eura )",17,7,3,7,7,0,1,0,0,2,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"27500 Kauttua   (Eura )",1042,1,710,331,1,0,617,22,9,62,63,56,42,5,8,4,18,12,5,27,35,20,36,0,0,0
"27510 Eura Keskus   (Eura )",2754,83,1306,1365,83,3,1165,0,25,113,240,128,50,8,17,19,48,164,94,107,429,9,52,0,0,0
"27600 Hinnerjoki   (Eura )",178,33,52,93,33,0,48,0,0,4,17,59,3,0,4,0,0,0,0,5,0,1,4,0,0,0
"27640 Honkilahti kk   (Eura )",91,17,60,14,17,0,17,0,0,43,4,6,0,0,0,0,0,0,0,0,1,0,3,0,0,0
"27650 Honkilahti   (Eura )",93,15,2,76,15,0,0,0,0,2,4,5,11,0,4,0,1,0,0,10,41,0,0,0,0,0
"27670 Mannila   (Eura )",23,13,0,10,13,0,0,0,0,0,1,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"27710 Köyliö Keskus   (Säkylä )",282,43,140,99,43,0,106,0,0,34,13,8,2,0,7,0,11,3,3,10,38,0,4,0,0,0
"27730 Tuiskula   (Säkylä )",42,27,11,4,27,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
"27740 Voitoinen   (Säkylä )",29,12,12,5,12,0,1,0,0,11,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"27750 Yttilä   (Säkylä )",58,5,4,49,5,0,0,0,0,4,0,0,0,0,0,0,1,0,47,0,1,0,0,0,0,0
"27800 Säkylä Keskus   (Säkylä )",1170,44,366,760,44,7,259,19,0,81,102,78,43,8,12,3,47,36,65,74,239,15,38,0,0,0
"27820 Iso-Vimma   (Säkylä )",512,0,407,105,0,0,385,0,0,22,0,51,5,2,0,0,7,3,0,0,34,0,3,0,0,0
"27840 Kakkuri   (Säkylä )",73,11,12,50,11,0,1,0,0,11,0,19,0,0,0,1,1,1,0,8,18,0,2,0,0,0
"27860 Vuori   (Säkylä )",773,39,13,721,39,0,1,0,0,12,0,6,29,0,0,1,0,2,676,0,0,0,7,0,0,0
"27910 Huovinrinne   (Säkylä )",71,1,21,49,1,0,21,0,0,0,0,0,17,0,0,26,0,0,0,1,0,0,5,0,0,0
"27920 Otajoki   (Säkylä )",32,11,10,11,11,0,1,0,0,9,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"28100 Pori Keskus   (Pori )",10946,37,1555,9354,37,0,977,218,11,349,1367,292,657,760,377,244,781,667,1287,622,1448,360,405,87,0,0
"28120 Käppärä-Isomäki   (Pori )",1408,1,125,1282,1,0,46,0,27,52,164,19,54,1,1,2,41,3,24,22,915,14,22,0,0,0
"28130 Impola   (Pori )",3203,24,752,2427,24,0,434,4,30,284,918,187,107,66,3,22,92,252,21,326,213,75,145,0,0,0
