"Postal code area","Households, total, 2015 (TR)","Average income of households, 2015 (TR)","Median income of households, 2015 (TR)","Households belonging to the lowest income category, 2015 (TR)","Households belonging to the middle income category, 2015 (TR)","Households belonging to the highest income category, 2015 (TR)","Accumulated purchasing power of households, 2015 (TR)"
"02760 Tuomarila-Suvela   (Espoo )",6456,42443,36293,1187,3745,1524,274013887
"02770 Espoon Keskus   (Espoo )",4778,41394,32834,1111,2603,1064,197780112
"02780 Kauklahti   (Espoo )",3614,55034,45003,541,1880,1193,198892448
"02810 Gumböle-Karhusuo   (Espoo )",567,63236,57930,42,284,241,35855001
"02820 Nupuri-Nuuksio   (Espoo )",546,64376,53116,50,261,235,35149283
"02860 Siikajärvi   (Espoo )",269,53848,48198,28,147,94,14485127
"02880 Veikkola   (Kirkkonummi )",2152,60013,52575,220,1117,815,129147254
"02920 Niipperi   (Espoo )",1800,60832,55604,174,935,691,109497967
"02940 Lippajärvi-Järvenperä   (Espoo )",4129,54732,48152,527,2082,1520,225988581
"02970 Kalajärvi   (Espoo )",1381,57113,52873,149,710,522,78873174
"02980 Lakisto   (Espoo )",188,39999,29815,32,123,33,7519743
"03100 Nummela   (Vihti )",6959,42782,36205,1326,4008,1625,297717787
"03150 Huhmari   (Vihti )",327,53417,49177,34,172,121,17467460
"03220 Tervalampi   (Vihti )",252,54353,49856,27,137,88,13696872
"03250 Ojakkala   (Vihti )",731,54734,49835,75,424,232,40010347
"03300 Otalampi   (Vihti )",910,51074,48699,95,550,265,46477292
"03320 Selki   (Vihti )",140,45873,41919,25,80,35,6422230
"03400 Vihti Kirkonkylä   (Vihti )",2732,44606,40740,498,1616,618,121863222
"03430 Jokikunta   (Vihti )",210,46317,43427,41,125,44,9726598
"03600 Karkkila Keskus   (Karkkila )",3192,36451,31210,775,1961,456,116351124
"03620 Polari   (Karkkila )",992,38235,32519,225,613,154,37928791
"03710 Uusitalo   (Karkkila )",81,45810,38989,13,51,17,3710573
"03790 Vihtijärvi   (Vihti )",212,52041,46493,29,123,60,11032711
"03810 Ikkala   (Lohja )",280,38479,35102,53,180,47,10773988
"03850 Pusula   (Lohja )",772,38432,31668,204,439,129,29669147
"03870 Hyönölä   (Lohja )",93,39274,34142,22,52,19,3652497
"04130 Sipoo   (Sipoo )",3090,47260,40123,464,1796,830,146033878
"04150 Martinkylä   (Sipoo )",247,55895,50923,19,144,84,13806053
"04170 Paippinen   (Sipoo )",476,53387,50558,45,281,150,25412017
"04200 Kerava Keskus   (Kerava )",6193,37737,30655,1234,3673,1286,233705530
"04220 Ahjo-Kaskela   (Kerava )",2194,45720,39262,388,1257,549,100309450
"04230 Pihkaniitty   (Kerava )",3277,46589,43424,374,1995,908,152672082
"04240 Talma   (Sipoo )",467,54725,51359,50,251,166,25556449
"04250 Alikerava   (Kerava )",2464,36637,31861,484,1567,413,90273737
"04260 Savio   (Kerava )",2932,41963,35924,516,1802,614,123035688
"04300 Hyrylä   (Tuusula )",4623,48058,39310,627,2686,1310,222172654
"04310 Tuusula Keskus   (Tuusula )",1038,64391,51367,107,493,438,66837899
"04320 Riihikallio   (Tuusula )",2183,46375,40303,289,1320,574,101236629
"04330 Lahela   (Tuusula )",811,64872,60603,45,396,370,52610897
"04340 Mattila   (Tuusula )",981,49318,43380,116,550,315,48381164
"04350 Nahkela   (Tuusula )",194,59241,53946,21,98,75,11492726
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",474,53709,47350,52,270,152,25457855
"04370 Rusutjärvi   (Tuusula )",298,58506,53621,30,158,110,17434777
"04380 Tuomala   (Tuusula )",221,59996,52603,22,118,81,13259199
"04390 Jäniksenlinna   (Tuusula )",183,53351,52199,23,95,65,9763183
"04400 Loutti   (Järvenpää )",5331,38967,31839,1007,3122,1202,207733829
"04410 Järvenpää Keskus   (Järvenpää )",4923,39155,34129,949,2972,1002,192760118
"04420 Kyrölä   (Järvenpää )",1591,50387,47077,126,951,514,80164952
"04430 Kinnari-Mikonkorpi   (Järvenpää )",3841,50349,45991,394,2205,1242,193389049
"04440 Jamppa   (Järvenpää )",2387,34721,27971,685,1339,363,82877998
"04460 Nummenkylä   (Tuusula )",775,49122,46894,104,439,232,38069204
"04480 Haarajoki   (Mäntsälä )",808,57450,55546,64,469,275,46419535
"04500 Kellokoski   (Tuusula )",2370,47091,44950,339,1405,626,111606337
"04530 Ohkola   (Mäntsälä )",342,49635,46536,43,212,87,16975132
"04600 Mäntsälä Keskus   (Mäntsälä )",4374,38798,32795,976,2632,766,169704571
"04620 Kaunismäki   (Mäntsälä )",672,55098,53089,68,384,220,37025715
"04630 Sääksjärvi   (Mäntsälä )",340,45377,39878,76,192,72,15428142
