"Postal code area","Workplaces, 2015 (TP)","Primary production, 2015 (TP)","Processing, 2015 (TP)","Services, 2015 (TP)","A Agriculture, forestry and fishing, 2015 (TP)","B Mining and quarrying, 2015 (TP)","C Manufacturing, 2015 (TP)","D Electricity, gas, steam and air conditioning supply, 2015 (TP)","E Water supply; sewerage, waste management and remediation activities, 2015 (TP)","F Construction, 2015 (TP)","G Wholesale and retail trade; repair of motor vehicles and motorcycles, 2015 (TP)","H Transportation and storage, 2015 (TP)","I Accommodation and food service activities, 2015 (TP)","J Information and communication, 2015 (TP)","K Financial and insurance activities, 2015 (TP)","L Real estate activities, 2015 (TP)","M Professional, scientific and technical activities, 2015 (TP)","N Administrative and support service activities, 2015 (TP)","O Public administration and defence; compulsory social security, 2015 (TP)","P Education, 2015 (TP)","Q Human health and social work activities, 2015 (TP)","R Arts, entertainment and recreation, 2015 (TP)","S Other service activities, 2015 (TP)","T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use, 2015 (TP)","U Activities of extraterritorial organisations and bodies, 2015 (TP)","X Industry unknown, 2015 (TP)"
"20500 Vesilinna   (Turku )",3119,4,189,2926,4,0,25,0,0,164,148,3,194,186,39,29,97,94,175,1086,451,237,187,0,0,0
"20520 Kupittaa   (Turku )",12373,3,1471,10899,3,0,910,0,18,543,616,95,179,1087,1071,21,597,699,10,567,5785,92,80,0,0,0
"20540 Nummi-Ylioppilaskylä   (Turku )",2926,43,421,2462,43,0,201,0,72,148,249,58,145,397,5,47,117,76,0,278,899,47,144,0,0,0
"20610 Varissuo   (Turku )",1180,1,103,1076,1,0,33,0,0,70,107,35,31,11,1,11,41,114,2,220,381,11,109,2,0,0
"20660 Littoinen   (Kaarina )",1302,18,646,638,18,16,548,0,0,82,66,92,24,9,1,12,38,27,0,85,239,16,29,0,0,0
"20700 Vartiovuori-Samppalinna   (Turku )",4065,1,80,3984,1,0,42,0,0,38,327,55,113,22,7,42,170,105,156,490,2286,79,132,0,0,0
"20720 Vasaramäki   (Turku )",1507,0,93,1414,0,0,72,0,0,21,65,7,51,56,15,14,38,15,178,325,571,9,70,0,0,0
"20730 Skanssi   (Turku )",836,0,216,620,0,0,97,0,0,119,539,0,34,0,0,0,0,0,0,0,0,25,22,0,0,0
"20740 Ilpoinen-Harittu   (Turku )",1267,2,373,892,2,0,196,0,0,177,183,50,23,12,3,12,153,42,0,114,256,8,36,0,0,0
"20750 Huhkola-Lauste-Vaala   (Turku )",2652,2,1096,1554,2,0,905,0,0,191,441,287,27,132,1,17,101,87,0,63,347,7,44,0,0,0
"20760 Piispanristi   (Kaarina )",1084,4,243,837,4,0,131,0,1,111,292,49,21,7,1,12,132,125,0,59,103,24,12,0,0,0
"20780 Kaarina Keskus   (Kaarina )",4216,6,1265,2945,6,0,884,0,36,345,503,103,65,27,47,67,225,303,128,275,1062,68,72,0,0,0
"20800 Ammattikorkeakoulu   (Turku )",477,0,0,477,0,0,0,0,0,0,0,0,11,2,0,19,126,0,315,0,0,0,4,0,0,0
"20810 Martti-Korppolaismäki   (Turku )",3940,5,844,3091,5,0,558,0,0,286,264,113,138,88,20,34,428,99,452,439,841,70,105,0,0,0
"20880 Uittamo   (Turku )",248,0,40,208,0,0,1,0,0,39,17,49,11,4,2,19,13,1,3,3,73,2,11,0,0,0
"20900 Moikoinen-Pikisaari   (Turku )",1273,7,164,1102,7,0,26,0,0,138,120,67,28,15,10,14,71,41,64,76,566,10,19,1,0,0
"20960 Kakskerta   (Turku )",224,6,41,177,6,0,6,0,0,35,11,15,3,3,0,2,8,14,0,40,51,13,17,0,0,0
"21100 Naantali Keskus   (Naantali )",3237,4,860,2373,4,9,539,37,28,247,312,158,315,15,33,60,103,256,179,220,566,74,82,0,0,0
"21110 Taimo-Nuhjala-Lietsala   (Naantali )",889,4,308,577,4,0,163,9,3,133,137,90,45,21,4,13,35,32,0,85,94,10,11,0,0,0
"21120 Viherjäinen   (Raisio )",186,2,84,100,2,0,23,0,1,60,18,30,2,9,0,0,6,11,0,1,4,10,9,0,0,0
"21130 Poikko   (Naantali )",94,15,32,47,15,0,10,0,0,22,3,0,0,0,0,3,6,2,0,0,17,7,9,0,0,0
"21140 Rymättylä Keskus   (Naantali )",268,38,108,122,38,0,84,0,0,24,18,3,13,0,7,0,4,4,1,17,41,1,13,0,0,0
"21150 Röölä   (Naantali )",60,16,18,26,16,0,5,0,0,13,0,0,4,0,0,0,6,1,0,12,0,3,0,0,0,0
"21160 Merimasku   (Naantali )",239,29,76,134,29,0,10,0,0,66,16,20,6,4,5,0,20,10,0,17,22,4,10,0,0,0
"21180 Livonsaari   (Naantali )",50,17,18,15,17,0,4,0,0,14,5,3,0,0,0,0,2,0,0,0,4,1,0,0,0,0
"21195 Velkua   (Naantali )",35,10,1,24,10,0,0,0,0,1,0,1,3,0,0,0,0,0,0,3,13,4,0,0,0,0
"21200 Raisio Keskus   (Raisio )",5671,6,1824,3841,6,0,1287,0,13,524,770,165,181,55,79,135,312,131,206,441,1181,76,109,0,0,0
"21210 Hakinmäki   (Raisio )",248,0,123,125,0,0,27,0,0,96,21,17,2,0,0,3,31,20,0,1,10,7,13,0,0,0
"21220 Somersoja   (Raisio )",181,0,48,133,0,0,5,0,0,43,33,9,2,0,0,0,9,5,0,0,71,0,4,0,0,0
"21230 Lemu   (Masku )",253,23,46,184,23,0,7,0,1,38,23,66,8,2,2,1,12,4,5,24,23,3,11,0,0,0
"21240 Askainen Keskus   (Masku )",116,20,6,90,20,0,3,0,0,3,3,4,4,1,0,2,12,9,0,6,44,1,4,0,0,0
"21250 Masku   (Masku )",1698,56,481,1161,56,0,162,0,14,305,157,79,46,4,46,5,60,64,21,116,446,27,90,0,0,0
"21260 Ihala   (Raisio )",274,0,122,152,0,0,26,0,0,96,36,21,23,0,2,15,7,24,0,2,8,10,4,0,0,0
"21270 Nousiainen   (Nousiainen )",917,105,145,667,105,0,44,0,0,101,101,79,3,3,24,4,50,38,34,91,202,5,33,0,0,0
"21280 Kuloinen   (Raisio )",1910,1,97,1812,1,0,44,0,0,53,1532,35,124,0,4,6,54,3,0,0,8,5,41,0,0,0
"21290 Rusko   (Rusko )",986,57,472,457,57,0,272,0,4,196,91,66,25,6,6,3,31,57,21,68,57,5,21,0,0,0
"21310 Vahto   (Rusko )",543,36,313,194,36,5,227,0,0,81,54,28,8,1,1,2,9,19,0,24,40,1,7,0,0,0
"21330 Paattinen   (Turku )",339,65,82,192,65,0,5,0,0,77,11,76,3,1,5,0,6,5,0,12,68,0,5,0,0,0
"21340 Tortinmäki   (Turku )",53,26,17,10,26,0,1,0,0,16,1,0,0,0,0,0,1,1,0,1,4,0,2,0,0,0
"21350 Ilmarinen   (Lieto )",267,11,48,208,11,0,9,0,0,39,17,40,3,4,1,0,5,45,0,43,48,2,0,0,0,0
"21360 Lieto Asemanseutu   (Lieto )",281,32,108,141,32,0,66,0,0,42,34,25,3,13,0,1,14,9,0,11,20,8,3,0,0,0
"21370 Aura kk.   (Aura )",107,18,8,81,18,0,1,0,0,7,5,0,5,0,0,0,1,0,53,4,10,0,3,0,0,0
"21380 Aura Keskus   (Aura )",911,38,342,531,38,12,224,0,0,106,101,46,68,2,12,13,46,11,24,40,137,4,27,0,0,0
"21410 Vanhalinna   (Lieto )",636,8,171,457,8,0,40,0,0,131,95,153,4,10,3,4,12,1,0,32,135,0,8,0,0,0
"21420 Lieto Keskus   (Lieto )",3346,30,989,2327,30,2,628,2,16,341,472,398,81,30,63,6,136,122,117,179,621,26,75,1,0,0
"21430 Yliskulma   (Lieto )",167,31,99,37,31,2,61,0,0,36,5,8,1,0,0,0,1,11,0,9,2,0,0,0,0,0
"21450 Tarvasjoki Keskus   (Lieto )",359,39,139,181,39,0,124,0,3,12,24,19,0,1,7,5,4,4,3,29,64,4,17,0,0,0
"21480 Prunkila   (Marttila )",64,29,24,11,29,0,15,0,0,9,4,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0
"21490 Marttila   (Marttila )",306,27,47,232,27,0,13,0,0,34,22,28,1,19,14,0,10,7,15,10,86,2,18,0,0,0
"21500 Piikkiö   (Kaarina )",1319,86,414,819,86,0,256,1,0,157,102,79,32,1,13,4,99,77,0,219,165,6,22,0,0,0
"21510 Hevonpää   (Paimio )",107,15,61,31,15,3,49,0,0,9,0,15,11,0,0,0,1,0,0,0,1,2,1,0,0,0
"21520 Naskarla   (Paimio )",341,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0
"21530 Paimio Keskus   (Paimio )",2364,138,644,1582,138,0,359,11,5,269,244,141,24,16,33,19,133,87,54,192,515,26,98,0,0,0
"21540 Preitilä   (Paimio )",289,14,52,223,14,0,2,0,0,50,6,1,5,2,0,0,4,1,0,28,170,1,5,0,0,0
"21555 Taatila   (Paimio )",53,11,5,37,11,0,0,0,0,5,1,7,0,0,0,0,1,0,0,28,0,0,0,0,0,0
"21560 Ollila   (Marttila )",92,36,21,35,36,0,11,0,0,10,19,3,0,0,6,0,4,1,0,0,1,0,1,0,0,0
"21570 Sauvo Keskus   (Sauvo )",602,108,111,383,108,0,61,0,0,50,41,71,7,3,7,6,24,33,17,39,108,7,20,0,0,0
"21590 Karuna   (Sauvo )",51,21,10,20,21,0,4,0,0,6,6,6,4,0,0,0,1,0,0,1,2,0,0,0,0,0
"21600 Parainen Keskus   (Parainen )",3518,76,1175,2267,76,52,885,0,41,197,283,166,104,60,46,19,172,94,117,297,742,47,120,0,0,0
"21610 Kirjala   (Parainen )",417,12,69,336,12,0,11,0,0,58,8,3,12,0,0,1,1,1,0,53,251,2,4,0,0,0
"21620 Kuusisto   (Kaarina )",218,8,50,160,8,0,15,0,0,35,29,16,16,5,0,4,22,16,0,18,28,3,3,0,0,0
"21630 Lielahti   (Parainen )",45,9,9,27,9,0,5,0,0,4,7,6,3,0,0,0,5,1,0,0,4,0,1,0,0,0
"21650 Lillandet   (Parainen )",74,45,10,19,45,0,5,0,0,5,6,2,5,0,0,0,1,4,0,0,0,0,1,0,0,0
"21660 Nauvo Keskus   (Parainen )",274,12,47,215,12,0,25,0,1,21,24,27,20,2,12,1,18,24,22,20,42,1,2,0,0,0
"21670 Mattnäs-Nötö   (Parainen )",28,19,6,3,19,0,1,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"21680 Nötö   (Parainen )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"21710 Korppoo Keskus-Utö   (Parainen )",158,31,19,108,31,2,9,0,1,7,10,2,16,2,7,0,15,7,6,24,13,0,6,0,0,0
"21720 Korpoström   (Parainen )",1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"21740 Utö   (Parainen )",17,2,1,13,2,0,0,0,0,1,1,10,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"21750 Norrskata   (Parainen )",5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"21760 Houtskär Keskus   (Parainen )",82,15,5,62,15,0,0,0,0,5,7,25,10,0,5,1,2,2,3,5,0,0,2,0,0,0
"21770 Mossala   (Parainen )",21,14,0,7,14,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"21800 Kyrö   (Pöytyä )",778,86,412,280,86,0,281,0,0,131,48,23,6,8,10,4,19,15,13,72,33,4,25,0,0,0
"21820 Kumila   (Pöytyä )",52,25,12,15,25,0,9,0,0,3,2,3,0,1,0,2,0,0,0,4,0,0,3,0,0,0
"21840 Karinainen   (Pöytyä )",91,18,54,19,18,0,15,0,0,39,3,5,1,0,0,1,0,3,0,6,0,0,0,0,0,0
"21860 Auvainen   (Pöytyä )",50,17,9,24,17,0,1,0,0,8,1,2,1,0,0,0,0,1,0,9,6,3,1,0,0,0
"21870 Riihikoski   (Pöytyä )",864,48,134,682,48,0,91,0,0,43,41,33,39,1,16,3,12,37,83,8,394,3,12,0,0,0
"21880 Pöytyä   (Pöytyä )",100,37,8,55,37,0,2,0,0,6,8,14,0,0,0,1,2,11,0,6,1,0,12,0,0,0
"21890 Haveri   (Pöytyä )",35,29,3,3,29,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"21900 Yläne Keskus   (Pöytyä )",311,62,75,174,62,0,65,0,0,10,34,21,9,3,8,0,20,2,5,15,26,14,17,0,0,0
"21930 Uusikartano   (Pöytyä )",75,53,13,9,53,0,2,0,0,11,1,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"22100 Maarianhamina   (Maarianhamina )",9123,18,844,8261,18,0,377,59,54,354,703,2262,408,531,451,49,281,266,620,529,1755,114,292,0,0,0
"22120 Möckelö   (Jomala )",532,1,78,453,1,0,6,0,0,72,97,292,0,0,0,1,9,19,0,0,35,0,0,0,0,0
"22130 Gottby   (Jomala )",118,28,67,23,28,0,6,0,7,54,9,2,3,0,0,0,4,5,0,0,0,0,0,0,0,0
"22140 Önningby   (Jomala )",91,3,61,27,3,0,25,0,0,36,6,5,5,0,0,1,2,3,0,0,2,1,2,0,0,0
"22150 Jomala Centrum   (Jomala )",520,41,189,290,41,0,78,41,8,62,87,16,4,30,0,0,4,5,0,0,1,120,23,0,0,0
"22160 Järsö   (Lemland )",9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"22220 Emkarby   (Finström )",23,7,9,7,7,0,0,0,0,9,1,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0
"22240 Hammarland   (Hammarland )",119,43,27,49,43,7,2,1,0,17,8,5,2,0,0,1,0,5,0,3,13,3,9,0,0,0
"22270 Storby   (Eckerö )",122,20,24,78,20,0,0,0,0,24,4,26,22,3,0,0,3,0,0,1,7,6,6,0,0,0
"22310 Pålsböle   (Finström )",55,23,18,14,23,0,2,0,0,16,0,1,4,0,0,0,0,0,0,0,0,0,9,0,0,0
"22320 Ödkarby   (Saltvik )",95,18,42,35,18,3,31,0,3,5,4,0,20,0,0,0,1,2,0,2,2,2,2,0,0,0
"22330 Tjudö   (Finström )",33,25,5,3,25,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"22340 Geta   (Geta )",68,18,17,33,18,0,0,0,0,17,1,2,27,0,0,0,2,1,0,0,0,0,0,0,0,0
"22410 Godby   (Finström )",193,20,78,95,20,0,38,0,0,40,21,2,0,1,0,12,15,10,0,0,31,0,3,0,0,0
"22430 Saltvik   (Saltvik )",38,15,4,19,15,0,0,0,0,4,6,2,1,0,0,0,0,2,0,0,0,5,3,0,0,0
"22520 Tosarby   (Sund )",48,10,11,27,10,0,8,0,1,2,1,0,23,0,0,0,1,0,0,0,1,0,1,0,0,0
"22530 Sund   (Sund )",17,5,7,5,5,0,0,0,1,6,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"22550 Vårdö   (Vårdö )",49,34,13,2,34,0,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22610 Lemland   (Lemland )",113,8,36,69,8,0,2,0,0,34,16,6,0,0,1,0,2,2,0,0,19,0,23,0,0,0
"22630 Lumparland   (Lumparland )",36,10,3,23,10,0,1,0,0,2,4,13,2,1,1,0,1,0,0,0,1,0,0,0,0,0
"22710 Ålands Degerby   (Föglö )",80,16,8,56,16,0,1,0,0,7,41,7,0,0,1,1,0,0,0,0,0,0,6,0,0,0
"22720 Sottunga   (Sottunga )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22730 Kökar   (Kökar )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22810 Seglinge   (Kumlinge )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22820 Kumlinge   (Kumlinge )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22830 Enklinge   (Kumlinge )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22840 Lappo   (Brändö )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22910 Torsholma   (Brändö )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22920 Brändö-Åland   (Brändö )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22930 Fiskö   (Brändö )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22940 Åva   (Brändö )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"22950 Jurmo   (Brändö )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"23100 Mynämäki Keskus   (Mynämäki )",1582,221,401,960,221,3,229,1,2,166,182,82,46,3,32,8,37,48,34,123,296,13,56,0,0,0
"23120 Mietoinen Keskus   (Mynämäki )",137,26,37,74,26,0,27,0,0,10,5,8,0,0,0,0,19,4,0,23,10,1,4,0,0,0
"23140 Hietamäki   (Mynämäki )",88,24,14,50,24,0,2,0,0,12,20,15,0,0,0,0,0,4,0,6,4,0,1,0,0,0
"23200 Vinkkilä   (Vehmaa )",437,68,116,253,68,3,72,1,6,34,32,26,13,7,7,4,10,13,27,19,85,4,6,0,0,0
"23210 Vehmaa   (Vehmaa )",203,58,20,125,58,1,2,0,0,17,0,21,0,0,1,0,0,0,0,12,75,0,16,0,0,0
"23260 Rautila   (Vehmaa )",40,13,21,6,13,0,1,0,0,20,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0
"23310 Taivassalo   (Taivassalo )",452,79,137,236,79,4,86,0,0,47,44,37,13,1,8,4,14,5,8,24,61,4,13,0,0,0
"23360 Kustavi   (Kustavi )",240,41,65,134,41,0,25,0,0,40,15,8,20,1,1,1,7,6,20,8,31,7,9,0,0,0
"23390 Iniö   (Parainen )",42,8,2,32,8,0,2,0,0,0,5,3,3,0,0,0,0,1,0,6,13,1,0,0,0,0
"23450 Lokalahti   (Uusikaupunki )",154,37,37,80,37,1,2,0,0,34,13,4,4,2,5,0,5,5,4,7,25,0,6,0,0,0
"23500 Uusikaupunki Keskus   (Uusikaupunki )",5484,50,2512,2922,50,3,2144,8,29,328,400,315,134,145,68,38,120,151,159,201,1050,59,81,1,0,0
"23600 Kalanti Keskus   (Uusikaupunki )",639,85,344,210,85,0,310,0,0,34,53,5,2,1,3,0,19,7,0,32,81,1,6,0,0,0
"23660 Kalanti Asemanseutu   (Uusikaupunki )",93,43,41,9,43,3,2,0,0,36,1,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"23800 Laitila Keskus   (Laitila )",3275,255,1333,1687,255,11,1029,33,23,237,355,102,65,33,41,37,87,39,62,240,532,17,77,0,0,0
"23840 Soukainen   (Laitila )",70,19,27,24,19,0,20,0,0,7,2,15,0,0,0,0,0,0,0,6,0,0,1,0,0,0
"23880 Suontaka   (Laitila )",16,7,2,7,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0
"23930 Pyhämaa   (Uusikaupunki )",87,24,40,23,24,0,31,0,0,9,3,3,1,2,1,0,0,1,0,3,2,0,7,0,0,0
"23950 Pyhäranta   (Pyhäranta )",164,13,46,105,13,0,28,0,1,17,13,9,1,0,4,0,5,0,8,10,42,1,12,0,0,0
"23960 Santtio   (Pyhäranta )",21,2,4,15,2,0,1,0,0,3,0,11,0,0,0,0,0,1,0,0,0,0,3,0,0,0
"24100 Salo Keskus   (Salo )",6860,3,2331,4525,3,22,1893,25,54,337,1237,204,228,164,281,102,239,315,345,242,760,113,295,0,0,1
"24130 Ylhäisi   (Salo )",1296,19,81,1196,19,0,8,0,0,73,26,11,7,9,0,2,21,15,19,163,910,3,10,0,0,0
"24240 Rappula   (Salo )",1968,12,202,1754,12,4,161,0,0,37,345,274,51,38,24,7,87,27,53,272,456,30,90,0,0,0
"24260 Ollikkala   (Salo )",509,18,49,442,18,0,14,0,0,35,210,15,2,52,1,1,6,18,0,25,86,6,20,0,0,0
"24280 Tupuri-Hähkänä   (Salo )",933,39,598,296,39,0,514,0,4,80,53,35,4,12,1,1,22,20,0,47,94,1,6,0,0,0
"24800 Halikko Keskus   (Salo )",1228,33,156,1039,33,0,101,0,0,55,199,22,183,0,2,13,27,166,65,105,219,10,28,0,0,0
"24910 Halikko Asemanseutu   (Salo )",455,18,221,216,18,0,167,0,0,54,37,70,1,0,3,6,19,6,0,17,50,4,3,0,0,0
"25110 Kruusila   (Salo )",34,19,6,9,19,0,3,0,0,3,2,0,2,0,1,0,2,1,0,0,0,0,1,0,0,0
"25130 Muurla   (Salo )",305,32,132,141,32,0,78,0,0,54,34,16,11,6,1,0,8,12,0,24,17,5,7,0,0,0
"25160 Tuohittu   (Salo )",23,11,2,10,11,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,1,2,3,0,0,0
"25170 Kotalato   (Salo )",19,5,0,14,5,0,0,0,0,0,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"25180 Romsila   (Salo )",16,7,6,3,7,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"25190 Inkere   (Salo )",233,12,73,148,12,0,45,0,0,28,6,41,0,0,6,0,0,1,0,8,77,3,6,0,0,0
"25210 Vartsala   (Salo )",30,5,4,21,5,0,0,0,0,4,0,3,3,0,0,0,0,2,0,0,13,0,0,0,0,0
"25230 Angelniemi   (Salo )",41,21,8,12,21,0,2,0,0,6,0,1,0,0,0,0,3,0,0,5,0,0,3,0,0,0
"25240 Hajala   (Salo )",90,31,14,45,31,0,1,0,0,13,1,3,0,0,0,0,1,5,0,4,29,2,0,0,0,0
"25250 Märynummi   (Salo )",104,6,18,80,6,0,1,0,0,17,6,8,2,0,0,0,1,0,0,6,53,0,4,0,0,0
"25260 Vaskio   (Salo )",113,46,23,44,46,0,11,0,0,12,10,20,0,0,2,0,2,1,0,5,0,1,3,0,0,0
"25320 Raatala   (Salo )",82,44,28,10,44,0,14,2,0,12,2,3,0,0,0,0,3,0,0,1,0,0,1,0,0,0
"25330 Kuusjoki Keskus   (Salo )",159,18,17,124,18,0,5,0,0,12,51,5,4,0,2,0,3,8,0,9,34,2,6,0,0,0
"25340 Kanunki   (Salo )",211,25,135,51,25,0,129,0,0,6,4,18,2,0,3,0,0,1,0,0,21,0,2,0,0,0
"25360 Pertteli Keskus   (Salo )",130,19,33,78,19,0,9,0,0,24,17,5,6,1,0,2,3,5,0,10,15,2,12,0,0,0
"25370 Hiisi   (Salo )",90,46,23,21,46,0,9,0,0,14,4,5,0,0,0,0,3,2,0,6,0,0,1,0,0,0
"25380 Rekijoki   (Salo )",56,32,12,12,32,0,6,0,0,6,4,4,0,0,1,0,1,0,0,0,2,0,0,0,0,0
"25390 Kiikala Keskus   (Salo )",191,35,106,50,35,6,80,0,0,20,7,3,3,0,4,0,2,2,0,6,14,1,8,0,0,0
"25410 Suomusjärvi Keskus   (Salo )",267,34,24,209,34,0,13,0,0,11,34,8,43,0,2,1,3,4,0,9,93,3,9,0,0,0
"25420 Lahnajärvi   (Salo )",16,2,3,11,2,0,1,0,0,2,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0
"25430 Kettula   (Salo )",5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"25460 Toija   (Salo )",212,38,66,108,38,0,43,1,0,22,24,25,4,0,3,0,7,4,0,10,28,3,0,0,0,0
"25470 Kisko kk   (Salo )",45,8,10,27,8,0,4,0,0,6,1,4,0,0,1,0,2,0,0,0,16,0,3,0,0,0
"25500 Perniö Keskus   (Salo )",1041,104,292,645,104,5,186,2,10,89,110,44,23,3,12,8,23,19,6,62,281,9,45,0,0,0
"25520 Perniö Asemanseutu   (Salo )",159,37,76,46,37,0,60,0,0,16,8,21,0,0,0,0,1,4,0,6,6,0,0,0,0,0
"25540 Knaapila   (Salo )",13,10,0,3,10,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"25550 Aijala   (Salo )",13,2,2,9,2,0,0,0,0,2,2,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"25560 Koski Asemanseutu   (Salo )",11,3,5,3,3,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"25570 Teijo-Mathildedal   (Salo )",143,9,99,35,9,0,91,0,0,8,5,4,2,0,0,2,2,1,0,6,5,8,0,0,0,0
"25610 Ylönkylä   (Salo )",123,40,38,45,40,0,15,0,3,20,8,1,0,0,0,1,2,0,0,0,33,0,0,0,0,0
"25630 Finby   (Salo )",50,8,12,30,8,0,4,0,0,8,3,5,0,0,0,0,2,6,0,4,5,1,4,0,0,0
"25640 Förby   (Salo )",63,9,49,5,9,4,42,0,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"25650 Strömma   (Kemiönsaari )",23,8,2,13,8,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0
"25660 Mathildedal   (Salo )",33,0,4,29,0,0,4,0,0,0,1,0,14,1,0,0,1,11,0,0,1,0,0,0,0,0
"25700 Kemiö Keskus   (Kemiönsaari )",666,57,90,519,57,29,14,0,0,47,126,30,26,33,23,10,19,32,12,112,79,6,11,0,0,0
"25710 Vreta-Vestlax   (Kemiönsaari )",59,4,12,43,4,0,0,0,0,12,1,12,0,0,0,0,0,2,2,0,17,7,2,0,0,0
"25730 Mjösund   (Kemiönsaari )",38,5,29,4,5,0,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"25760 Kiila   (Kemiönsaari )",12,7,2,3,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"25810 Mark   (Kemiönsaari )",10,4,4,2,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"25820 Vestlax   (Kemiönsaari )",10,1,8,1,1,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"25830 Västanfjärd Keskus   (Kemiönsaari )",84,10,27,47,10,0,1,0,0,26,15,4,1,0,1,7,4,1,1,0,10,0,3,0,0,0
"25840 Nivelax   (Kemiönsaari )",75,11,13,51,11,0,4,0,0,9,15,10,2,1,0,0,0,0,0,18,4,0,1,0,0,0
"25860 Björkboda   (Kemiönsaari )",92,10,8,74,10,0,1,0,0,7,2,1,0,0,0,0,5,2,64,0,0,0,0,0,0,0
"25870 Dragsfjärd   (Kemiönsaari )",244,29,108,107,29,0,76,0,0,32,24,12,5,1,0,1,3,2,0,0,27,1,31,0,0,0
"25900 Taalintehdas   (Kemiönsaari )",643,4,102,537,4,0,60,0,0,42,33,26,10,0,3,47,25,26,58,45,230,31,3,0,0,0
"25910 Vänoxa   (Kemiönsaari )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"25930 Kasnäs   (Kemiönsaari )",107,2,51,54,2,0,50,0,0,1,9,1,40,0,0,0,0,0,0,0,0,4,0,0,0,0
"25940 Hiittinen   (Kemiönsaari )",18,0,1,17,0,0,0,0,0,1,2,1,0,0,0,0,0,0,9,0,5,0,0,0,0,0
"25950 Rosala-Kasnäs-Hitis   (Kemiönsaari )",45,1,15,29,1,0,11,0,0,4,12,4,5,0,0,0,0,0,0,8,0,0,0,0,0,0
