Postal code	Surface area (2013)	Surface area (2014)	Surface area (2015)	Surface area (2016)	Surface area (2017)
21750	174777509.0	164496479.0	164496479.0	38366527.0	38366527.0
21760	609124607.0	639726561.0	639726561.0	89307785.0	89307785.0
21770	65966573.0	66455214.0	66455214.0	18272160.0	18272160.0
21800	103075307.0	106702345.0	107165025.0	107165025.0	107165025.0
21820	52654630.0	54150902.0	55030122.0	55030122.0	53997354.0
21840	22981196.0	22493531.0	22493531.0	22493531.0	22493531.0
21860	24114469.0	24663839.0	24663839.0	24663839.0	24663839.0
21870	71177295.0	71688050.0	71688050.0	71688050.0	71688050.0
21880	46200585.0	45771809.0	45771809.0	45771809.0	45771809.0
21890	42874112.0	42250072.0	41692952.0	41692952.0	42725720.0
21900	258120367.0	258951287.0	258951287.0	258908581.0	257395710.0
21930	122094361.0	122206169.0	122206169.0	122206169.0	122206169.0
22100	319834779.0	28948780.0	28948780.0	13245949.0	10455231.0
22120	41910961.0	25864641.0	25864641.0	15430134.0	15185690.0
22130	371738438.0	366477988.0	366477988.0	59486186.0	59486186.0
22140	76619901.0	31305256.0	31305256.0	14343599.0	14312476.0
22150	89204316.0	71812894.0	71812894.0	51648299.0	54714583.0
22160	811000152.0	791339542.0	791339542.0	11198996.0	11198996.0
22220	69424854.0	53217624.0	53217624.0	37089062.0	37089062.0
22240	301926377.0	210441393.0	210441393.0	131774927.0	131774927.0
22270	1048077516.0	1030046075.0	1030046075.0	103343644.0	103343644.0
22310	63020728.0	51141118.0	51141118.0	38412695.0	38412695.0
22320	71045163.0	60742700.0	60742700.0	49151346.0	49151346.0
22330	62926066.0	46766495.0	46766494.0	34044407.0	34044407.0
22340	1521037141.0	1493381920.0	1493381920.0	89878021.0	89878021.0
22410	46901007.0	41796541.0	41796541.0	32963408.0	32963408.0
22430	1067769686.0	1113173382.0	1113173382.0	89248827.0	89248827.0
22520	73332054.0	62037702.0	62037702.0	48663146.0	48663146.0
22530	176780806.0	107941528.0	107941528.0	58214500.0	58214500.0
22550	869394490.0	890599234.0	890599234.0	82012956.0	82012956.0
22610	669129307.0	689297304.0	689297304.0	94587492.0	94587492.0
22630	1500610958.0	116140354.0	116140354.0	39020845.0	39020845.0
22710	1273049081.0	1322531554.0	1322531554.0	112338610.0	112338610.0
22720	340604792.0	355098613.0	355098613.0	14913807.0	14913807.0
22730	1840800275.0	1937684500.0	1937684500.0	37003072.0	37003072.0
22810	54562713.0	60981856.0	60981856.0	12448281.0	12448281.0
22820	243167131.0	233087664.0	233087664.0	36569391.0	36569391.0
22830	133947570.0	149016672.0	149016672.0	13266733.0	13266733.0
22840	172747109.0	177545640.0	177545640.0	17468178.0	17468178.0
22910	28104412.0	28722091.0	28722091.0	6601364.0	6601364.0
