"Year","Quarter","Building type","Postal code","Year of construction","Mean"
"2005","Whole year","Building types total","08450","Year of construction, total",.
"2005","Whole year","Building types total","08500","Year of construction, total",1611
"2005","Whole year","Building types total","08680","Year of construction, total",1608
"2005","Whole year","Building types total","08700","Year of construction, total",1348
"2005","Whole year","Building types total","08800","Year of construction, total",1532
"2005","Whole year","Building types total","09220","Year of construction, total",.
"2005","Whole year","Building types total","10120","Year of construction, total",.
"2005","Whole year","Building types total","10140","Year of construction, total",.
"2005","Whole year","Building types total","10160","Year of construction, total",.
"2005","Whole year","Building types total","10210","Year of construction, total",1126
"2005","Whole year","Building types total","10270","Year of construction, total",.
"2005","Whole year","Building types total","10300","Year of construction, total",1253
"2005","Whole year","Building types total","10320","Year of construction, total",952
"2005","Whole year","Building types total","10330","Year of construction, total",1212
"2005","Whole year","Building types total","10360","Year of construction, total",.
"2005","Whole year","Building types total","10410","Year of construction, total",.
"2005","Whole year","Building types total","10420","Year of construction, total",.
"2005","Whole year","Building types total","10440","Year of construction, total",.
"2005","Whole year","Building types total","10470","Year of construction, total",.
"2005","Whole year","Building types total","10520","Year of construction, total",.
"2005","Whole year","Building types total","10570","Year of construction, total",.
"2005","Whole year","Building types total","10600","Year of construction, total",1717
"2005","Whole year","Building types total","10620","Year of construction, total",.
"2005","Whole year","Building types total","10640","Year of construction, total",1652
"2005","Whole year","Building types total","10650","Year of construction, total",1334
"2005","Whole year","Building types total","10660","Year of construction, total",.
"2005","Whole year","Building types total","10680","Year of construction, total",.
"2005","Whole year","Building types total","10710","Year of construction, total",.
"2005","Whole year","Building types total","10820","Year of construction, total",708
"2005","Whole year","Building types total","10900","Year of construction, total",1155
"2005","Whole year","Building types total","10940","Year of construction, total",1409
"2005","Whole year","Building types total","10960","Year of construction, total",1282
"2005","Whole year","Building types total","11100","Year of construction, total",1313
"2005","Whole year","Building types total","11120","Year of construction, total",1212
"2005","Whole year","Building types total","11130","Year of construction, total",907
"2005","Whole year","Building types total","11310","Year of construction, total",.
"2005","Whole year","Building types total","11710","Year of construction, total",1394
"2005","Whole year","Building types total","11910","Year of construction, total",1339
"2005","Whole year","Building types total","12100","Year of construction, total",977
"2005","Whole year","Building types total","12130","Year of construction, total",.
"2005","Whole year","Building types total","12240","Year of construction, total",1000
"2005","Whole year","Building types total","12310","Year of construction, total",938
"2005","Whole year","Building types total","12380","Year of construction, total",.
"2005","Whole year","Building types total","12400","Year of construction, total",1013
"2005","Whole year","Building types total","12520","Year of construction, total",.
"2005","Whole year","Building types total","12540","Year of construction, total",1181
"2005","Whole year","Building types total","12600","Year of construction, total",884
"2005","Whole year","Building types total","12700","Year of construction, total",1159
"2005","Whole year","Building types total","12750","Year of construction, total",.
"2005","Whole year","Building types total","13100","Year of construction, total",1667
"2005","Whole year","Building types total","13110","Year of construction, total",.
"2005","Whole year","Building types total","13130","Year of construction, total",1535
"2005","Whole year","Building types total","13200","Year of construction, total",1577
"2005","Whole year","Building types total","13210","Year of construction, total",1395
"2005","Whole year","Building types total","13220","Year of construction, total",1689
"2005","Whole year","Building types total","13250","Year of construction, total",982
"2005","Whole year","Building types total","13270","Year of construction, total",.
"2005","Whole year","Building types total","13300","Year of construction, total",1422
"2005","Whole year","Building types total","13330","Year of construction, total",.
"2005","Whole year","Building types total","13430","Year of construction, total",1467
"2005","Whole year","Building types total","13500","Year of construction, total",1359
"2005","Whole year","Building types total","13600","Year of construction, total",1223
"2005","Whole year","Building types total","13700","Year of construction, total",.
"2005","Whole year","Building types total","13720","Year of construction, total",1345
"2005","Whole year","Building types total","13800","Year of construction, total",1343
"2005","Whole year","Building types total","13880","Year of construction, total",1345
"2005","Whole year","Building types total","13900","Year of construction, total",.
"2005","Whole year","Building types total","14200","Year of construction, total",1052
"2005","Whole year","Building types total","14300","Year of construction, total",906
"2005","Whole year","Building types total","14500","Year of construction, total",905
"2005","Whole year","Building types total","14610","Year of construction, total",.
"2005","Whole year","Building types total","14680","Year of construction, total",.
"2005","Whole year","Building types total","14700","Year of construction, total",1027
"2005","Whole year","Building types total","14770","Year of construction, total",.
"2005","Whole year","Building types total","14820","Year of construction, total",.
"2005","Whole year","Building types total","14870","Year of construction, total",.
"2005","Whole year","Building types total","14960","Year of construction, total",.
"2005","Whole year","Building types total","15100","Year of construction, total",1574
"2005","Whole year","Building types total","15110","Year of construction, total",1703
"2005","Whole year","Building types total","15140","Year of construction, total",1651
"2005","Whole year","Building types total","15150","Year of construction, total",1337
"2005","Whole year","Building types total","15160","Year of construction, total",.
"2005","Whole year","Building types total","15170","Year of construction, total",1042
"2005","Whole year","Building types total","15200","Year of construction, total",1014
"2005","Whole year","Building types total","15210","Year of construction, total",1090
"2005","Whole year","Building types total","15230","Year of construction, total",952
"2005","Whole year","Building types total","15240","Year of construction, total",1024
"2005","Whole year","Building types total","15270","Year of construction, total",.
"2005","Whole year","Building types total","15300","Year of construction, total",1055
"2005","Whole year","Building types total","15320","Year of construction, total",1441
"2005","Whole year","Building types total","15340","Year of construction, total",1411
"2005","Whole year","Building types total","15500","Year of construction, total",1013
"2005","Whole year","Building types total","15520","Year of construction, total",1166
"2005","Whole year","Building types total","15540","Year of construction, total",1230
"2005","Whole year","Building types total","15550","Year of construction, total",908
"2005","Whole year","Building types total","15560","Year of construction, total",877
"2005","Whole year","Building types total","15610","Year of construction, total",1281
"2005","Whole year","Building types total","15680","Year of construction, total",.
"2005","Whole year","Building types total","15700","Year of construction, total",1120
"2005","Whole year","Building types total","15800","Year of construction, total",1117
"2005","Whole year","Building types total","15810","Year of construction, total",1230
"2005","Whole year","Building types total","15830","Year of construction, total",1063
"2005","Whole year","Building types total","15840","Year of construction, total",1163
"2005","Whole year","Building types total","15850","Year of construction, total",1582
"2005","Whole year","Building types total","15860","Year of construction, total",1069
"2005","Whole year","Building types total","15870","Year of construction, total",1401
"2005","Whole year","Building types total","15880","Year of construction, total",1144
"2005","Whole year","Building types total","15900","Year of construction, total",1633
"2005","Whole year","Building types total","15950","Year of construction, total",1273
"2005","Whole year","Building types total","15980","Year of construction, total",.
"2005","Whole year","Building types total","16100","Year of construction, total",686
"2005","Whole year","Building types total","16200","Year of construction, total",.
"2005","Whole year","Building types total","16260","Year of construction, total",.
"2005","Whole year","Building types total","16300","Year of construction, total",985
"2005","Whole year","Building types total","16320","Year of construction, total",.
"2005","Whole year","Building types total","16500","Year of construction, total",.
"2005","Whole year","Building types total","16600","Year of construction, total",952
"2005","Whole year","Building types total","16610","Year of construction, total",.
"2005","Whole year","Building types total","16670","Year of construction, total",.
"2005","Whole year","Building types total","16710","Year of construction, total",.
"2005","Whole year","Building types total","16800","Year of construction, total",940
"2005","Whole year","Building types total","16900","Year of construction, total",823
"2005","Whole year","Building types total","17110","Year of construction, total",.
"2005","Whole year","Building types total","17130","Year of construction, total",.
"2005","Whole year","Building types total","17200","Year of construction, total",1068
"2005","Whole year","Building types total","17240","Year of construction, total",.
"2005","Whole year","Building types total","17500","Year of construction, total",862
"2005","Whole year","Building types total","17610","Year of construction, total",.
"2005","Whole year","Building types total","17800","Year of construction, total",768
"2005","Whole year","Building types total","18100","Year of construction, total",1206
"2005","Whole year","Building types total","18120","Year of construction, total",1126
"2005","Whole year","Building types total","18130","Year of construction, total",797
"2005","Whole year","Building types total","18150","Year of construction, total",916
"2005","Whole year","Building types total","18200","Year of construction, total",738
"2005","Whole year","Building types total","18300","Year of construction, total",828
"2005","Whole year","Building types total","18600","Year of construction, total",.
"2005","Whole year","Building types total","19110","Year of construction, total",.
"2005","Whole year","Building types total","19120","Year of construction, total",.
"2005","Whole year","Building types total","19160","Year of construction, total",.
"2005","Whole year","Building types total","19210","Year of construction, total",.
"2005","Whole year","Building types total","19250","Year of construction, total",.
"2005","Whole year","Building types total","19260","Year of construction, total",.
"2005","Whole year","Building types total","19410","Year of construction, total",639
"2005","Whole year","Building types total","19420","Year of construction, total",.
"2005","Whole year","Building types total","19430","Year of construction, total",587
"2005","Whole year","Building types total","19470","Year of construction, total",.
"2005","Whole year","Building types total","19540","Year of construction, total",.
"2005","Whole year","Building types total","19600","Year of construction, total",720
"2005","Whole year","Building types total","19650","Year of construction, total",808
"2005","Whole year","Building types total","19670","Year of construction, total",.
