	Bus stops
42660	11
42700	116
42720	1
42800	28
42820	0
42830	0
42840	23
42850	14
42870	52
42910	15
42930	7
43100	106
43130	19
43170	15
43220	22
43240	2
43250	22
43270	35
43300	31
43340	9
43390	0
43420	17
43430	10
43440	24
43480	12
43490	8
43500	59
43520	13
43540	0
43560	9
43610	3
43640	20
43660	32
43700	47
43720	0
43800	37
43840	8
43900	39
43940	29
43960	19
44100	30
44120	14
44150	26
44160	16
44170	13
44190	16
44200	61
44220	6
44250	19
44260	2
44280	25
44300	40
44320	0
44330	18
44350	29
44370	1
44400	25
44420	12
44440	6
44460	11
44480	10
44500	73
44530	8
44580	14
44590	8
44610	10
44630	11
44640	22
44670	17
44680	1
44730	21
44740	18
44760	11
44770	0
44790	15
44800	47
44860	27
44880	33
44910	18
44920	3
44950	1
44970	3
45100	85
45120	17
45130	29
45150	12
45160	19
45200	45
45330	10
45360	26
45370	45
45410	37
45460	9
45610	102
45700	73
45720	37
45740	45
45750	1
45810	22
45910	33
45940	16
46110	28
46140	9
46230	41
46400	19
46430	19
46450	3
46530	3
46570	4
46710	43
46730	5
46750	25
46800	73
46810	50
46860	17
46900	54
46910	27
46930	23
46950	4
46960	19
47110	0
47150	12
47200	71
47260	9
47310	6
47350	13
47400	47
47440	0
47450	1
47460	0
47490	26
47520	4
47540	10
47610	1
47650	8
47710	36
47760	1
47810	14
47830	4
47850	7
47900	9
47910	6
48100	26
48130	5
48200	8
48210	4
48220	18
48230	24
48300	21
48310	38
48350	6
48400	40
48410	36
48600	48
48700	24
48710	11
48720	38
48750	17
48770	14
48800	19
48810	22
48900	17
48910	13
48930	1
49200	21
49210	10
49220	52
49240	22
49270	17
49290	10
49300	28
49340	22
49400	86
49410	13
49420	26
49460	13
49480	4
49490	17
49510	19
49520	8
49540	13
49570	13
49610	0
49630	8
49640	9
49660	27
49700	9
49720	0
49730	18
49750	3
49760	2
49770	1
49780	1
49840	7
49860	22
49900	30
49930	16
49960	10
49980	9
50100	85
50120	22
50130	21
50150	25
50160	12
50170	55
50180	15
50190	20
50200	39
50300	13
50350	6
50500	31
50520	11
50600	34
50670	37
50700	35
50770	2
50800	18
50970	33
51130	4
51200	56
51260	6
51270	23
51310	23
51335	0
51340	27
51360	9
51380	12
51420	19
